timestamp,accX,accY,accZ
0,652,1814,-3508
2,678,5668,-4612
3,254,3684,-4180
5,-348,2454,-4440
6,-596,4270,-5634
7,1650,3434,-6272
9,1572,3730,-6748
10,-1256,4280,-4554
11,-54,2842,-4162
13,192,2908,-5372
14,60,2544,-4878
15,-676,4082,-2616
17,-1688,3972,-1972
18,-1162,2562,-1210
20,-2158,4016,890
21,-1772,3358,1068
22,-192,1196,1844
24,-1856,4466,3328
25,-3110,3978,3834
26,-1976,2338,3226
28,-2794,4222,2772
29,-1088,2320,4368
31,-1810,4284,3750
32,-3280,4200,3114
33,-534,2046,1640
35,-2288,4864,1554
36,-1734,3286,478
37,62,4262,-320
39,-456,4766,-1520
40,-90,2728,-3264
42,-578,4274,-3562
43,-250,4290,-4046
44,432,4118,-4388
46,62,3500,-6020
47,-48,3602,-5726
48,696,4002,-6072
50,-54,3584,-5136
51,-360,3354,-4926
53,720,2836,-5342
54,572,2946,-3350
55,-1126,4362,-2896
57,-1376,3336,-2254
58,-770,3790,-1256
59,-2426,4128,-418
61,-2016,3586,642
62,-1522,1324,854
64,-3344,3510,3014
65,-2984,4496,3576
66,-2072,2662,3080
68,-3544,4496,3192
69,-1978,1784,3946
70,-2680,2988,4422
72,-3934,4386,2856
73,432,2244,2200
75,-602,3864,732
76,-2092,4884,444
77,94,2242,60
79,-1222,5150,-108
80,-614,2040,-2966
81,458,3214,-3912
83,-1140,5498,-4478
84,382,2630,-4570
85,-284,3288,-5192
87,-968,4122,-5722
88,732,4148,-6064
90,1656,2740,-6724
91,-872,3718,-4948
92,-542,3234,-4238
94,692,2868,-4812
95,-1124,4048,-4196
96,-886,3730,-3264
98,-1232,3596,-1350
99,-2498,3736,-18
101,-1726,3464,1194
102,-704,1908,510
103,-1662,2240,1624
105,-3322,3838,3758
106,-2188,2382,3966
107,-2846,3378,2768
109,-1008,2596,3254
110,-1328,2284,4230
112,-3474,4112,3290
113,-1074,2460,3066
114,12,2346,330
116,-1458,4240,404
117,78,2056,-310
118,-570,3338,-826
120,-412,3200,-1726
121,682,2240,-3606
122,-166,5114,-4626
124,314,3056,-4366
125,74,3006,-4726
127,-190,4224,-5924
128,954,3372,-5726
129,1138,4124,-6330
131,-598,3978,-4728
132,248,3134,-4316
133,96,2980,-5056
135,-372,2992,-3982
136,-584,3858,-2402
138,-1592,3820,-1280
139,-1764,2922,-1418
140,-1822,4022,608
142,-1266,2376,578
143,-924,1196,2648
144,-3668,4922,3690
146,-2266,3236,3596
147,-1508,4282,3346
149,-2636,3950,2544
150,-1184,1874,4446
151,-3926,4616,3190
153,-2808,3682,2768
154,360,3644,1612
155,-2008,4786,460
157,-940,2870,158
158,98,4260,-740
159,-984,4950,-1118
161,360,2582,-3690
162,-418,4536,-4086
164,-692,4794,-4042
165,50,3362,-5110
166,-150,3780,-5870
168,242,3902,-6008
169,454,4044,-5908
170,34,3556,-5656
172,-464,3126,-4884
173,-16,2978,-4828
175,-170,3314,-3480
176,-1694,4216,-3050
177,-1264,3656,-2462
179,-1254,3448,-1022
180,-2252,3856,240
181,-1730,3266,1038
183,-1006,1588,1592
184,-3484,4056,2850
186,-2946,4474,3304
187,-2648,3436,3734
188,-3712,4744,3348
190,-1884,1820,4162
191,-3156,4162,3910
193,-3272,4588,2608
194,-194,2264,1876
195,-1364,4476,642
197,-1602,1592,-140
198,-596,2966,-98
199,-1760,5576,-1624
201,1006,1956,-3206
202,-104,4134,-3846
204,-1098,3104,-4330
205,844,2122,-5102
206,-1390,4670,-4718
208,-946,3900,-5658
209,1662,2786,-6432
210,252,3430,-4984
212,-186,3324,-4640
213,-168,3588,-3952
214,136,3524,-4390
216,-552,3348,-3396
217,-1040,3574,-1690
219,-1994,3976,-654
220,-1896,3158,-386
221,-1878,3416,810
223,-634,1570,1116
224,-2556,2570,2530
225,-3582,3762,3828
227,-1488,2582,3174
228,-2752,3928,2544
230,-1350,1822,3516
231,-2784,2992,4514
232,-3660,3472,2974
234,92,2228,1894
235,-850,3524,832
236,-1116,2848,334
238,68,2918,-304
239,-840,3982,-1730
241,154,2962,-2288
242,140,3178,-4346
243,-456,4486,-4034
245,618,2402,-4796
246,-436,2960,-5110
247,124,5010,-6094
249,2030,2848,-6504
250,1016,4284,-5302
251,-1170,3780,-4802
253,372,3040,-4900
254,-218,3748,-4948
256,-746,3338,-3650
257,-772,3786,-1830
258,-1840,3762,-1722
260,-1752,3804,-218
261,-1774,3470,162
263,-1420,2430,978
264,-848,3242,3560
265,-3834,4596,3692
267,-2580,2944,3384
268,-2080,4212,2496
269,-1750,2894,3202
271,-1814,3570,4934
272,-3350,4292,3284
274,-1104,2864,1226
