timestamp,accX,accY,accZ
0,-1472,4990,-3476
2,-506,2948,-4072
3,-164,3898,-4940
4,-564,3908,-5458
6,-120,3668,-5370
7,-340,4384,-5318
8,-186,2956,-4830
10,-620,3128,-4438
11,-998,3492,-3964
13,-854,3672,-3392
14,-490,3732,-2920
15,-1306,3242,-1256
17,-1946,3366,-320
18,-1710,4126,526
20,-1276,1610,666
21,-3160,2912,1878
22,-2548,3888,3348
24,-1260,3654,3582
25,-2820,3140,3024
26,-2168,2936,3278
28,-954,3058,3396
29,-2090,3586,2724
31,-1608,2576,1906
32,-252,2796,638
33,-848,4032,38
35,-296,2518,-2
36,-1406,3278,-1032
37,-38,3498,-1994
39,1076,2734,-3498
40,-518,4560,-3906
42,-536,3744,-3992
43,150,3628,-5424
44,-250,3468,-5652
46,-74,3086,-5360
47,-388,4016,-5154
48,-108,3552,-5200
50,-182,2960,-4566
51,-592,3626,-3636
53,-600,3822,-3386
54,-378,3698,-2024
55,-1530,2854,-1540
57,-1622,3200,-766
58,-1540,3702,458
59,-1008,2474,714
61,-1722,2100,2342
62,-2390,3818,2194
64,-2310,4210,3142
65,-1554,3008,2486
66,-2616,2840,2802
68,-1876,2782,3202
69,-1544,4006,2814
70,-2626,3886,2596
72,-618,2330,1144
73,-1224,4572,704
75,-694,3100,-164
76,-210,4008,-588
77,-656,4254,-1936
79,506,3262,-3404
80,-750,4054,-3590
81,-1138,3982,-3884
83,94,4136,-4546
84,410,3942,-5922
86,-258,3276,-5302
87,92,4182,-4776
88,-582,4222,-4752
90,4,2888,-4680
91,-590,3454,-4500
92,-1068,4056,-2826
94,-730,3502,-2416
95,-1216,3022,-2030
97,-1416,2942,-588
98,-1690,4062,100
99,-1428,3484,858
101,-814,2374,2156
102,-2894,3488,2168
103,-3208,4426,2970
105,-2082,3124,2492
106,-2386,3114,2708
108,-3226,2664,3516
109,-1878,3112,3136
110,-2262,4266,1904
112,-208,2616,700
113,-1124,4308,324
115,-758,2236,188
116,-964,2860,-108
117,-1534,4728,-2054
119,1596,2542,-3526
120,62,3464,-3764
121,-1254,3552,-3870
123,62,3532,-3998
124,-302,4256,-6132
126,248,2852,-5866
127,-396,3600,-5264
128,-1192,3760,-4964
130,72,2786,-4756
131,-304,2986,-4100
133,-996,3902,-3248
134,-426,3618,-3298
135,-872,2866,-1464
137,-1688,2578,-1002
138,-1826,3530,374
139,-892,2880,716
141,-804,1776,954
142,-3812,3812,2428
144,-2688,4220,3158
145,-842,3668,2530
146,-2510,2876,2642
148,-2634,3206,3736
149,-1272,2932,2816
150,-2646,4142,2636
152,-1052,2568,1528
153,-828,4368,472
155,-586,4368,-726
156,120,2406,-1220
157,-1834,4702,-1142
159,-480,4070,-2224
160,1736,3652,-3838
161,-1328,4544,-4372
163,-848,3406,-4598
164,0,4452,-5368
165,-96,3912,-5882
167,384,3800,-4712
168,-1066,4830,-4822
170,-70,3660,-4814
171,518,3146,-4450
172,-1432,3914,-3380
174,-882,3716,-2490
175,-420,3316,-2106
177,-1380,2770,-382
178,-2076,4096,-6
179,-932,3750,538
181,-114,1576,1800
182,-3830,3692,2640
183,-3512,4082,3054
185,-1042,3308,2284
186,-2044,3090,2490
188,-3258,3060,3814
189,-2056,3040,3324
190,-1830,3854,2318
192,-1882,2666,820
193,-1082,4066,926
195,-844,2710,-242
196,-564,2722,38
197,-1874,4364,-1796
199,-1118,2510,-3188
200,986,3410,-4108
201,-682,4824,-4134
203,-392,2986,-3800
204,-420,3976,-4998
206,124,3254,-5754
207,-26,3256,-5842
208,-1410,4590,-4978
210,198,2900,-4562
211,-38,2926,-4428
213,-970,3730,-3478
214,-632,3656,-3296
215,-414,3868,-1626
217,-1956,2604,-964
218,-2412,3570,88
219,-1592,2544,278
221,-720,2128,898
222,-3764,3332,2850
224,-2734,3942,3466
225,-952,3512,3028
226,-1958,2626,2566
228,-2750,3344,4092
229,-1888,3362,2596
230,-1860,3958,2242
232,-822,2808,1744
233,-998,4212,1354
235,-1114,4192,384
236,228,2586,-980
237,-1602,4388,-1332
239,-422,3618,-2478
240,952,4148,-3868
242,-1120,4312,-3988
243,-692,2960,-4660
244,-312,4510,-5566
246,136,4110,-5958
247,482,3770,-5110
248,-1282,4112,-4806
250,-84,3174,-4744
251,-60,3544,-4556
253,-1052,3742,-3548
254,-1012,3746,-2658
255,-378,3176,-2280
257,-996,3450,-1106
258,-1872,3658,112
259,-1296,3154,746
261,-66,1970,2180
262,-2990,3826,2274
264,-3584,3792,2982
265,-1250,3284,2324
266,-1452,3004,2582
268,-3020,2978,3904
269,-2574,3234,3220
270,-1212,3396,2178
272,-1508,2992,1092
273,-1912,3420,1352
275,-1546,3984,16
