timestamp,accX,accY,accZ
0,-1342,3618,-3518
2,-554,3250,-2996
3,-16,3662,-1678
5,-2038,3396,-348
6,-2164,3396,640
7,-534,2384,594
9,-888,1846,1352
10,-3660,4252,2660
11,-2824,4226,3414
13,-444,2472,2906
14,-4036,4396,3354
15,-3000,3702,3834
17,-868,2170,2784
18,-3310,4230,2010
20,-1416,3322,1466
21,-292,4328,790
22,-1696,4758,240
24,60,2112,-636
25,-1970,5030,-918
26,-418,4348,-2834
28,1222,3726,-3850
29,-1036,4828,-3836
31,-478,3470,-4982
32,278,4044,-5326
33,-404,4764,-5580
35,88,3114,-5864
36,-516,3944,-5672
37,-306,4186,-5188
39,-106,3360,-4190
40,-1318,3578,-3906
42,-462,3362,-3042
43,-652,3360,-2096
44,-1800,3376,-1458
46,-2010,3474,-176
47,-1418,3654,434
48,-570,1864,2020
50,-3392,3480,2658
51,-3742,4534,2880
52,-1442,2094,2774
54,-2484,2986,2516
55,-4450,4600,3604
57,-1248,2004,3706
58,-1694,3132,2214
59,-3050,2850,1826
61,-412,3084,1550
62,-1632,4820,-1076
64,136,1574,-114
65,-66,3174,-1564
66,-2146,3630,-3162
68,1082,2462,-3376
69,-84,4274,-4478
70,-1004,3020,-4490
72,456,3048,-5598
73,-108,4416,-5342
75,-138,3008,-5358
76,-130,3322,-5474
77,-654,3892,-5100
79,-176,3466,-4332
80,-882,3518,-3584
81,-524,3102,-3156
83,-202,3274,-2726
84,-1134,3678,-830
85,-1938,3264,44
87,-1700,3662,130
88,-1194,1608,1088
90,-3294,2670,2604
91,-3224,3980,3232
92,-696,3050,3268
94,-1900,1960,2672
95,-3510,4252,4256
96,-860,2486,3658
98,-1090,2164,1924
99,-2694,3722,1616
100,-352,3090,1638
102,-334,3936,340
103,-578,2672,-442
105,-94,1644,-492
106,-1234,5050,-2144
107,896,3018,-3618
109,874,3136,-3914
110,-768,4116,-4376
111,-60,2938,-4692
113,640,4628,-5438
114,186,3748,-5644
116,-116,3010,-5656
117,-320,4154,-5474
118,-308,3716,-4338
120,-560,3458,-3892
121,-636,3296,-3928
123,-374,3302,-2278
124,-1572,3770,-1014
125,-1868,2584,-564
127,-1696,4288,794
128,-392,2342,780
129,-1258,1616,2622
131,-3790,4420,2536
132,-2204,4436,3696
133,-492,2426,2844
135,-4434,4358,3282
136,-2406,3766,3716
138,-530,2634,2650
139,-3572,4238,2244
140,-1550,3056,1576
142,-1020,4780,296
143,-1340,5022,-504
145,126,1976,-1624
146,-2500,5932,-810
147,-190,4376,-3684
149,296,3674,-4146
150,-1526,5120,-4400
151,-156,2748,-5312
153,270,4216,-5706
154,-528,4518,-5512
155,132,3246,-5178
157,-418,4146,-5744
158,146,4008,-4396
160,-802,3482,-4010
161,-1422,3534,-3604
162,-468,3518,-2798
164,-862,3866,-1604
165,-1784,3330,-50
166,-1658,3494,-88
168,-1376,3788,884
169,-310,2152,2324
171,-3680,3584,2784
172,-3714,4760,3362
173,-1516,2034,2920
175,-3128,3562,2510
176,-4740,2652,3432
178,-814,1760,3488
179,-2376,3788,2224
180,-530,2062,1454
182,-148,3648,464
183,-1776,5650,-1008
184,148,932,-266
186,-1446,4334,-1636
187,-1882,2654,-3430
189,1378,2664,-4182
190,-892,4916,-4442
191,196,2754,-4456
193,612,3588,-5550
194,4,3852,-5320
195,-32,2834,-5690
197,-416,3564,-5726
198,434,3662,-4884
200,-584,3590,-4018
201,-1332,3242,-3676
202,-146,3002,-3504
204,-682,4046,-1132
205,-2056,2666,-764
206,-1620,2722,-458
208,-1830,3012,1024
209,-334,1162,1328
211,-3938,2642,2352
212,-3600,4670,3498
213,-132,2920,3134
215,-2334,2484,2776
216,-3400,3730,4100
217,-706,2698,3866
219,-648,4118,2196
220,-2246,3418,1934
222,-92,2206,868
223,-1152,5086,36
224,46,1794,-888
226,-484,4976,-684
227,-156,4580,-2968
228,1450,2474,-4592
230,832,4706,-3656
231,-584,3648,-4506
233,12,3718,-5822
234,-86,4394,-5966
235,-426,3560,-5758
237,-98,3794,-5216
238,340,4026,-5804
239,-128,3644,-3930
241,-1560,3456,-3740
242,-714,3296,-3360
244,104,3832,-1756
245,-1976,3704,-1022
246,-2048,3126,-156
248,-1126,3894,594
249,-294,1866,1024
250,-2014,3414,3092
252,-3748,4604,2688
253,-1152,3696,2970
254,-870,3526,2452
256,-4688,4336,4052
257,-1776,1870,3616
259,-1842,3552,2252
260,-3112,4338,1592
261,-444,2870,872
263,-1382,5578,314
264,-424,3894,-694
266,-1448,3684,-616
267,-2328,5386,-1418
268,976,2486,-3776
270,-192,4640,-4198
271,-1620,4522,-4702
272,622,3368,-5192
274,196,4616,-5948
