timestamp,accX,accY,accZ
0,-928,2850,1624
2,-1812,3828,604
3,-1502,4022,810
4,128,2888,-1146
6,-770,4188,-1444
7,-202,2774,-2718
9,-600,3738,-2766
10,-916,4368,-3974
11,-206,3110,-5120
13,-258,4302,-5218
14,-300,4336,-5920
15,-256,3884,-5056
17,-192,3614,-5344
18,-510,3142,-5444
20,-128,3794,-4752
21,-364,4218,-3802
22,-858,3080,-2890
24,-938,3014,-2584
25,-1476,4248,-1038
26,-1200,3336,-548
28,-1254,2582,814
29,-1876,3502,1796
30,-2294,3562,2418
32,-2396,3544,2428
33,-1628,2260,2566
35,-2132,2466,3908
36,-3180,3020,3238
37,-2004,2722,3744
39,-3428,4530,1514
40,-846,2316,1844
41,-1104,3772,1508
43,-1902,3496,1276
44,-930,3290,160
46,338,3112,-1516
47,-430,3712,-2210
48,228,3234,-2908
50,-530,4052,-4110
51,50,3768,-4240
52,182,3744,-5546
54,72,3952,-5580
55,-92,4122,-5500
57,-320,3280,-5482
58,-296,3064,-5112
59,-228,3356,-5402
61,-214,4040,-3830
62,-626,3406,-3432
63,-1148,3208,-2198
65,-1298,3818,-1576
66,-1212,4054,-688
68,-1280,2226,28
69,-2428,2798,1402
70,-2516,3528,2478
72,-2174,3726,2574
73,-2070,3178,2368
74,-1762,2022,3568
76,-2806,3720,3774
77,-1602,2408,3866
79,-2696,4270,2544
80,-848,2540,1504
81,-944,3860,750
83,-1460,3726,1170
84,-1508,3580,-1034
86,-110,3542,-1442
87,-324,4048,-2126
88,272,3322,-2856
90,-476,3860,-3506
91,-334,3560,-3988
92,286,3960,-5168
94,-24,3932,-5760
95,-324,3868,-5276
96,108,3620,-5420
98,32,2932,-5120
99,-284,3598,-4826
101,-408,4154,-4102
102,-240,3682,-3210
103,-562,3036,-2414
105,-1226,3102,-1934
106,-1390,4122,-400
107,-1258,2936,-242
109,-1516,2182,580
110,-2546,3562,2460
111,-2442,3900,2618
113,-2232,3708,2682
114,-2450,2470,2886
116,-3048,3818,3730
117,-1988,2904,3808
118,-3388,4516,3612
120,-1776,3268,1994
121,-1100,3718,1472
123,-1790,4078,654
124,-1246,2934,202
125,-238,3348,-1040
127,-260,4112,-2260
128,310,3200,-3028
129,-730,3928,-2888
131,-536,3394,-4240
132,164,3604,-5436
134,36,4036,-5432
135,62,4130,-5574
136,-322,4076,-5092
138,98,3094,-5062
139,-308,3380,-5216
140,-204,3686,-3940
142,-642,3624,-3626
143,-738,3138,-3142
145,-1000,3610,-1674
146,-1512,4306,-426
147,-1344,3232,-518
149,-1036,2560,1070
150,-2710,3334,1916
151,-2404,3586,2568
153,-2144,3378,2424
154,-2168,2362,2806
156,-2684,3638,3818
157,-1610,2462,3234
158,-2838,3676,2930
160,-1186,2730,1716
161,-584,2798,1614
163,-1622,3950,1154
164,-1382,3344,1272
165,-88,2786,-1310
167,-296,3788,-1826
168,776,3052,-2908
169,-472,4162,-3724
171,-432,3410,-3958
172,408,3102,-4970
174,-394,4526,-5272
175,254,3690,-6064
176,-56,3608,-5586
178,-436,3438,-4980
179,-296,3436,-4872
181,-188,3652,-4604
182,-508,3882,-3314
183,-700,3100,-2760
185,-1418,3102,-1848
186,-1810,4296,-8
188,-906,2690,-502
189,-926,1740,1728
190,-2486,3614,2166
192,-2426,3554,3190
193,-2054,3002,2474
195,-1914,2136,2730
196,-2842,3588,3690
197,-2068,2850,3608
199,-3070,3794,3808
200,-1876,2782,1888
201,-870,3596,1754
203,-1530,3554,724
204,-1502,3434,718
206,76,2640,-1072
207,-250,4298,-2344
208,168,3614,-2924
210,114,3092,-3580
211,-768,4268,-3866
212,328,3258,-5510
214,314,3512,-5876
215,-74,4088,-5576
217,-90,3530,-5170
218,0,3332,-5174
219,-290,3374,-5180
221,-308,3434,-4214
222,-1088,4158,-3516
223,-902,3708,-3100
225,-1042,3396,-1718
226,-1706,4138,-730
228,-1744,3898,-120
229,-1134,1782,988
230,-2446,2796,1902
232,-2628,3770,3018
233,-1748,3682,2702
234,-1800,2666,2906
236,-2440,3856,3990
237,-2510,3782,3498
239,-1736,3110,2842
240,-1476,2958,1508
241,-1882,3548,2028
243,-864,3148,826
244,-1398,3946,492
245,-862,3132,-1342
247,-248,3918,-1562
248,-778,4740,-2304
250,184,2748,-3464
251,-746,4222,-3988
252,-700,3430,-5188
254,360,3672,-5476
255,24,4342,-5614
257,388,2866,-5322
258,-130,3434,-5172
259,-250,3722,-4950
261,-408,3470,-4120
262,-430,3578,-3172
264,-1128,3644,-2912
265,-1038,3192,-2008
266,-1334,4372,-370
268,-1948,3950,154
269,-296,1880,-314
270,-1396,3006,2178
272,-3068,3884,2776
273,-2442,3798,2270
275,-1670,2268,2782
