timestamp,accX,accY,accZ
0,-3024,4288,2346
2,-2122,3482,2260
3,-1804,3098,2578
5,-2400,3018,3222
6,-1890,2368,4412
7,-3302,4396,3314
9,-1836,3532,2662
10,154,3438,1642
11,-2452,4580,778
13,-1326,2932,60
14,-892,4598,-204
15,-698,4450,-1310
17,1080,1866,-2754
18,-914,5016,-3082
20,-204,3776,-3380
21,612,3908,-5100
22,-790,4752,-5822
24,452,3690,-5636
25,-544,4266,-5650
26,-1048,3666,-5418
28,-106,3090,-5274
29,212,3698,-5378
31,-236,3586,-3630
32,-1406,3452,-2850
33,-1460,3604,-2522
35,-1126,3256,-1710
36,-1762,3806,-620
37,-2090,3360,418
39,-2700,2608,2038
40,-2614,3914,2180
42,-3236,3416,3250
43,-2106,3048,2676
44,-2146,3254,3708
46,-1976,2480,4542
47,-3092,3954,4176
48,-2952,4546,2282
50,-32,2218,1474
51,-1768,4112,1190
53,-2198,2178,562
54,-418,3176,408
55,-1150,5160,-1704
57,996,1908,-2842
58,-656,4090,-3094
59,-1126,2916,-3836
61,-38,3034,-4432
62,-1042,4496,-6214
64,520,3664,-5716
65,38,3992,-5900
66,-810,3368,-5012
68,230,2670,-5106
69,258,3340,-5160
70,186,3536,-3874
72,-510,3292,-3328
73,-1368,3552,-1916
75,-1054,3322,-1654
76,-1188,4128,-908
77,-1816,2038,72
79,-1990,2336,1090
80,-2802,3746,2758
81,-1950,3262,3162
83,-2196,2920,2610
84,-1856,3222,3260
86,-1612,2592,4102
87,-2696,2646,3548
88,-2484,4160,3332
90,430,2170,1476
91,-914,4466,1196
92,-1198,3152,98
94,-184,2516,986
95,-728,4412,-1294
96,252,2260,-2188
98,262,2736,-2744
99,-218,4096,-4052
101,250,2882,-5088
102,-296,4414,-5774
103,-56,4138,-5496
105,584,3810,-5428
106,-750,3702,-5686
108,-468,3066,-4728
109,410,3504,-5050
110,42,3618,-4484
112,-544,3258,-2626
113,-1274,3578,-2252
114,-1016,3258,-2294
116,-1114,4004,-578
117,-1738,2876,78
118,-1360,1978,1644
120,-2786,3786,2138
121,-2792,3850,2878
123,-2084,3298,2772
124,-2008,3080,2388
125,-1950,2968,3944
127,-1990,3276,3980
128,-3864,4824,3694
130,-700,3220,1388
131,-1624,3930,1244
132,-2318,4548,902
134,-664,2820,54
135,-1134,5084,-470
136,-172,3704,-2808
138,-570,3720,-2820
139,-910,4818,-3774
141,104,2744,-4430
142,-916,4162,-5128
143,-872,4416,-5886
145,342,4156,-5446
146,-310,4212,-5892
147,-940,2728,-4980
149,196,3264,-4958
150,32,3894,-4404
152,104,3324,-3282
153,-1336,3442,-2714
154,-1586,3446,-1580
156,-1156,3652,-1320
157,-1854,3564,-484
158,-1520,2592,994
160,-2618,3620,1920
161,-2758,4258,3092
163,-2252,2772,2936
164,-2024,2728,2656
165,-2580,2770,4044
167,-2058,2418,4054
168,-3564,4336,3276
169,390,2048,1632
171,-402,2806,1808
172,-2414,3362,462
173,-364,2170,1092
175,-578,4104,-978
176,-746,2604,-1984
178,386,2558,-2960
179,-1348,4580,-4192
180,452,2928,-3650
182,32,3442,-5136
183,-1170,4244,-5706
184,398,3728,-5650
186,34,4148,-6024
187,-718,3100,-4958
189,178,2936,-5178
190,60,3916,-4666
191,-232,3220,-3866
193,-720,3340,-2300
194,-1278,3302,-1908
196,-832,3710,-1622
197,-1548,2870,-240
198,-1458,2030,576
200,-2772,3266,2174
201,-2294,3854,2974
202,-1740,3038,2824
204,-2596,2818,2582
205,-2014,3368,3788
207,-1414,2536,3970
208,-2418,4740,3642
209,-1732,3776,2806
211,490,1918,1556
212,-2280,4852,504
213,-1252,2672,1324
215,4,4996,-332
216,-352,4272,-1574
217,872,1816,-2740
219,-1266,5024,-3500
220,52,3574,-3448
222,754,4012,-5104
223,-1240,4506,-5636
224,82,3602,-5482
226,-98,4278,-5874
227,-616,3530,-5494
229,-298,3332,-4926
230,-16,3916,-4798
231,128,3588,-4196
233,-338,3372,-2826
234,-1304,3318,-2048
235,-1136,3318,-1154
237,-1714,3738,-246
238,-1164,1954,-234
239,-2240,3834,1822
241,-2530,3978,2332
242,-1976,3480,2684
244,-2422,2694,2744
245,-2450,3312,2990
246,-1422,2664,3892
248,-3276,3848,3530
249,-3174,4120,1966
251,-490,2872,1538
252,-1678,4876,898
253,-1620,1962,486
255,-1260,4068,216
256,-1118,4804,-2378
257,958,2654,-2544
259,-1236,4732,-3356
260,-820,4210,-4048
262,124,3412,-4668
263,-1070,4340,-5148
264,-334,3938,-5100
266,376,4366,-6128
267,-286,3838,-5128
268,-418,2984,-4768
270,-564,3718,-4584
271,2,3452,-3902
273,-338,3384,-3674
274,-1390,3518,-1804
