timestamp,accX,accY,accZ
0,-1702,2810,2652
2,-150,4640,460
3,-1592,4380,1262
4,-176,1902,296
6,-1420,4946,-494
7,110,3766,-1860
9,1220,4078,-3930
10,-1034,4946,-3752
11,132,3432,-4588
13,-588,3912,-5580
14,-1566,5144,-5142
16,238,3482,-6384
17,882,3146,-6746
18,-562,3352,-4304
20,-352,3588,-4216
21,-386,3864,-4364
22,460,2998,-4014
24,-920,3310,-2842
25,-2294,3926,-340
26,-2206,3542,-594
28,-1602,3348,-4
29,-1810,2970,976
31,-2714,2630,2568
32,-3176,4196,3070
33,-3426,2322,3222
35,-2764,3336,3546
36,-2180,3926,3340
38,-1766,2806,4446
39,-3850,4608,4292
40,-2648,2172,2304
42,-350,3412,1120
43,-1412,4616,792
44,-334,2542,-310
46,-1326,3968,-98
47,-292,2822,-2536
48,416,3860,-3514
50,-634,4476,-3814
51,96,3098,-4226
53,-40,3184,-4916
54,-676,4172,-5970
55,682,4654,-6480
57,1186,3386,-6254
58,382,3202,-4910
60,-768,3472,-4708
61,200,3518,-4560
62,-356,3848,-4496
64,-900,3114,-3434
65,-1384,3666,-1052
66,-2182,4602,-244
68,-2032,3652,-34
69,-1382,2368,626
70,-1344,2158,1732
72,-3256,3974,3456
73,-2672,2882,3784
75,-1914,2898,2968
76,-2660,2830,2906
77,-1502,1852,3910
79,-3560,3928,3796
80,-1376,2602,2816
82,-134,2608,148
83,-874,4018,1028
84,-420,2126,434
86,-958,3326,-178
87,208,2940,-2096
88,604,2690,-2878
90,22,5026,-4184
91,76,3452,-4222
92,46,2334,-4776
94,-1182,5162,-5292
95,486,4656,-5868
97,1796,3656,-6466
98,-620,3382,-5168
99,-758,2804,-4326
101,-460,3592,-4712
102,604,3318,-4638
103,128,3354,-3358
105,-1914,4122,-1612
106,-2048,3790,-486
108,-1994,3668,212
109,-1874,3204,352
110,-758,1750,2340
112,-3408,4138,3102
113,-3574,3886,4088
114,-1926,3636,3632
116,-1704,3712,2622
117,-988,1890,4288
119,-2322,4592,4206
120,-2684,3498,3306
121,-874,2476,1182
123,-1494,4248,674
124,-1284,3454,636
125,-320,3958,-114
127,-1044,4144,-1070
128,174,2342,-3520
130,-888,5156,-3598
131,636,4168,-4854
132,144,3020,-4950
134,-1268,4094,-4954
135,-678,4788,-6546
136,1666,3744,-6200
138,468,3120,-6008
139,-1196,3202,-4650
140,346,3146,-4322
142,442,3832,-4138
143,-908,3294,-3614
145,-1142,3056,-2450
146,-1820,4226,-568
147,-2506,3876,162
149,-1840,2996,232
150,-1006,1964,1024
152,-2722,3394,3066
153,-3466,2728,3524
154,-2634,3258,3642
156,-2324,4116,2554
157,-1550,2068,3886
159,-3564,3372,4202
160,-3978,3008,3298
161,66,2516,1300
163,-724,4486,892
164,-1454,2280,428
165,-798,2990,764
167,-1556,4538,-1806
168,732,2372,-2874
169,-52,4188,-4014
171,-484,3616,-4618
172,-198,2916,-3956
174,-586,2942,-4978
175,-90,5256,-5834
176,1762,4064,-6826
178,1556,3432,-5512
179,-1296,3206,-4340
181,-600,3156,-4278
182,362,3380,-4760
183,-288,3212,-4598
185,-728,3898,-1668
186,-1848,3476,-1060
187,-2488,3458,600
189,-1926,3264,554
190,-930,2084,406
192,-1310,3828,3288
193,-3246,3968,3816
194,-3038,3006,3746
196,-2648,3456,2506
197,-714,2342,2958
198,-1714,2764,4328
200,-3216,3874,3842
201,-1186,2330,3048
203,-210,4436,754
204,-1076,3564,-10
205,-164,2652,276
207,-928,3852,-958
208,-222,2382,-1990
209,142,4580,-4002
211,-190,4904,-4368
212,702,3172,-4470
213,-844,3386,-5178
215,-1196,4754,-5174
216,526,4982,-6854
218,666,3136,-6132
219,-888,3294,-5186
220,-1080,3276,-3744
222,734,2948,-4936
223,-540,3854,-3874
224,-814,3326,-2792
226,-1302,3592,-1318
227,-2060,3736,404
229,-1928,3444,148
230,-1618,2608,288
231,-458,3238,2462
233,-3634,4370,3560
234,-3186,2752,3652
235,-2980,4226,3080
237,-900,3176,3310
238,-2938,3400,4316
240,-4054,4280,3270
241,-2156,2530,2308
242,-388,3458,918
244,-1830,4838,402
245,-104,2350,72
247,-1234,4516,104
248,-1146,1962,-2822
249,566,3110,-3628
251,-310,5582,-4092
252,-118,2204,-4974
253,-790,2854,-4584
255,-1966,4998,-5904
256,1582,3906,-6318
258,1472,3314,-5504
259,-1192,3252,-4642
260,-362,3222,-3936
262,26,3504,-5192
263,-300,3470,-4064
264,-694,3172,-3798
266,-1502,4076,-928
267,-2118,3528,54
269,-2202,3314,324
270,-1156,2426,614
271,-754,2182,1460
273,-3450,3988,3986
274,-3044,2400,4010
