timestamp,accX,accY,accZ
0,-726,3162,-4238
2,-156,3604,-3476
3,706,3084,-3504
5,-286,3188,-2456
6,-1432,3610,-1526
7,-1166,3620,148
9,-2388,3358,798
10,-2264,2248,1076
11,-2104,4524,2510
13,-1814,3796,2484
14,-1796,2386,3958
15,-3360,3262,3396
17,-1632,2436,3700
18,-1138,2866,3030
20,-2692,3996,3066
21,-1932,2928,2906
22,-832,3754,1462
24,-990,3308,528
25,-762,3472,280
26,-470,3734,-1800
28,-136,3056,-2170
29,54,4166,-2730
31,-774,4214,-3648
32,110,3498,-5270
33,406,3774,-5832
35,-396,3738,-5082
36,-440,3276,-5276
37,54,5028,-6150
39,1296,3002,-5818
40,672,3626,-4704
42,-1174,3912,-3804
43,246,3264,-3060
44,-1032,3536,-2808
46,-1566,3046,-2294
47,-940,3870,-318
48,-2124,3788,512
50,-2274,2570,1426
51,-2970,3804,2058
53,-2294,4534,2162
54,-1336,2982,3592
55,-3842,3520,3578
57,-2434,2396,3934
58,-1250,3802,3456
59,-2436,4118,2720
61,-2342,3252,1646
62,-1222,3454,1948
64,-1230,3328,502
65,-776,4080,556
66,-264,3622,-1398
68,-138,3232,-2492
69,-172,3568,-2658
70,-946,3944,-3160
72,-466,3794,-4704
73,716,3666,-5866
75,60,3952,-5420
76,-1002,3848,-5594
77,-1052,5314,-5200
79,672,2660,-5830
80,-358,2992,-5042
81,-1228,3786,-4592
83,-574,3260,-3204
84,-716,3626,-2662
86,-1216,3152,-1942
87,-1094,3692,-654
88,-1648,4040,1064
90,-2196,2024,1332
91,-2566,2618,1836
92,-2922,4428,2158
94,-1524,2756,3314
95,-3330,3414,3640
97,-3374,2094,3934
98,-1096,2764,3840
99,-2342,4226,2612
101,-1644,2828,2596
102,-970,2938,1322
103,-1792,3234,902
105,-706,3196,536
106,-882,3824,-2018
108,252,3254,-2104
109,350,3280,-2838
110,-860,4064,-3388
112,-186,3380,-4456
113,690,3736,-5298
114,356,3370,-5466
116,-736,3716,-5478
117,-1534,4920,-5974
119,1224,2874,-5678
120,330,2896,-5326
121,-1044,3490,-3910
123,214,3298,-3220
124,-384,3810,-2716
125,-1174,2662,-2392
127,-756,3174,-1394
128,-1612,4080,632
130,-2096,2362,1224
131,-2064,1834,2032
132,-2076,4312,2226
134,-1274,2984,2796
135,-2148,3096,3658
136,-2330,2500,3700
138,-1070,1870,3952
139,-1812,4474,2754
141,-1898,3170,2682
142,-882,2562,1060
143,-1670,3646,1492
145,-698,2672,444
146,-736,4376,-890
147,100,3392,-2364
149,400,2890,-2916
150,-1298,4314,-2968
152,-494,3644,-3906
153,302,3886,-5822
154,-42,3974,-5776
156,54,3194,-4932
157,-924,5028,-5494
158,586,3752,-5782
160,1184,3214,-4986
161,-1100,3824,-4592
163,-194,3204,-2864
164,-854,4054,-2628
165,-1236,3038,-2596
167,-1038,3618,-916
168,-1956,4350,-46
170,-2164,3430,1330
171,-2772,2550,1648
172,-3030,4330,2190
174,-1754,2686,3196
175,-3436,3694,3508
176,-3446,3504,3848
178,-1032,2384,3862
179,-2652,4370,3098
181,-2540,2546,2696
182,-978,2950,1464
183,-1846,4116,1608
185,-1192,2898,438
186,-716,4070,-284
187,-698,4246,-2256
189,530,2822,-2746
190,-778,4274,-3460
192,-1094,3344,-4468
193,570,3588,-5474
194,186,4138,-5638
196,-952,3778,-5244
197,-1300,5172,-5208
198,44,2714,-5900
200,254,2828,-5266
201,-940,3556,-3980
203,162,3222,-3266
204,-596,3934,-2810
205,-1334,2732,-2498
207,-904,3074,-1280
208,-1798,4224,1050
209,-2396,2406,1154
211,-1918,1880,1428
212,-3280,3832,2090
214,-1576,3098,3110
215,-2042,3096,3994
216,-4048,2488,3704
218,-1112,1878,4018
219,-1794,3644,2970
220,-1930,3298,2924
222,-708,2390,2378
223,-1888,3666,1398
225,-462,3036,258
226,-358,3286,-1544
227,-520,3722,-1426
229,450,2480,-2534
230,-6,4586,-3184
231,-430,3790,-4438
233,458,3230,-6160
234,458,4058,-5544
236,96,2962,-5858
237,-1580,5182,-5770
238,758,3412,-6020
240,1110,2526,-5432
241,-916,3644,-4328
243,-204,2984,-3694
244,-78,4218,-2798
245,-1116,3084,-2512
247,-734,2956,-770
248,-2160,4380,-50
249,-2316,3384,1276
251,-1908,2486,1574
252,-3054,4292,2376
254,-1702,3832,3368
255,-1672,3556,3488
256,-3352,3344,3718
258,-1798,2156,3788
259,-2458,4138,3154
260,-2632,4392,2714
262,-1322,2558,1666
263,-2306,4148,1722
265,-1338,3240,586
266,-454,3644,-428
267,-552,4302,-1972
269,294,2754,-2720
270,-980,4206,-2608
271,-1038,4118,-4612
273,632,3524,-5438
274,188,4386,-5970
