timestamp,accX,accY,accZ
0,-828,3214,-1418
2,18,4334,-1858
3,-474,4352,-2146
4,82,3026,-2628
6,-706,4032,-3726
7,-264,4122,-5174
9,348,3704,-5798
10,-466,4370,-5186
11,-318,3564,-4668
13,256,3084,-5478
14,-492,3440,-5192
15,-126,3732,-4498
17,-642,4152,-3538
18,-650,2950,-2448
20,-1308,3048,-2324
21,-1680,4030,-504
22,-472,2532,-794
24,-1252,2162,98
25,-2922,3476,1958
27,-2414,3644,3028
28,-1586,3366,2202
29,-1970,2352,2326
31,-2644,3170,3710
32,-2792,3250,3502
34,-2412,3118,3408
35,-1594,3076,1810
36,-944,3894,1766
38,-980,3196,1380
39,-1418,3984,722
40,102,2882,-918
42,434,3234,-2100
43,-326,3826,-2982
45,-16,2856,-2676
46,-358,4480,-4016
47,-156,3866,-4776
49,688,3428,-5560
50,-384,4224,-5576
52,-482,3630,-5018
53,-116,3546,-5260
54,-470,3878,-4836
56,24,3382,-4288
57,-708,3680,-3738
58,-1420,3698,-2706
60,-1520,3586,-1902
61,-1364,4128,-1002
63,-998,3534,-288
64,-1938,2506,1160
65,-2720,3172,1962
67,-2676,3300,2594
68,-1896,3842,2250
70,-1550,3016,3112
71,-3138,3614,4028
72,-3030,3598,3840
74,-2022,3270,3022
75,-1348,3224,1356
76,-1512,3654,1778
78,-1208,2900,866
79,-1754,3792,1088
81,-1360,2324,-1428
82,-42,4228,-1844
83,-710,4784,-3208
85,-296,2834,-2514
86,-982,4144,-3610
87,-522,3404,-5434
89,422,4070,-5718
90,-118,4268,-5410
92,-8,3152,-4512
93,-114,3286,-5300
94,-630,3776,-5056
96,208,3452,-4738
97,-436,3512,-4032
98,-1018,3548,-2062
100,-1422,3344,-2040
101,-1316,3524,-890
102,-830,3120,-842
104,-412,1868,-304
105,-2532,2554,1922
107,-3054,3642,3078
108,-1588,3482,2226
109,-1714,2468,1866
111,-2720,3038,3290
112,-3400,3980,3756
113,-2678,3164,3548
115,-1620,3110,1666
116,-1346,3866,1608
118,-1254,3466,1176
119,-1602,2914,716
120,-246,3018,-328
122,784,3102,-2008
123,-508,4252,-3442
124,110,2894,-2444
126,-368,3324,-3520
127,-908,3808,-4634
129,714,3604,-5872
130,732,4250,-5700
131,-500,3346,-4946
133,-222,2888,-5100
134,-646,4032,-4888
135,128,3742,-5068
137,12,3260,-4142
138,-1402,3664,-2872
140,-1806,3804,-1740
141,-1424,3442,-1462
142,-1314,3786,-1092
144,-870,2860,638
145,-2330,2334,2122
146,-3004,3486,2288
148,-2724,3792,2460
149,-1066,2814,2060
151,-2034,2396,3584
152,-3506,3924,4236
153,-2142,3242,3996
155,-2360,3206,1130
156,-1412,3626,1534
157,-748,3608,854
159,-1266,3764,1456
160,-962,2826,64
162,380,2026,-1602
163,-842,4996,-2084
164,562,2938,-3498
166,-1082,4610,-3122
167,-642,3858,-3848
169,600,3956,-5614
170,-390,4932,-5234
171,446,4032,-4776
173,-184,2942,-5580
174,-710,3258,-4848
176,-58,3958,-4336
177,-372,3654,-4312
178,-922,3320,-2616
180,-1476,3704,-2044
181,-1230,3456,-1088
183,-1668,3720,-440
184,-640,2338,-130
185,-1300,2776,1974
187,-3508,4182,2576
188,-2430,4126,2600
190,-1310,2426,1984
191,-2372,2800,2534
192,-3264,3468,4366
194,-2602,3372,3880
195,-2008,3274,1382
196,-592,3438,1576
198,-1198,3750,1776
199,-1998,3080,-242
201,-460,2786,54
202,622,3228,-1798
203,-668,3806,-3004
205,118,2920,-3124
206,-550,3974,-3800
207,-84,3146,-4568
209,72,3342,-5744
210,-288,4616,-5598
212,446,3312,-5286
213,-404,3088,-5312
214,-84,3420,-4968
216,208,3872,-4558
217,108,3462,-4018
218,-1086,3078,-3450
220,-1592,3640,-2148
221,-1170,3890,-1164
223,-1560,3600,-714
224,-1498,1884,276
225,-2074,2618,1746
227,-2420,3686,2962
228,-2114,3776,2664
230,-1324,2566,2526
231,-1740,3616,3540
232,-2968,3612,4058
234,-2478,3150,3154
235,-1598,3266,1578
237,-828,3250,1530
238,-1050,3564,1046
239,-1894,3852,1360
241,-546,2760,-816
242,-358,4208,-1478
243,-704,4256,-2140
245,422,3594,-3032
246,-882,4860,-3184
248,-116,3420,-5412
249,-474,4404,-5312
250,-238,4896,-5538
252,896,3240,-5034
253,-824,3544,-5330
255,-558,3168,-4896
256,198,3868,-4388
257,-510,3750,-4504
259,-918,3484,-2626
260,-1048,3518,-2076
261,-1194,3782,-856
263,-1732,3552,-470
264,-746,1840,-336
266,-1508,3558,1982
267,-2852,3922,2306
268,-2348,3506,2530
270,-1474,2430,2098
271,-2228,2594,2932
272,-3076,3704,3952
274,-2498,3200,3606
275,-1976,2988,1172
