timestamp,accX,accY,accZ
0,-116,4000,-4838
2,-274,3904,-4402
3,-722,3308,-4320
5,-474,3340,-4638
6,-14,3490,-3946
7,-476,3590,-3090
9,-1008,3158,-1808
10,-1216,3022,-1130
11,-1236,3622,-348
13,-1782,3628,-214
14,-1648,2674,184
16,-1210,3378,2218
17,-2350,3428,1948
18,-2602,3366,2224
20,-2058,3998,2012
21,-742,2326,1974
22,-1794,2072,3326
24,-3220,4288,3070
25,-1054,3252,2164
26,6,4120,382
28,-1290,3920,538
29,-728,2738,604
31,-1378,4170,-672
32,266,3028,-1956
33,666,2914,-3100
35,-866,4146,-3450
36,-376,3424,-3220
37,-798,3758,-4282
39,-554,3626,-5176
40,154,3772,-5266
41,-586,4268,-4840
43,-1060,3666,-4050
44,-976,3078,-4342
46,-58,3288,-4506
47,268,3502,-3110
48,-1314,3424,-1976
50,-1820,3326,-1580
51,-1140,3130,-1104
52,-1742,3642,-438
54,-1826,3764,2
55,-1234,2496,1536
57,-3180,3660,2040
58,-2426,3344,2664
59,-2000,4240,2462
61,-1822,3352,1906
62,-924,2432,3092
63,-3186,4142,3386
65,-2348,4418,1678
66,624,2414,236
68,-1224,3760,274
69,-1500,3050,1068
70,-788,3362,100
72,-924,4082,-2228
73,328,2882,-2902
74,-426,4006,-3228
76,-1312,4356,-3436
77,-278,3178,-3620
78,-786,4072,-4856
80,-422,3678,-5540
81,-8,4034,-5082
83,-1210,4242,-3920
84,-734,2646,-4036
85,16,3240,-4758
87,40,3850,-3416
88,-878,3448,-2558
89,-1542,3162,-1884
91,-1400,3568,-1188
92,-1362,4062,-410
94,-1338,3426,98
95,-1424,2556,862
96,-2844,3480,2160
98,-2102,3258,2342
99,-2304,3924,2374
100,-2188,3894,2040
102,-1558,2260,2980
103,-2338,2910,3134
105,-3746,3858,2330
106,336,2862,854
107,38,3344,272
109,-1496,3324,1160
110,-1124,3164,720
111,-1096,3666,-1992
113,652,2864,-2868
114,200,3406,-3442
116,-832,3836,-2972
117,-446,3190,-3590
118,-502,3510,-4882
120,4,3696,-5784
121,56,4084,-5208
122,-240,3856,-4014
124,-1186,2996,-3848
125,-502,2746,-4466
127,390,3822,-3978
128,-446,3788,-3034
129,-1206,2952,-1226
131,-1286,3240,-1222
132,-1066,3456,-664
133,-1456,3400,-126
135,-1600,2564,474
136,-1478,2484,2296
137,-2336,3690,2040
139,-2358,3218,2374
140,-1884,3674,1950
142,-852,2264,2196
143,-1738,2258,3366
144,-3158,4230,3118
146,-518,3128,1004
147,384,3686,-274
149,-1666,4160,1114
150,-1636,3286,190
151,-978,3830,-1054
153,440,3492,-2628
154,290,3786,-3396
155,-1206,4174,-3132
157,-538,3524,-3602
158,-332,3762,-4388
159,-650,3858,-5330
161,-136,3886,-5162
162,-566,4070,-4680
164,-1226,3506,-3976
165,-1006,3080,-4344
166,106,3712,-4280
168,24,3834,-2820
169,-1476,3158,-2086
170,-1570,2826,-944
172,-1196,3400,-272
173,-1402,3610,-750
175,-1400,2444,-78
176,-1436,3420,2056
177,-2704,3978,2240
179,-2240,3216,2296
180,-2366,3942,2124
181,-1066,2862,1852
183,-1310,3350,3246
184,-3354,4136,3058
185,-1898,3392,742
187,-2,3474,396
188,-1098,4036,184
190,-1342,3078,938
191,-1172,3738,-278
192,-458,3728,-2940
194,744,3698,-2826
195,-594,4126,-3486
196,-870,3546,-3412
198,-384,3576,-4032
199,-670,3748,-4766
201,-70,3938,-5342
202,-202,4214,-5068
203,-896,3878,-3888
205,-1082,2952,-4318
206,-374,3344,-4344
207,214,3830,-3320
209,-1016,3494,-2430
210,-1780,3068,-1354
212,-1498,3314,-726
213,-1412,3854,-572
214,-1292,3342,386
216,-1650,2446,1464
217,-3228,3910,2126
218,-2406,3238,2410
220,-1820,3488,2160
221,-2256,3454,2172
222,-1730,2626,3134
224,-2766,3962,3406
225,-2844,3252,1296
227,232,2766,704
228,-348,3418,1166
229,-1606,3410,1074
231,-638,2786,270
232,-1136,3662,-2380
234,478,3304,-2584
235,0,3700,-3298
236,-1384,3480,-3420
238,-316,2988,-3640
239,-282,3682,-5172
240,-160,3870,-5588
242,-10,4012,-5126
243,-476,3596,-3934
245,-840,2728,-4204
246,-402,2974,-4272
247,-140,4066,-3510
249,-520,3618,-2902
250,-1244,2788,-1216
251,-1348,3398,-988
253,-1670,4404,-604
254,-1220,2476,-378
256,-1480,2330,816
257,-2678,3670,2430
258,-2404,3426,2218
260,-2164,3656,2104
261,-2246,2722,1768
262,-1632,2684,2792
264,-2366,3484,2954
265,-1786,3274,2388
266,-320,3328,1090
268,-142,3644,30
269,-1324,3666,1372
271,-1346,3264,-220
272,-530,3546,-1406
273,316,3504,-2828
