timestamp,accX,accY,accZ
0,-1236,2870,1860
2,-1446,3612,1062
3,-110,2536,720
5,-34,5116,-1118
6,-294,3292,-1508
7,840,2028,-2754
9,-430,4766,-3834
10,1006,2878,-4942
11,224,3408,-6116
13,306,3694,-5636
14,650,3274,-6092
16,-336,4094,-6550
17,-340,3774,-6012
18,480,3756,-5614
20,-646,3576,-4792
21,-1022,3564,-4168
22,-482,3156,-3266
24,-870,3874,-2062
25,-1214,3088,-944
27,-1838,3270,538
28,-2194,3698,1282
29,-2262,2800,2404
31,-2694,3552,2400
32,-2302,3378,3470
34,-3176,4082,4650
35,-3122,3704,4078
36,-1400,2634,4372
38,-2292,4012,3338
39,-2214,3734,2880
40,-1528,2800,1952
42,-1936,4452,894
43,-1168,2494,-358
45,-794,3560,-460
46,-1512,4510,-2060
47,-330,2666,-2856
49,-430,4384,-4052
50,-496,4384,-5214
51,164,3510,-5086
53,-654,4536,-5742
54,94,3084,-5822
56,86,3828,-6096
57,-868,4736,-5632
58,958,3208,-5782
60,144,3332,-4654
61,-552,3864,-3144
62,120,3106,-3386
64,130,3238,-1432
65,-1350,3166,-1116
67,-1250,2918,124
68,-1796,3614,1082
69,-2334,3118,2142
71,-2490,2952,2874
72,-2490,2940,2862
73,-2854,3516,3878
75,-3192,4116,3580
76,-2670,2160,3904
78,-2656,3160,3478
79,-2520,3464,2682
80,-1312,2606,2052
82,-1970,3500,1414
83,-298,2800,816
84,24,3510,-306
86,-1276,2966,-2748
87,96,3292,-2298
89,-54,4054,-4110
90,384,3318,-4280
91,410,3356,-5392
93,-204,4004,-5996
94,392,3406,-6012
95,112,3546,-6234
97,-108,4492,-5196
98,516,3478,-6370
100,124,3566,-5126
101,-930,3696,-3952
102,-744,3442,-3248
104,-362,3776,-2068
105,-1284,3850,-1726
106,-1076,2606,42
108,-2648,3900,1140
109,-2478,3456,1780
111,-2114,3100,2116
112,-2850,3496,2562
113,-2264,2938,4256
115,-3266,4042,4424
116,-1952,2184,3416
117,-2262,3742,3538
119,-1876,3984,3460
120,-1150,3100,1950
122,-1946,3564,1046
123,-1280,4316,952
124,144,3054,-862
126,-1148,4286,-1592
127,-758,3558,-1734
128,790,4026,-3010
130,-454,4446,-4610
131,180,2996,-5218
133,-674,4822,-5422
134,-58,4050,-5832
135,304,3292,-5906
137,-952,4810,-5682
138,-542,4346,-5886
139,126,3254,-4948
141,-452,3400,-4248
142,-1138,3186,-2980
144,-88,3076,-2540
145,-1054,3246,-1626
146,-1318,3070,400
148,-1754,3298,376
149,-2458,3018,1808
151,-1884,2268,2336
152,-3058,3372,2670
153,-2774,3440,3928
155,-2618,3820,3682
156,-2688,2332,3724
157,-2270,2420,3660
159,-2460,3922,2902
160,-1042,2498,1930
162,-1324,2784,1558
163,-2198,3800,568
164,-176,3394,420
166,2,3674,-1638
167,226,2916,-2968
168,244,3700,-2216
170,8,4592,-5142
171,58,3074,-5150
173,-20,3858,-5372
174,-82,3778,-6248
175,-40,3344,-6306
177,-254,3798,-5328
178,192,4022,-5832
179,-50,3520,-5318
181,80,3520,-3900
182,-614,3548,-3272
184,-618,3172,-2486
185,-842,3394,-1668
186,-994,2756,-972
188,-1668,3950,1296
189,-2440,3474,1588
190,-1588,2396,2286
192,-2538,3764,2824
193,-2710,3138,3444
195,-2518,3594,4060
196,-2020,2504,3508
197,-2268,2184,3966
199,-2140,3996,3270
200,-1328,3504,2898
201,-1196,2570,990
203,-1672,3782,510
204,-1036,4540,798
206,532,3344,-1738
207,-1418,3748,-2090
208,-64,3028,-2762
210,240,4322,-4350
211,34,3744,-5026
212,274,3478,-5696
214,-118,4180,-5458
215,30,3706,-5942
217,-698,4192,-5642
218,-562,4200,-5618
219,494,3528,-4886
221,-142,3478,-4130
222,-942,3462,-2870
223,-506,3600,-2192
225,-304,3118,-2078
226,-602,2992,-88
228,-2032,3124,604
229,-2562,3744,1914
230,-2392,2670,2044
232,-2734,2990,2418
233,-2784,3274,4176
235,-2848,3692,3668
236,-2628,2938,3578
237,-2620,2826,3536
239,-2390,3710,3316
240,-1642,3074,2384
242,-1468,3100,1248
243,-1366,2806,786
244,-880,4834,312
246,-96,4302,-804
247,82,2978,-2540
248,-330,3776,-2924
250,-66,4416,-2920
251,744,3456,-5698
252,-38,3736,-5432
254,498,3346,-5368
255,-272,4118,-5972
257,-608,3952,-6422
258,-728,3780,-6320
259,-256,4130,-5294
261,-414,3956,-3872
262,-684,3220,-3564
263,-772,3206,-2946
265,-1070,4058,-2100
266,-346,1950,-1628
268,-1372,2666,1508
269,-2954,3780,2108
270,-1988,2756,2156
272,-2062,2958,2318
273,-2926,3536,3122
274,-3024,3854,4436
