timestamp,accX,accY,accZ
0,-1992,3670,2630
2,-1722,3562,3392
3,-2748,2758,2576
4,-1782,1822,3454
6,-1764,4106,3452
7,-2198,3698,2948
9,-1424,2826,1548
10,-1278,3592,624
11,-1480,4204,1040
13,-782,3042,-218
14,-768,3974,-1514
15,-948,4312,-1582
17,808,3236,-3364
18,-600,3730,-3662
19,-1082,3826,-4356
21,570,3374,-5580
22,266,3530,-5638
23,56,3532,-4760
25,-460,4118,-5376
26,150,3396,-4890
28,-334,3848,-4652
29,-636,3604,-4178
30,-222,3278,-2964
32,-860,3694,-2102
33,-802,2742,-1554
34,-1196,3780,-588
36,-1752,4386,396
37,-1114,2864,774
38,-1744,3292,1982
40,-3280,3972,2674
41,-1884,3552,3120
43,-2924,3696,2550
44,-2304,2510,2844
45,-1948,3232,3860
47,-2672,3742,2942
48,-2190,3630,1898
50,-328,2834,1168
51,-1372,3766,1176
52,-1312,3724,516
54,-336,3548,-570
55,-396,3746,-2512
56,130,3574,-3484
58,390,3386,-3160
59,-118,3952,-4496
60,-278,3512,-5210
62,766,3124,-5836
63,366,4224,-5872
64,-1440,4542,-5180
66,-60,3222,-5342
67,-642,4304,-4388
69,-736,3878,-4998
70,-314,3090,-3924
71,-1038,3748,-2186
73,-1266,3574,-1474
74,-1108,2618,-1064
76,-1408,3572,-460
77,-1898,2730,1398
78,-2006,2126,1552
80,-3162,3526,2130
81,-2880,3700,3492
82,-2196,3492,3318
84,-2792,3156,3198
85,-1864,2788,4350
87,-2152,3660,3942
88,-2352,3088,1766
89,24,2440,1240
91,-800,3684,1222
92,-1676,3070,544
93,-1248,3684,-36
95,-678,3924,-2806
96,-30,3612,-3102
97,-230,3568,-3776
99,-298,4494,-3418
100,-296,4020,-4628
102,466,2548,-6202
103,-250,3922,-5698
104,-934,5376,-5106
106,-546,2794,-5692
107,62,2486,-5568
108,-698,3306,-4574
110,-472,3876,-3456
111,-408,3630,-3270
112,-1216,3586,-1766
114,-1096,2622,-876
115,-1406,3846,-788
117,-1728,2910,828
118,-1884,1902,1422
119,-2842,3288,2622
121,-1574,3238,2524
122,-2144,3122,3312
123,-3230,3784,3062
125,-1626,2602,3556
126,-1710,3330,3810
128,-2580,3564,2814
129,-1202,2716,2338
130,-60,2940,1434
132,-770,3134,178
133,-912,2758,284
134,-1342,3902,-1390
136,384,2918,-3104
137,-318,3524,-4020
138,-474,4158,-3570
140,-406,4498,-4188
141,386,3644,-5900
143,-92,2904,-5774
144,-644,4126,-5324
145,-1022,4374,-5522
147,926,2554,-6198
148,12,2508,-4424
149,-902,4102,-3750
151,-102,3480,-3634
152,-518,3596,-2396
153,-1296,3332,-1754
155,-1230,3158,-786
156,-1838,3538,824
158,-1994,2808,1560
159,-2092,2444,2200
160,-1888,3896,2332
162,-1544,3486,3868
163,-2282,3232,3490
165,-2150,2402,3428
166,-1844,2954,3224
167,-2110,3896,2980
169,-2122,3368,2516
170,-1338,2870,974
171,-1066,3486,822
173,-1230,3956,-442
174,-902,3734,-1410
175,-510,3880,-2120
177,-76,3260,-2890
178,-674,3610,-3412
180,-1388,4542,-3908
181,20,3246,-5856
182,778,3062,-5594
184,-594,3284,-4892
185,-1000,4824,-4578
186,1252,3676,-5764
188,1320,3016,-5020
189,-1240,3826,-4148
191,-862,3848,-2682
192,-900,3746,-2400
193,-1322,3224,-2164
195,-1290,3518,-524
196,-1366,4314,170
197,-1850,3046,1322
199,-2304,2582,2118
200,-2712,4092,2588
201,-1158,3666,3028
203,-3286,3530,3002
204,-2928,2604,3278
206,-2124,3642,4000
207,-2076,3730,2178
208,-2126,3348,2228
210,-572,3038,1654
211,-1144,3876,1690
213,-924,2810,-90
214,-1408,4000,-312
215,-112,3912,-2496
217,160,3650,-3552
218,-750,4226,-3366
219,-464,3474,-4314
221,-702,4290,-4682
222,50,4728,-6014
223,642,2938,-5538
225,-916,4120,-5614
226,-902,4196,-5342
227,664,3376,-4506
229,-952,4358,-4796
230,-638,2400,-3918
232,-534,3364,-2972
233,-1796,4590,-806
234,-1974,2918,-1404
236,-1424,3418,-806
237,-1254,3446,1192
238,-2536,2738,1992
240,-3210,3308,2448
241,-2496,3318,2748
243,-1946,3776,3384
244,-2304,3090,3178
245,-2446,3272,4272
247,-2438,4008,3682
248,-1746,3332,2354
250,-1150,2984,1720
251,-890,3216,1072
252,-608,3120,598
254,-870,3054,-362
255,-1268,3396,-1890
256,112,3582,-2858
258,-202,4138,-3922
259,-946,3586,-3756
261,-1102,4530,-4504
262,-108,2920,-5660
263,308,3060,-5870
265,-978,4208,-5012
266,-1284,3580,-4924
267,1224,2516,-5610
269,-506,3178,-4224
270,-504,3260,-3402
271,-204,3794,-3116
273,-1092,3316,-1840
