timestamp,accX,accY,accZ
0,-3280,4632,2932
2,-1452,3150,3088
3,-2868,3500,2844
4,-2778,3102,3320
6,-1986,3464,3180
7,-1558,2960,2140
9,-2068,3238,1006
10,-976,4016,1348
11,-766,3714,578
13,-434,3024,-512
14,-944,3258,-536
15,-554,3702,-2308
17,-236,3306,-3990
18,78,3618,-3642
19,-1052,4428,-4696
21,516,2886,-5060
22,232,3336,-5700
24,-916,3942,-5910
25,100,3366,-5350
26,68,3766,-4918
28,-456,3008,-4592
29,-1044,3234,-3804
30,-708,4026,-2978
32,-892,3630,-2824
33,-818,3384,-1970
35,-1308,3478,-196
36,-2446,4370,1002
37,-1384,3086,954
39,-2948,2830,2224
40,-3018,4546,3382
42,-594,2588,3086
43,-2890,3088,3420
44,-2856,3250,3742
46,-1188,3540,3636
47,-1568,3034,2362
48,-2106,3312,2060
50,-960,3092,1410
51,-966,4052,190
52,236,2802,-1234
54,-770,2724,-576
55,-920,3892,-1768
57,446,3150,-3090
58,588,3004,-4172
59,-984,4486,-4728
61,100,3454,-4744
62,584,3308,-5198
63,-688,3816,-5170
65,-304,3478,-5514
66,132,3964,-5248
67,124,3150,-4934
69,-712,3102,-4050
70,-1172,3686,-3074
72,-626,3812,-2708
73,-474,3504,-1874
74,-1396,3354,-594
76,-2280,3812,492
77,-1814,2122,1158
78,-1062,1596,1480
80,-3604,3574,2224
81,-2698,3410,2998
82,-1524,2990,3366
84,-3088,3318,3144
85,-2376,3240,4058
87,-1312,3392,2962
88,-1514,3496,2384
89,-1436,3188,1564
91,-1002,3616,968
92,-252,3376,-596
93,-318,3084,-576
95,-998,3646,-2096
96,-480,4284,-2050
97,844,3220,-3784
99,348,4472,-4088
100,-638,4104,-4888
102,406,3180,-5606
103,-978,4510,-4900
104,-490,3490,-5618
106,-78,3946,-5078
107,-80,3976,-5028
108,-372,3250,-3914
110,-860,3280,-3434
111,-674,3760,-3088
113,-826,3752,-1888
114,-1486,2912,-1150
115,-1898,3268,-352
117,-1488,3596,900
118,-478,1448,998
120,-2758,4160,2224
121,-2722,4200,2906
122,-896,3120,3270
124,-2456,2970,2524
125,-2690,2712,3604
126,-1746,3832,2674
128,-1534,2920,2224
129,-2198,3160,1794
131,-718,3874,1794
132,-444,3492,88
133,-728,3666,-342
135,-52,2636,-1792
136,-908,4250,-1778
137,178,2810,-3704
139,-288,3434,-4170
140,-1642,4724,-4606
141,-204,2838,-5756
143,-272,4330,-5076
144,-778,4382,-5632
146,-40,3428,-5226
147,-220,3994,-4940
148,-344,3024,-4194
150,-690,3198,-3732
151,-600,3646,-2768
152,-1030,3584,-2178
154,-1182,3192,-1418
155,-1560,3516,32
157,-1576,4042,508
158,-1008,2578,1438
159,-3718,3460,2656
161,-3084,4394,2358
162,-2052,3062,3226
163,-2964,3588,2682
165,-2354,2446,4162
166,-1994,4134,3470
168,-1436,2922,2294
169,-1748,3404,1506
171,-1250,3510,1184
172,-876,3402,-536
173,-596,3836,-428
175,-438,2416,-1102
176,-404,4642,-1818
177,754,3298,-3828
179,532,2906,-4134
180,-1130,4328,-4284
182,574,2858,-5292
183,574,4788,-4912
184,-160,3474,-5736
186,-548,3040,-5364
187,-364,4076,-4810
188,64,3558,-4582
190,-588,3472,-3194
191,-718,3368,-3360
193,-834,3574,-1772
194,-736,3216,-1312
195,-1872,3662,-196
197,-1718,3426,810
198,-842,1884,1094
199,-2170,2128,2224
201,-3778,4052,2418
202,-1548,3462,3236
203,-1964,3612,2418
205,-2568,2392,3478
206,-2452,3506,4168
208,-2290,2810,2276
209,-1688,2938,2032
210,-700,3788,1530
212,-378,3200,376
213,-820,3374,-2
214,-1232,2776,-1266
216,10,3268,-2696
217,-70,4592,-2940
219,478,3224,-3850
220,-1436,4308,-3726
221,-838,3984,-5380
223,616,3822,-5646
224,-688,4684,-5416
225,-298,3586,-5012
227,-362,3690,-4750
228,-378,3926,-4706
229,-466,2970,-4130
231,-740,3390,-3480
232,-884,3778,-1968
234,-1130,3178,-1344
235,-1496,2982,140
236,-2058,4068,468
238,-1108,2684,964
239,-720,1588,2824
241,-3020,4286,2420
242,-2388,3724,3174
243,-1152,3424,2222
245,-1864,2082,2562
246,-2672,2816,3830
247,-1800,3470,2740
249,-1294,2590,2166
250,-1164,3968,314
252,-756,3912,1112
253,-484,3224,-606
254,-1490,3860,-538
256,-84,2734,-1884
257,188,4236,-3260
258,414,3304,-4110
260,-440,3632,-3762
261,-1230,3640,-5288
263,596,3096,-5738
264,-6,4230,-5308
265,-450,3388,-5482
267,-334,3448,-4796
268,-158,3720,-4568
269,-472,3234,-3872
271,-738,3130,-3056
272,-828,3686,-2420
274,-920,3500,-1348
