timestamp,accX,accY,accZ
0,84,2854,-5102
2,258,3974,-5140
3,-306,3872,-4146
4,-752,3508,-2822
6,-1438,3312,-2276
7,-1272,3736,-968
9,-1904,3558,-114
10,-1818,2694,410
11,-536,1642,778
13,-3254,3834,2796
14,-3712,3926,4178
15,-1548,2922,2936
17,-2536,3564,3396
18,-2448,2058,4198
20,-3316,4946,4698
21,-1790,3438,2870
22,326,1674,1876
24,-1474,4796,1720
25,-1390,2776,1422
26,124,2764,-118
28,-124,3600,-1966
29,1274,2102,-2464
30,240,5204,-3732
32,218,3322,-3698
33,322,2678,-4858
35,-282,4482,-6192
36,1126,3756,-6596
37,1228,4004,-6128
39,-1062,3638,-5110
40,-286,2554,-5382
41,166,3932,-6046
43,-220,4020,-4736
44,-680,3772,-2990
46,-1236,3006,-2310
47,-1076,3162,-1786
48,-1502,4208,-286
50,-2138,3582,206
51,-630,1672,1914
53,-3034,3448,3146
54,-4112,4144,3674
55,-2290,2576,2830
57,-1674,3244,3130
58,-2674,3228,4656
59,-4114,3870,5142
61,-2798,4076,3402
62,-866,2420,1074
64,-1820,4868,1222
65,-1602,4004,1180
66,-1028,3400,642
68,-1338,4682,-402
69,206,2786,-3260
70,-114,4958,-3976
72,-486,5108,-3452
73,724,2932,-4356
74,-1290,4278,-5474
76,-6,4062,-6216
77,812,4452,-6982
79,-560,4332,-6068
80,-784,2468,-4818
81,-90,3452,-5270
83,200,4074,-5336
84,-184,3264,-3844
85,-1138,3186,-3380
87,-1508,3886,-1144
88,-1780,3360,-340
89,-2256,3972,482
91,-1698,1654,850
92,-2550,2786,2558
94,-3146,4036,4240
95,-1458,2580,3468
96,-2372,2852,3508
98,-2008,2468,3884
99,-2680,3214,4674
100,-3952,4518,4706
102,-2034,1946,2424
103,-1104,3306,1604
105,-2128,4280,1094
106,-578,3340,-206
107,-814,3828,-310
109,28,2874,-1854
110,-12,3426,-2958
111,-354,4506,-3948
113,198,3138,-4804
114,-352,3892,-4796
115,-276,4140,-6124
117,1034,4038,-6252
118,342,4058,-6198
120,-354,3082,-5390
121,48,3088,-5362
122,528,3888,-4472
124,-590,3822,-3684
125,-1234,3132,-3174
126,-1030,3366,-1724
128,-1186,3814,-806
129,-2346,4284,260
131,-2150,1688,70
132,-1650,1966,1580
133,-3064,3476,3590
135,-2764,3172,3690
136,-1792,2302,2808
137,-2334,3382,3222
139,-2192,2844,4270
140,-3842,3954,3368
141,-1490,2470,2614
143,-630,2814,1976
144,-1354,4228,1708
146,-712,2636,946
147,-806,3180,-284
148,-898,3028,-1628
150,632,2774,-2638
151,-162,4266,-3632
152,586,3180,-4032
154,188,3136,-4554
155,-874,3814,-6084
157,566,4192,-5986
158,658,4414,-6494
159,-398,3118,-5548
161,-204,3036,-5140
162,-362,3912,-5092
163,-18,3608,-4468
165,-486,3276,-3634
166,-1196,3566,-2064
168,-1020,3232,-1536
169,-1804,3848,126
170,-1156,2260,90
172,-1028,2066,2158
173,-2396,3956,3260
174,-3402,3864,3782
176,-1992,2708,3464
177,-2314,3286,3338
179,-2538,3130,4098
180,-2406,4086,4676
181,-2394,3746,2996
183,-616,2138,2012
184,-1924,4050,1486
185,-1546,3840,632
187,-702,3556,-922
188,-626,4018,-742
190,62,2834,-2922
191,-516,4626,-3152
192,332,4122,-4434
194,472,3450,-5272
195,-728,4136,-5564
197,14,4186,-6034
198,222,4100,-6108
199,-568,3868,-5756
201,-416,3150,-5538
202,204,4012,-5272
203,-296,4228,-4496
205,-356,3034,-3350
206,-846,3200,-2674
207,-858,3384,-952
209,-2194,4126,-486
210,-1676,3066,140
212,-998,2972,1470
213,-2704,3548,2456
214,-3374,3826,3700
216,-2120,2472,2632
217,-2112,2646,3304
219,-2568,3162,4104
220,-3432,3734,4828
221,-2752,3502,2678
223,-742,3004,2144
224,-1672,3850,1904
225,-1138,3258,1338
227,-330,3120,-584
228,-622,3832,-1202
229,350,2800,-2498
231,-344,3788,-3306
232,24,4532,-3876
234,544,3246,-4862
235,-604,3704,-5324
236,-422,3786,-5918
238,726,4216,-6122
239,-60,4206,-5882
240,50,2936,-5654
242,-182,3604,-5084
243,-196,3834,-4238
245,-430,2994,-3940
246,-838,2916,-3644
247,-820,3690,-1388
249,-1774,3792,-668
250,-2316,3618,218
251,-1514,2246,1246
253,-2384,3314,2022
254,-2898,4110,3848
255,-1998,2922,3318
257,-2150,2274,3774
258,-2822,3276,3784
260,-2466,3426,4502
261,-2908,3208,2816
262,-1408,2582,2476
264,-1438,3310,1210
265,-1414,3734,1430
266,-752,3546,300
268,-556,3122,-1288
269,-206,3680,-1232
271,126,3604,-2890
272,-166,4024,-4002
273,214,3500,-4428
