timestamp,accX,accY,accZ
0,-904,5094,-1086
2,512,2926,-2492
3,620,3008,-1992
4,-94,3708,-3018
6,350,3104,-3974
7,308,4128,-5782
9,1064,3340,-6030
10,534,3290,-5764
11,-722,3728,-6060
13,-1064,4452,-5176
14,-96,3648,-6294
15,-364,3742,-5638
17,-946,3980,-2982
18,-984,3112,-2946
20,-846,3590,-2450
21,-276,1810,-1826
22,-782,2414,-112
24,-2450,3530,2166
25,-3228,3122,2624
26,-1774,2520,1756
28,-2944,3750,2454
29,-3360,3760,4448
31,-3274,3526,4312
32,-2922,2858,4008
33,-1904,3362,3392
35,-1374,3490,2902
36,-1204,3276,2510
37,-1080,2546,1750
39,-862,2986,620
40,-612,3882,-484
42,46,4068,-1594
43,66,3738,-2938
44,-312,3408,-2954
46,324,3408,-4218
47,398,3950,-5334
48,198,3850,-5724
50,782,2992,-6384
51,-442,3216,-5706
53,-1018,4442,-5140
54,720,3572,-6812
55,46,3432,-5668
57,-974,4240,-3750
58,-590,3184,-2910
59,-288,3166,-1472
61,-640,2622,-1746
62,-148,1996,-568
64,-720,3426,1062
65,-3042,4058,2682
66,-2466,2896,2644
68,-2720,3298,2292
69,-3214,4134,2970
70,-3208,2644,3594
72,-3388,2502,4166
73,-3596,3206,4086
75,-1672,3384,3414
76,-1226,3554,1678
77,-1776,3252,1788
79,-814,2726,1596
80,-930,3822,1006
81,-816,3716,-1618
83,180,4016,-3186
84,348,4130,-3256
86,290,3344,-3922
87,-282,3718,-4236
88,442,3622,-5890
90,1630,2816,-6994
91,-146,3514,-5798
92,-1108,4518,-5648
94,-44,3424,-5644
95,300,4110,-5622
97,-834,4386,-5134
98,-916,4170,-3138
99,-642,3254,-2446
101,-1150,2800,-1592
102,-350,1990,-266
103,-1718,3628,686
105,-2526,3816,1824
106,-2568,2746,2424
108,-3104,3812,2926
109,-2048,3218,4376
110,-3190,3874,4176
112,-2810,2350,3820
113,-2624,3764,4190
115,-1482,3322,3364
116,-1502,3486,2726
117,-1276,2850,1908
119,-480,2944,1114
120,-576,3412,-704
121,-354,3804,-1128
123,-1094,4712,-2822
124,-214,3198,-3096
126,-140,3658,-4178
127,-374,3882,-5140
128,494,3798,-5928
130,624,3568,-6384
131,-446,3488,-5742
132,-886,4340,-5766
134,-904,3560,-6722
135,166,3408,-5826
137,-800,4266,-3796
138,-388,3384,-3326
139,-74,2834,-2868
141,-560,2944,-1706
142,-846,2778,-622
143,-958,2968,940
145,-1756,3722,2164
146,-2682,3130,2796
148,-2552,3028,2870
149,-2484,3410,3126
150,-3440,4304,4692
152,-3020,2214,3910
153,-2846,2822,4264
154,-2030,3534,3598
156,-1680,3332,2438
157,-1824,3158,1610
159,-1168,3030,1278
160,-1016,4030,820
161,-882,4538,-1630
163,404,2906,-3216
164,-486,4648,-2864
166,-506,2992,-4356
167,78,3730,-4566
168,414,4010,-6154
170,558,3454,-6162
171,-310,4104,-6044
172,-592,3912,-6136
174,-382,4244,-5706
175,434,3698,-5364
177,-598,3856,-4360
178,-900,4062,-3652
179,-436,2944,-2814
181,-654,3176,-1902
182,-740,2414,-316
183,-1992,3822,940
185,-2628,3906,1918
186,-2462,2852,2194
188,-2534,3358,2490
189,-2068,3002,4274
190,-2926,4144,4380
192,-2614,2314,4004
193,-2202,2226,3932
194,-1880,3762,3170
196,-1454,2990,3266
197,-1732,3152,1910
199,-1150,3558,884
200,-700,3818,-870
201,-568,3738,-1222
203,-878,3784,-1478
204,-14,3904,-2274
205,-10,4034,-4144
207,308,3622,-5550
208,586,3980,-5870
210,-6,4052,-5476
211,222,3522,-5762
212,-530,3894,-6344
214,-530,4406,-6346
215,632,3568,-5792
216,-632,3634,-4504
218,-1300,3470,-3302
219,-50,3098,-2976
221,-76,3260,-2434
222,-840,2644,-976
223,-1648,3220,696
225,-2182,3546,1656
226,-2406,2902,2342
228,-2732,3306,2744
229,-2502,3004,3276
230,-3402,3892,4410
232,-3408,3678,3780
233,-2372,2518,4088
234,-2040,3674,2668
236,-1940,3008,2984
237,-1556,2772,2456
239,-2100,3672,1268
240,156,3498,36
241,-146,3858,-606
243,-124,3552,-1942
244,-596,3556,-2246
245,16,3524,-3960
247,-74,3650,-5278
248,222,3804,-5330
250,86,3776,-5980
251,-16,3464,-5922
252,-238,3350,-5704
254,-642,4480,-5952
255,750,3858,-6310
256,604,3508,-4336
258,-1606,3898,-3526
259,-856,2974,-2772
261,-224,3810,-2068
262,-706,2960,-1846
263,-1090,2320,892
265,-2504,4058,1828
266,-2396,3338,2414
267,-2074,3288,2486
269,-2346,3350,2724
270,-2642,3722,4504
272,-2536,2482,4118
273,-2650,2202,4078
274,-2466,3742,3246
