timestamp,accX,accY,accZ
0,-1274,4726,-3438
2,-1256,3120,-1878
3,-1970,3724,-544
5,-1806,3748,796
6,-826,1860,654
7,-1128,1514,1348
9,-3056,4774,3272
10,-1820,3134,3880
11,-1698,2444,3512
13,-2754,3706,3276
14,-1050,2102,3914
16,-2250,4480,3032
17,-2374,3224,3004
18,-34,2130,1838
20,-1476,4248,266
21,-470,2692,32
22,-212,4290,-1018
24,-1014,4482,-1118
25,470,2648,-2622
27,486,5076,-3860
28,-416,3724,-4260
29,778,2190,-4698
31,-970,5624,-5696
32,532,3784,-5670
33,1658,3394,-5774
35,-916,4166,-5476
36,-84,3476,-4404
38,-84,3580,-4958
39,-824,3888,-4348
40,-302,3506,-2810
42,-1478,4114,-1876
43,-2290,3602,-936
44,-1672,4054,-50
46,-1150,3298,262
47,-630,1850,2190
48,-3880,4162,3430
50,-3568,4562,2632
51,-832,3406,3066
53,-2578,4224,2540
54,-2166,2454,4524
55,-3330,3706,3976
57,-3000,4146,2420
58,-134,2682,1454
60,-1516,4274,828
61,-1600,2346,480
62,-730,3190,-72
64,-1356,4590,-940
65,-296,2490,-3640
66,124,4476,-4192
68,-930,4748,-4612
69,-866,3318,-3754
71,-998,5402,-5568
72,378,2772,-6474
73,710,3236,-6452
75,-1420,3664,-4938
76,340,2796,-4294
78,354,3140,-5240
79,-232,3420,-4002
80,-458,3184,-3890
82,-1574,4528,-1448
83,-1668,2772,-988
84,-1994,3376,-422
86,-1724,2672,760
87,-290,1132,970
89,-3382,2790,3758
90,-2498,3354,3456
91,-744,2562,3236
93,-2658,3502,2826
94,-1840,1912,4058
95,-2608,2968,3376
97,-2310,3724,2800
98,-36,2240,2010
99,-950,3254,342
101,-1030,3102,1134
102,490,1714,-270
104,-1620,4630,-982
105,688,2344,-2842
106,1030,2976,-4422
108,-642,3866,-3510
109,634,1360,-4774
111,-1736,5976,-5788
112,1524,3328,-6426
113,1958,2428,-6072
115,-1784,4324,-5064
116,14,3046,-4536
117,690,3756,-5180
119,-792,3702,-4804
120,-344,3110,-2958
122,-1554,4168,-1922
123,-2150,3644,-1184
124,-1798,3388,-494
126,-1244,3524,180
127,-508,2052,2046
128,-4002,3724,3518
130,-3832,4358,3430
131,-1454,3424,2920
133,-2088,4018,2450
134,-2292,2536,4552
135,-3484,3716,4378
137,-2554,4086,3120
138,-1226,2656,1194
140,-1804,4174,964
141,-1750,3776,-158
142,-616,3414,238
144,-1104,4160,-1346
145,-536,3210,-3520
147,128,4472,-3830
148,-144,4290,-4126
149,-630,3076,-4074
151,-1510,5014,-5060
152,274,3372,-6760
153,1328,2804,-6292
155,-1326,3944,-4496
156,150,3042,-4532
158,1028,2974,-5194
159,-58,3890,-3966
160,-614,3196,-3432
162,-1360,3610,-2288
163,-1604,3748,-540
164,-1810,3146,-582
166,-1754,2990,590
167,-272,1482,946
169,-2704,2694,3458
170,-3264,3518,3596
171,-1186,2810,2924
173,-1940,3540,2734
174,-2254,1830,3816
176,-3138,2782,3652
177,-3514,3548,2788
178,-124,2714,1790
180,-956,3258,136
181,-1122,3360,1176
182,4,2378,148
184,-1332,4104,-1290
185,236,2614,-2658
187,914,3400,-4500
188,-514,4364,-3556
189,170,1480,-4296
191,-1720,5988,-5050
192,1656,4058,-6404
193,2636,2606,-6386
195,-1990,4434,-4670
196,-652,3106,-4220
198,726,3652,-5040
199,-350,3680,-4952
200,-650,3368,-3040
202,-476,4292,-2430
203,-1758,3660,-1262
204,-1874,3154,-508
206,-1674,3850,222
207,-662,2234,1392
209,-3808,3596,3420
210,-4262,4400,3574
211,-2522,3238,2778
213,-2202,4350,2500
214,-1774,2582,4120
216,-3660,3818,4500
217,-2912,4052,3180
218,-722,2896,1476
220,-1658,4018,864
221,-1800,3638,-48
222,-344,3394,462
224,-1002,3984,-1064
225,-518,3158,-2988
227,858,3940,-3950
228,-62,4790,-4250
229,-282,2074,-4408
231,-1678,4114,-4464
232,-504,5596,-6202
233,2310,2528,-6866
235,-912,3724,-5776
236,-2124,2732,-4630
238,812,2886,-4492
239,146,3810,-4438
240,-848,3464,-3310
242,-768,3516,-2750
243,-1800,3648,-934
244,-2120,3386,-94
246,-1958,3446,336
247,-1376,1576,568
249,-1934,2378,2488
250,-4068,4382,3772
251,-1676,2822,3086
253,-1864,4130,2860
254,-1452,1742,3552
255,-3004,2528,4692
257,-3856,4276,3206
258,130,2618,1924
260,-462,3410,654
261,-1690,3090,1108
262,10,2364,266
264,-1314,4190,-906
265,100,2296,-2648
266,538,3016,-3532
268,50,4374,-3646
269,654,1822,-4786
271,-2140,3746,-5168
272,998,3742,-6282
273,2254,2990,-6762
275,720,3994,-4876
