timestamp,accX,accY,accZ
0,-1164,2092,-828
2,200,2940,-2174
3,-586,4918,-3468
4,368,3130,-3338
6,-1030,4032,-3794
7,-814,3118,-5324
9,836,3958,-6010
10,-164,4958,-5948
11,-26,2838,-5304
13,-494,3292,-4980
14,-152,3662,-5162
15,78,3584,-4884
17,-834,3870,-3916
18,-1002,3240,-2866
20,-852,3088,-2070
21,-1434,3472,-380
22,-1740,3734,-430
24,-1126,2514,-70
25,-578,2762,2786
26,-3082,3722,2890
28,-3622,4268,2654
29,-1526,2636,2608
31,-2126,3062,2952
32,-3218,3128,4536
33,-2644,3838,4026
35,-1266,2888,2110
36,-1044,3786,1582
37,-1746,3914,1836
39,-1322,3152,330
40,-1236,3622,-730
41,524,3036,-2246
43,290,4018,-3206
44,-362,4298,-3182
46,-630,3580,-4232
47,-420,3576,-4476
48,616,3730,-6486
50,220,4200,-6094
51,-218,3646,-5428
53,-698,3360,-5270
54,96,3356,-5092
55,478,3650,-5614
57,-402,4176,-3684
58,-1114,3142,-3112
59,-1140,3056,-2170
61,-1264,4074,-732
62,-1634,3720,-788
63,-1702,3570,352
65,-1376,1842,1812
66,-3164,2978,3070
68,-3482,4202,3242
69,-862,2732,2410
70,-1728,2732,3332
72,-3080,3050,3984
73,-3228,3870,4738
75,-1842,2262,1704
76,-872,3262,706
77,-1468,4414,1788
79,-1092,2920,1290
80,-2064,4290,740
81,-362,2260,-2026
83,406,4286,-2428
84,-318,4832,-3290
86,-266,3106,-3606
87,-910,4086,-3872
88,-224,3524,-5926
90,32,4724,-5724
91,328,4230,-6252
92,-222,3222,-4666
94,-494,3300,-5126
95,-92,3142,-5324
96,-634,4222,-3780
98,-680,3936,-3732
99,-1400,2912,-2616
101,-1468,3708,-1226
102,-1770,3812,-532
103,-1834,3324,294
105,-370,1448,104
106,-2352,3550,2682
108,-3878,4358,3140
109,-1648,3582,2444
110,-2080,3120,3184
112,-3190,3272,2984
113,-2754,3938,4428
114,-1160,2608,2350
116,-1498,2696,1428
117,-1512,3616,1660
119,-1036,3270,1470
120,-1518,3818,-532
121,620,2386,-1942
123,238,3252,-2626
124,-140,3894,-3416
126,20,3118,-3424
127,-580,3982,-4572
128,340,3474,-5702
130,492,4078,-5942
131,-98,3588,-5876
132,-484,3302,-4834
134,-642,3406,-5282
135,478,3292,-5394
136,-28,3812,-4640
138,-1012,3392,-3048
139,-1102,3042,-2424
141,-738,3090,-1104
142,-2052,4360,-330
143,-1788,3768,66
145,-1156,1442,1030
146,-3454,2960,3060
148,-3120,3944,3414
149,-1032,3028,2394
150,-1816,2504,2458
152,-2322,3132,3976
153,-3076,3892,4860
154,-2068,2816,3302
156,-1224,3480,1514
157,-802,4240,806
159,-882,3268,836
160,-1628,4172,612
161,-714,3156,-1892
163,-206,4136,-2002
164,-24,4644,-3584
165,292,3354,-3742
167,-906,4058,-4060
168,-446,3450,-6014
170,-254,5014,-5358
171,110,4636,-6282
172,220,3264,-4972
174,-750,3722,-4924
175,-272,3492,-4906
177,268,3736,-4394
178,-836,4014,-3868
179,-1324,3478,-2332
181,-1204,3148,-1460
182,-2064,3950,-622
183,-2252,2922,144
185,-742,1582,378
186,-2066,2466,2838
188,-3188,4234,3522
189,-1990,3486,3154
190,-1468,2894,3110
192,-2610,3212,3200
193,-2540,3644,4358
194,-1574,2708,2566
196,-1600,2302,2048
197,-884,4374,1724
199,-448,3008,964
200,-1310,3244,592
201,-1578,2746,-1064
203,414,2840,-1812
204,-124,4352,-3634
205,100,3380,-3610
207,-356,3556,-4102
208,-772,3044,-5642
209,378,3772,-5776
211,-444,5084,-6248
212,124,3150,-5538
214,-470,3348,-5070
215,-600,3332,-4796
216,188,3308,-4834
218,-486,3830,-3506
219,-1094,3410,-2304
221,-762,2788,-1886
222,-1608,4802,48
223,-1550,3434,-72
225,-694,1748,1226
226,-3306,3380,2358
227,-3100,4024,3474
229,-2982,3924,2542
230,-2148,2504,2358
232,-2152,3030,3130
233,-2758,3836,4366
234,-2788,3376,3666
236,-1510,2406,1946
237,-1186,4174,1532
238,-1256,3546,1290
240,-1636,3384,-164
241,-596,3746,-650
243,438,3256,-2810
244,-286,4358,-3036
245,-256,3846,-3262
247,72,3752,-3748
248,-112,3570,-5456
249,328,3518,-5928
251,446,5016,-5326
252,114,3566,-5702
254,-266,2878,-4774
255,-172,3694,-5090
256,236,3610,-4676
258,-76,3604,-3690
259,-1400,3354,-2982
260,-1164,3410,-1482
262,-1528,3588,-1284
263,-2434,4296,48
265,-1332,1608,680
266,-2282,2604,1904
267,-3210,3556,3498
269,-2188,3582,3194
270,-1904,2700,2482
271,-2248,3252,3172
273,-2590,3860,4362
274,-2966,4014,2792
