timestamp,accX,accY,accZ
0,-2198,3578,3190
2,-2534,3002,2782
3,-2226,3142,3162
5,-1438,2330,3944
6,-2778,4608,4268
7,-2142,3288,2790
9,154,1818,752
10,-630,4918,1438
11,-1498,2582,1484
13,-830,2180,-194
14,178,4146,-1492
16,1312,2236,-3034
17,-76,4960,-2988
18,44,3276,-3582
20,886,2436,-4922
21,-828,4378,-5674
22,76,3500,-5666
24,580,4558,-6110
25,-458,3726,-5420
27,-272,2692,-4722
28,-178,3890,-5120
29,668,3586,-4964
31,270,3478,-3288
32,-1856,3226,-1924
33,-1486,3364,-1172
35,-926,3900,-708
36,-1772,3084,-18
38,-1488,2876,1958
39,-2432,3702,2224
40,-3046,4094,3284
42,-2002,2452,2862
43,-2488,3016,2786
44,-2332,3184,3890
46,-3364,4144,4596
47,-3534,4258,3536
48,-1014,2630,1790
50,-1646,4352,1542
51,-1676,4020,1156
53,-712,3186,-98
54,-700,4310,-834
55,308,3636,-2474
57,-854,4068,-3090
58,-698,4458,-3432
59,726,3198,-4510
61,-804,4124,-5406
62,-688,4144,-5458
64,526,4360,-5918
65,-188,4166,-5874
66,-378,2906,-4954
68,-266,3586,-4924
69,20,4030,-4112
70,-412,3266,-3668
72,-1150,3316,-2768
73,-1430,3486,-1564
75,-1278,3626,-1208
76,-1868,4082,36
77,-1312,2252,592
79,-2824,3332,2184
80,-2668,3920,3556
81,-2076,2876,2910
83,-2652,2714,2896
84,-2282,2932,3822
86,-2228,3258,4630
87,-3462,4076,2916
88,-576,2266,2074
90,-648,3362,1722
91,-1826,3556,1026
92,-804,2452,460
94,-682,3636,-932
95,424,3022,-1758
97,10,3250,-2828
98,-1368,3670,-4126
99,778,3088,-3722
101,142,3728,-5600
102,-876,3812,-5600
103,456,3804,-5726
105,30,4382,-5970
106,-402,2892,-5312
108,-282,3186,-5172
109,-260,4010,-4204
110,14,3396,-3826
112,-626,3102,-3196
113,-1060,3760,-1560
114,-862,3758,-1074
116,-1660,3244,428
117,-1060,1808,352
119,-2468,2764,1988
120,-3326,4296,3058
121,-2256,3550,3290
123,-2184,2968,3306
124,-2842,3294,3558
125,-1860,2990,4482
127,-2356,3428,2980
128,-1650,2784,2526
130,-1076,3712,1958
131,-1486,3436,894
132,-1456,3570,578
134,-718,3234,-1116
135,-358,3958,-998
136,-424,3492,-3106
138,-70,3744,-3572
139,344,3992,-4180
141,554,3514,-5638
142,-644,4042,-5448
143,-126,3952,-5658
145,0,3976,-5720
146,-154,3284,-6014
147,-248,3838,-5110
149,4,4028,-4568
150,-128,3514,-3754
152,-866,3220,-3040
153,-804,3228,-2230
154,-964,3876,-1140
156,-1968,4002,-94
157,-1150,1976,646
158,-1714,3498,1998
160,-2784,4046,2166
161,-2762,3854,2800
163,-2470,2394,2770
164,-2760,3236,3424
165,-2284,3374,4704
167,-2714,3474,3620
168,-2324,2842,2390
170,-966,3504,2000
171,-1474,3834,530
172,-1078,3114,766
174,-136,3102,-940
175,-142,3792,-1310
176,-108,3332,-2874
178,-896,3844,-2776
179,254,3586,-3750
181,362,3586,-5252
182,-526,3720,-5428
183,200,3936,-5632
185,214,4196,-5556
186,120,3118,-5772
187,-434,3558,-5152
189,-162,3934,-4020
190,-344,3424,-4024
191,-656,3152,-3360
193,-844,3338,-2238
194,-1220,4124,-854
196,-1648,3642,-640
197,-1854,1782,662
198,-2446,2810,1478
200,-2392,3634,2810
201,-2300,3790,3372
202,-2280,2372,2956
204,-2392,3358,4050
205,-1980,3150,3888
207,-2960,3678,3060
208,-1562,2592,2568
209,-1306,3480,2404
211,-1688,3260,1190
212,-1250,3456,454
213,-826,3632,-970
215,26,3494,-1262
216,-856,3804,-1676
218,-436,3564,-3146
219,512,3824,-4340
220,164,3782,-5684
222,-46,3782,-5544
223,-216,4180,-5334
224,330,4084,-5690
226,-176,3298,-6202
227,-272,3586,-5638
229,-216,3822,-4720
230,-506,3630,-4036
231,-784,3396,-3058
233,-460,3120,-2468
234,-940,3402,-1768
235,-1786,3964,-160
237,-1244,2158,66
238,-1142,2006,398
240,-2576,3906,1972
241,-3248,4144,3652
242,-1900,2290,2728
244,-2444,2918,3064
245,-2590,3384,4582
246,-2452,3390,3892
248,-2182,3066,2932
249,-1196,2694,2182
251,-1594,4008,1992
252,-1356,3690,666
253,-1048,3344,-852
255,-112,3558,-634
256,-300,3548,-2664
257,-386,3860,-3060
259,262,3588,-4144
260,420,3690,-5016
261,-278,3502,-5664
263,-396,3896,-5528
264,124,4290,-5558
266,-180,3684,-5720
267,-166,3114,-5456
268,120,3810,-5144
270,-370,4126,-3970
271,-694,3132,-3500
272,-412,2796,-2866
274,-490,3096,-1098
