timestamp,accX,accY,accZ
0,-1464,3604,-1626
2,-826,3322,-1618
3,-928,3612,-1714
4,-1064,3524,-1932
6,-616,3448,-1718
7,-620,3434,-1716
9,-1100,3370,-1748
10,-772,3434,-1798
11,-786,3816,-1372
13,-504,3116,-1746
14,-1034,3092,-1070
15,-1170,3870,-780
17,-856,3560,-1054
18,-1046,3338,-1592
20,-1154,3496,-1076
21,-1316,3578,-604
22,-1476,3228,-988
24,-998,3010,-1030
25,-1002,3374,-752
26,-1176,3510,-982
28,-1574,3178,-858
29,-1544,3332,-724
30,-1230,3298,-1100
32,-1246,3266,-934
33,-1442,3436,-846
35,-1958,4740,-246
36,-1006,3884,-868
37,-852,2662,-1344
39,-1108,3822,-730
40,-926,3602,-490
41,-1190,3578,-600
43,-524,2924,-1004
44,-440,4074,-514
46,-632,4106,-716
47,-836,2980,-1316
48,-820,3356,-916
50,-464,3728,-994
51,-708,3568,-1482
52,-1434,3378,-1604
54,-1122,3612,-1266
55,-1330,3484,-1556
57,-1864,3720,-1250
58,-1166,3268,-1010
59,-1332,3518,-1350
61,-1400,3328,-1192
62,-1330,3604,-1254
63,-1486,3926,-678
65,-892,2944,-1170
66,-1274,3296,-1042
68,-1116,3664,-396
69,-958,3408,-846
70,-1012,3114,-1056
72,-920,3456,-668
73,-782,3792,-584
74,-1108,3770,-1246
76,-864,3040,-1394
77,-870,3504,-988
79,-1080,3492,-1432
80,-1252,3322,-1544
81,-1168,3560,-1318
83,-1208,3194,-1694
84,-1448,3304,-1370
85,-1502,3028,-1534
87,-1622,4642,-1302
88,-1148,4034,-1580
90,-560,2552,-2160
91,-1560,4014,-996
92,-1380,4066,-1152
94,-1270,3502,-1084
95,-632,3132,-1792
96,-674,4050,-596
98,-1162,3922,-672
99,-1090,3310,-722
101,-702,3372,-1028
102,-426,3818,-704
103,-770,3674,-892
105,-1360,3436,-958
106,-966,3332,-922
107,-680,3834,-1220
109,-1334,3808,-1266
110,-1100,3194,-1134
112,-1324,3414,-1192
113,-1202,3320,-1520
114,-1500,3626,-1520
116,-1152,3872,-1126
117,-910,3506,-1732
118,-1406,3046,-1372
120,-1174,3566,-1184
121,-1268,3650,-1534
123,-1006,3234,-1620
124,-864,3192,-760
125,-1250,3580,-602
127,-1222,3424,-820
128,-1006,3236,-1098
130,-932,3424,-864
131,-1112,3674,-496
132,-1232,3196,-570
134,-1356,3482,-558
135,-1196,3200,-914
136,-1302,3362,-726
138,-1344,2884,-572
139,-1800,4570,-26
141,-1268,3850,-776
142,-548,2682,-1466
143,-1182,3876,-624
145,-1368,4056,-624
146,-672,3370,-770
147,-670,3054,-1448
149,-696,3404,-806
150,-856,4020,-1052
152,-834,3366,-994
153,-698,3370,-1286
154,-584,3734,-1212
156,-670,3638,-1572
157,-1024,3456,-1766
158,-596,3208,-1538
160,-1002,3788,-1644
161,-1434,3628,-1690
163,-998,3234,-1584
164,-1212,3362,-1552
165,-1352,3190,-1696
167,-1702,3736,-1400
168,-1168,3660,-1018
169,-1112,3274,-1206
171,-1184,3284,-1080
172,-1094,3652,-666
174,-1084,3768,-942
175,-1066,3116,-1164
176,-960,3336,-996
178,-980,3752,-626
179,-1226,3488,-688
180,-1144,3176,-950
182,-936,3520,-964
183,-1162,3644,-872
184,-1318,3308,-1174
186,-1432,3478,-1180
187,-1202,3540,-1520
189,-978,3436,-1410
190,-1702,3482,-1390
191,-806,3086,-1238
193,-906,4396,-1532
194,-552,2828,-1524
195,-460,3804,-1460
197,-1296,4290,-798
198,-288,3326,-1232
200,-864,3396,-1566
201,-828,3232,-1578
202,-552,4062,-794
204,-892,3596,-760
205,-968,3000,-1054
206,-600,3630,-868
208,-724,3894,-770
209,-784,3390,-830
211,-1068,3138,-720
212,-1068,3194,-808
213,-944,3822,-900
215,-1396,3412,-826
216,-1470,3170,-700
217,-1264,3262,-896
219,-1600,3440,-804
220,-1622,3798,-686
222,-1034,3330,-940
223,-1116,3082,-1062
224,-1298,3352,-706
226,-1316,3634,-470
227,-1156,3364,-1334
229,-770,3220,-1452
230,-904,3536,-768
231,-1428,3634,-882
233,-1074,3384,-1430
234,-696,3472,-1528
236,-974,3732,-1200
237,-1042,3308,-1152
238,-1110,3476,-1340
240,-998,3674,-1282
241,-824,3162,-1672
242,-1522,3492,-1174
244,-686,3132,-860
245,-1172,4486,-876
246,-1056,3346,-1246
248,-150,3388,-1520
249,-1274,4362,-550
250,-998,3480,-688
252,-826,3346,-1062
253,-822,3230,-1488
255,-844,3570,-736
256,-1290,3720,-708
257,-1306,3128,-1018
259,-1002,3362,-778
260,-930,3782,-886
261,-1262,3852,-1284
263,-1026,3168,-1280
264,-944,3202,-1040
266,-1134,3722,-1196
267,-1178,3498,-1564
268,-988,3422,-1416
270,-892,3176,-1416
271,-1408,3340,-1340
273,-1422,3772,-1358
274,-680,3534,-1378
