timestamp,accX,accY,accZ
0,-614,3346,-4358
2,-1092,4288,-5908
3,434,3560,-5984
4,-138,4186,-6162
6,-1446,3170,-5690
7,82,2858,-5508
9,474,3364,-5548
10,46,3734,-4260
11,-334,3380,-3834
13,-476,2932,-2812
14,-1248,3528,-2188
15,-1412,4736,-1412
17,-1540,1854,-1244
18,-1908,2538,576
20,-2890,3860,2788
21,-2126,3212,2882
22,-1748,2808,2266
24,-2220,3060,3454
25,-1404,2316,4708
26,-2744,3230,4628
28,-3804,3122,3372
29,364,1748,2650
30,-1570,4200,1916
32,-1056,2278,830
33,-848,2428,1948
35,-1348,4254,-230
36,974,1746,-1766
37,-224,3140,-2748
39,-1452,3416,-3184
40,-2,2806,-3274
41,-1112,3880,-6048
43,158,3948,-5772
44,766,3676,-5788
46,-1414,3986,-5764
47,-358,2804,-5430
48,234,3076,-6236
50,-244,3964,-4842
51,-84,3422,-4436
52,-732,2884,-3250
54,-1192,3200,-2768
55,-1178,4344,-1156
57,-1358,2906,-868
58,-972,1892,-636
59,-2768,4292,2350
61,-2890,3630,2850
62,-1620,2730,2714
63,-1888,3674,2800
65,-1324,2826,4322
66,-1474,3772,4678
68,-3746,4972,4610
69,-58,2474,2952
70,208,4550,2302
72,-2572,4060,1606
73,-292,2086,1216
74,-1608,5258,-10
76,-112,3186,-1334
77,394,3944,-2596
78,-1382,4996,-2688
80,124,3030,-4200
81,-1264,4224,-5278
83,-1138,4784,-5894
84,338,3600,-6684
85,-1574,4750,-5722
87,-1046,3824,-5778
88,-56,3130,-6048
89,152,3912,-5836
91,-136,3718,-3914
92,-572,2884,-3406
94,-956,3048,-2956
95,-1234,4686,-1488
96,-1624,3896,-462
98,-1114,2076,358
99,-2646,3786,1786
100,-2420,4058,2772
102,-2256,3096,2478
103,-2282,3504,2892
105,-1360,2942,3290
106,-1094,3014,4674
107,-3726,4438,4664
109,-1846,3442,2674
110,-996,3656,2654
111,-2540,4738,2054
113,-1762,2102,1508
114,-1534,4532,-102
115,-894,4932,-1970
117,142,2620,-2470
118,-1598,5118,-2496
120,-1048,2138,-3876
121,-742,3594,-4678
122,-1326,4940,-5948
124,1010,3172,-6506
125,-388,4468,-6198
127,-1334,2806,-5140
128,-68,2674,-5320
129,400,3574,-5416
131,490,3442,-4426
132,-560,3212,-3258
134,-1328,2980,-2324
135,-792,3752,-2314
136,-1116,4698,-770
138,-1288,1874,-848
139,-2874,3084,1244
140,-2490,3602,3100
142,-1718,2892,2762
143,-2522,3140,2710
145,-1128,2762,3728
146,-1508,2576,4650
147,-3470,4204,4232
149,-968,2382,3068
150,172,2556,2394
151,-2068,3902,1212
153,-1220,2296,1738
154,-876,4916,58
156,212,3398,-880
157,524,2052,-1728
158,-674,4678,-2614
160,148,3026,-3596
161,108,2848,-5270
162,-1114,4416,-5844
164,-20,3862,-5600
165,620,4474,-5870
167,-810,3914,-5824
168,-280,2772,-5678
169,112,3782,-5894
171,62,3824,-4834
172,86,3056,-3288
173,-1438,3012,-3006
175,-1232,3448,-1490
176,-1106,3908,-954
177,-1492,2360,-798
179,-2050,2504,1620
180,-2244,3848,2404
182,-2318,3312,2708
183,-2140,3046,2852
184,-1656,3080,3348
186,-1340,2820,4636
187,-3304,4090,4578
189,-1956,3036,3352
190,-354,4002,2648
191,-1780,4644,2288
193,-1402,2588,1116
194,-1544,4608,-40
195,-152,4146,-508
197,1208,2378,-2130
198,-1794,4666,-2700
199,-546,3142,-2992
201,370,4082,-5034
202,-1114,4298,-5792
204,-492,3912,-5792
205,78,4144,-6598
206,-874,3844,-5770
208,-484,3252,-5380
209,134,3544,-5922
210,426,3668,-4504
212,-486,3370,-3638
213,-1194,3126,-2720
215,-1164,3516,-2396
216,-1164,4662,-1260
217,-1230,3202,-706
219,-1278,3592,1514
220,-2468,4088,1782
221,-2172,3470,2874
223,-2566,2864,2532
224,-2686,3396,3338
226,-1292,2916,4572
227,-2898,4138,4818
228,-3348,3730,3288
230,-482,2692,2802
231,-1590,4866,2656
232,-1850,2288,936
234,-1470,3534,1206
235,-926,4302,-702
237,-102,2888,-1396
238,-1118,4070,-2552
239,-1340,2958,-4138
241,8,3690,-4184
242,-692,4154,-5668
243,-720,3978,-5230
245,-2,3888,-6294
246,-158,3954,-6098
248,-388,3296,-5568
249,-368,3442,-5516
250,132,3682,-4568
252,-62,3386,-4082
253,-734,3196,-3088
254,-970,3300,-2728
256,-1354,4786,-1316
257,-1280,1934,-718
259,-2714,3006,874
260,-2724,4054,2358
261,-1552,3222,2790
263,-2162,2808,2508
264,-2462,3038,3670
265,-1522,3098,4516
267,-2038,3752,4324
268,-1716,2482,3052
270,-960,2334,3232
271,-1468,4246,2314
272,-1458,2688,2504
274,-1448,2806,-494
