timestamp,accX,accY,accZ
0,-1032,4296,-2940
2,-164,3534,-4158
3,36,3964,-5340
4,-832,4152,-5528
6,-126,3656,-6130
7,-270,4302,-5966
9,-352,3702,-6084
10,-34,3012,-5876
11,68,3434,-5578
13,-534,3854,-4308
14,-1046,3990,-3738
15,-958,2922,-3342
17,-638,4790,-1046
18,-1788,4280,-1012
20,-500,1828,708
21,-2410,3324,1486
22,-2474,3788,2260
24,-1922,3016,3156
25,-2806,3986,3212
26,-1776,2266,3296
28,-2106,4000,4542
29,-2638,3738,4276
31,-1860,2974,3082
32,-1476,3524,2730
33,-1466,3778,2480
35,-1268,2520,1132
36,-838,3500,-122
37,-466,3634,-1704
39,334,3880,-1720
40,-1404,4458,-2372
41,-524,3582,-3880
43,-352,4058,-5344
44,-798,4514,-5156
46,-98,3520,-6016
47,-596,4040,-6040
48,-162,3756,-5460
50,120,3294,-6192
51,-54,3348,-5850
52,120,3772,-4234
54,-1072,4416,-3750
55,-1046,3720,-3198
56,-678,3368,-2760
58,-2164,5534,-578
59,-1028,3520,-382
61,-2196,2192,1486
62,-2518,3446,1654
63,-2548,3180,2802
65,-2386,4018,3270
66,-2310,3284,3526
67,-2382,3668,4954
69,-3092,4250,4640
70,-2154,2368,3456
72,-1312,3344,2690
73,-1610,4082,2798
74,-1104,3118,1672
76,-950,3174,322
77,-436,3026,-956
78,6,3900,-1426
80,-1292,4368,-1792
81,-344,3296,-3098
83,20,3802,-4748
84,-836,4360,-5634
85,22,3448,-5888
87,-204,3910,-5870
88,-474,3320,-5874
89,112,3292,-5814
91,-110,3396,-6028
92,88,3254,-4870
93,-950,4376,-4080
95,-1316,4286,-3440
96,-998,2706,-3016
98,-1474,4690,-1904
99,-2130,2218,-832
100,-1064,1564,490
102,-2516,2656,1822
103,-2496,3542,3156
104,-1394,3728,2952
106,-2566,3934,2990
107,-2498,2700,4218
109,-2952,4164,3972
110,-2140,2834,3968
111,-1592,2704,2918
113,-1536,3512,2936
114,-862,3352,2308
115,-882,3346,698
117,-1130,2554,-842
118,-226,3298,-852
120,-722,4636,-2418
121,-90,2866,-3638
122,-524,3514,-4034
124,-812,3954,-5728
125,-164,3680,-5438
126,-170,3784,-6080
128,-580,3530,-6150
129,142,3402,-5932
131,262,3500,-5882
132,-194,2990,-5200
133,-620,3360,-3882
135,-1054,3958,-3402
136,-750,2944,-3062
137,-992,3856,-914
139,-1324,3668,-840
140,-514,1686,-218
141,-1544,2656,1974
143,-2796,3594,2432
144,-2062,4046,3336
146,-1802,3052,3012
147,-2176,1974,3434
148,-3292,4162,4908
150,-1346,2850,3984
151,-1674,2916,2676
153,-1486,3518,2388
154,-1052,3368,2872
155,-1358,3340,130
157,-678,2766,196
158,206,2858,-1404
159,-794,4688,-2066
161,-330,3312,-3012
162,-810,3842,-4176
164,-556,4180,-4910
165,222,4088,-5798
166,132,3806,-6236
168,-750,3370,-5722
169,-258,3196,-5656
170,264,3692,-6200
172,30,3528,-5704
173,-126,3918,-4276
175,-1040,4042,-3792
176,-856,3376,-2580
177,-1500,4244,-1844
179,-1976,4546,-1042
180,-536,1350,352
181,-2640,2450,1900
183,-2938,3216,2290
184,-3078,3846,2786
185,-2238,4300,3050
187,-1524,2390,4008
188,-3408,4140,5268
190,-2396,3624,4360
191,-1428,2912,3246
192,-1414,3346,2070
194,-1494,3790,2316
195,-820,3752,1038
196,-1124,3154,920
198,-324,3220,-858
199,-628,4418,-1860
201,-490,4312,-3248
202,-480,3340,-4128
203,-1120,4084,-4158
205,-186,3866,-5882
206,104,4050,-5938
207,-282,3698,-6334
209,-608,3126,-6178
210,172,3444,-5900
211,134,3736,-5292
213,-678,3538,-4320
214,-1096,3918,-4292
216,-662,3712,-3034
217,-1036,3954,-1936
218,-2028,4282,-1094
220,-1220,2128,6
221,-726,1888,1056
222,-2624,2536,2442
224,-2754,4172,3170
225,-1608,4306,3276
227,-1666,2196,3294
228,-3146,2890,4390
229,-3058,3844,4538
231,-1550,3126,3680
232,-1026,2398,2456
234,-2020,3908,2530
235,-988,3194,2308
236,-954,3236,-34
238,-20,2722,-1136
239,556,2750,-1536
240,-702,4366,-2908
242,-342,2768,-3698
243,-510,3298,-5040
245,-96,4270,-5726
246,686,3460,-6210
247,266,3902,-5630
249,-498,3328,-5742
250,-242,3134,-6348
251,82,3588,-5852
253,6,3382,-5130
254,-1048,4126,-3680
256,-722,3140,-3332
257,-936,2902,-1978
258,-1622,4214,-1070
260,-1020,3014,-634
261,-392,2276,1540
262,-2514,2864,2254
264,-3360,3850,3000
265,-1826,3860,3012
267,-1454,2744,2576
268,-2660,2560,4622
269,-3146,3960,4994
271,-2146,3998,4234
272,-1024,2652,2040
273,-1980,4370,2628
