timestamp,accX,accY,accZ
0,-3516,4254,1468
2,-1890,3048,2452
3,-1780,3344,2230
4,-3412,3902,3022
6,-692,2044,3660
7,-1410,2570,3982
9,-3438,4440,4228
10,-270,2850,2818
11,-10,2664,1658
13,-1332,3304,1668
14,-1606,2726,2214
16,-1710,3860,-1272
17,240,3268,-1502
18,1052,2138,-2782
20,-1420,4596,-2624
21,-510,3238,-3010
22,344,2544,-5364
24,-870,4364,-5292
25,398,3326,-6238
27,-42,4694,-5616
28,-826,3402,-4960
29,-610,2524,-5650
31,-466,4338,-5492
32,728,3614,-4926
33,-258,3620,-2712
35,-1590,2886,-2454
36,-814,3362,-1938
38,-286,2426,-1498
39,-1464,1976,-320
40,-3466,3836,1716
42,-1632,3426,2242
43,-1356,3128,2218
44,-3284,3298,2718
46,-1350,2572,3374
47,-858,2500,3978
48,-2546,4276,4160
50,-2148,3966,3744
51,316,2664,1918
53,-1918,3568,686
54,-1534,2842,2156
55,-1686,4300,460
57,-508,4230,-940
58,580,2538,-2082
59,-334,4264,-2292
61,-1038,4078,-3048
62,-304,3170,-5150
63,-896,4056,-4806
65,-306,4020,-5566
66,160,4266,-5662
68,-864,4122,-5660
69,-710,3220,-5504
70,-584,3970,-5400
72,42,3984,-5184
73,110,3714,-3128
74,-1170,3320,-2746
76,-900,3066,-1452
77,-282,3156,-1460
78,-544,2294,-978
80,-2316,4200,834
81,-2154,3980,1994
83,-1664,3364,2592
84,-2072,3556,2578
85,-1938,2710,2856
87,-1046,2336,3544
88,-3166,3946,3608
89,-3042,4038,3982
91,-514,2948,2310
92,-976,3256,1470
94,-1908,3110,2178
95,-1372,4110,1218
96,-1042,4968,-32
98,548,2508,-2560
99,-966,3946,-2170
100,-1244,4406,-2822
102,88,2754,-4778
103,-550,3802,-4868
105,-88,3610,-6032
106,-488,4212,-5848
107,-1002,4192,-5636
109,-774,2902,-5474
110,-640,3792,-5576
111,-236,3902,-4950
113,-548,3942,-3546
114,-1346,3520,-3212
116,-1152,3262,-2038
117,-660,3636,-1814
118,-106,2396,-164
120,-1152,3976,1348
121,-2606,4378,1524
122,-2024,3446,2340
124,-2978,3890,2238
125,-2218,3344,2872
127,-1534,2480,3996
128,-2962,3520,4202
129,-3044,4118,3344
131,-344,3106,2512
132,-970,3408,2136
133,-1794,2914,1498
135,-1838,4132,1684
136,-746,4216,-1068
138,-72,3332,-2094
139,-944,3588,-1868
140,-1044,3742,-2984
142,-714,3444,-3546
143,-48,3196,-4970
144,26,3974,-5866
146,-6,3824,-5838
147,-508,3802,-5258
149,-686,3280,-5096
150,-20,3160,-5434
151,-54,4124,-5062
153,-220,3598,-4112
154,-834,3260,-2772
156,-416,2890,-2268
157,-886,3556,-1372
158,-598,2230,-1054
160,-1926,2526,526
161,-2982,4216,2080
163,-1628,2990,2680
164,-2200,3182,2428
165,-1886,3008,3134
167,-890,2124,3704
168,-2376,4214,4142
169,-2004,3098,3508
171,-596,2696,2414
172,-1454,3362,1740
173,-1560,2590,1986
175,-2026,4112,622
176,-386,3662,-586
178,210,3264,-1504
179,-224,3858,-2344
180,-650,3842,-2922
182,-546,3310,-4672
183,-660,3756,-4864
184,44,3792,-5612
186,414,4304,-5922
187,-802,4160,-5478
189,-756,3098,-5618
190,-290,3984,-5312
191,10,4074,-5516
193,250,3614,-3782
194,-1236,3486,-2960
195,-1028,2682,-2764
197,-508,4196,-1040
198,-346,2454,-1742
200,-1040,1542,1140
201,-2456,4518,1508
202,-2584,3764,2650
204,-1186,3540,2498
205,-2202,3562,2466
206,-1514,2300,4002
208,-3310,3808,4310
209,-2764,3458,3464
211,-1296,2690,2816
212,-1118,3798,2094
213,-1528,2536,1304
215,-1486,4316,1546
216,-376,3778,-68
217,166,2906,-1838
219,-1244,4010,-1892
220,-488,3246,-2356
221,-232,3592,-3442
223,-140,3160,-5418
224,-344,3116,-4848
226,-110,4196,-5678
227,-366,3748,-5704
228,-642,3512,-5118
230,-274,3480,-5764
231,-272,3750,-5220
232,-172,3558,-4198
234,-916,3742,-3200
235,-1056,3360,-2722
236,-954,3576,-1546
238,-1070,3880,-1188
239,-430,2290,650
241,-2686,3800,880
242,-2838,4498,2648
243,-1964,3098,2344
245,-2940,3692,2894
246,-2142,2118,3758
248,-2392,3662,4474
249,-3250,4302,3366
250,-702,2640,2686
252,-1066,4066,1988
253,-1360,2618,1978
255,-1924,3210,1818
256,-1720,4078,-398
257,500,2890,-1454
259,-476,3546,-2580
260,-1248,3620,-2570
261,50,2860,-3436
263,-694,3828,-5160
264,274,3160,-5554
266,88,3624,-5940
267,-720,4546,-5358
268,-280,3010,-5260
270,-508,3366,-5566
271,-748,3216,-5668
272,168,3694,-4592
274,-888,4406,-3016
