timestamp,accX,accY,accZ
0,-430,4188,-5910
2,-534,3438,-5740
3,-790,3484,-5548
4,-650,3902,-5558
6,-28,3792,-5604
7,0,3954,-3404
9,-1684,3390,-2566
10,-1146,2854,-1772
11,-566,3750,-1288
13,370,1590,-1376
14,-1966,4020,1574
15,-2736,4364,2114
17,-1408,3262,2260
18,-3254,4030,2408
20,-2156,2960,2684
21,-1240,2144,4208
22,-3354,4034,3960
24,-2344,3076,3720
25,-806,4096,2576
26,-1106,3648,1888
28,-1100,3272,1282
29,-1854,4620,1252
31,-228,3450,-1478
32,734,4254,-2096
33,-1140,3916,-2322
35,-380,3012,-2942
36,-456,3936,-4388
37,-2,3124,-5294
39,62,4024,-5732
40,-192,3980,-5924
42,-492,3736,-5248
43,-670,3302,-5342
44,-228,3352,-5812
46,-500,3944,-5004
47,-634,3882,-3784
48,-1182,3652,-2844
50,-668,2942,-2082
51,-1078,4282,-1308
53,-470,1036,-828
54,-2750,2622,1198
55,-2922,4480,2684
57,-2358,2976,2592
58,-2756,3682,2130
59,-2898,3822,3416
61,-1394,2736,4098
62,-3254,4208,4400
64,-2878,2214,3170
65,-1022,3754,2636
66,-1428,4576,1812
68,-1220,2172,1648
69,-2042,3688,1636
70,-1096,4648,-480
72,258,3000,-2276
73,-1280,4340,-2432
74,-896,3296,-2748
76,-472,3606,-3484
77,-620,3746,-5102
79,450,3484,-5482
80,14,4304,-5974
81,-704,3140,-5582
83,-482,3124,-5134
84,-634,3846,-5308
85,144,3366,-5388
87,-342,3918,-4520
88,-954,3350,-2846
90,-748,2682,-2770
91,-968,3904,-932
92,120,1708,-1340
94,-1410,1740,392
95,-3006,4388,1688
96,-1680,3132,2828
98,-1778,3402,2316
99,-3130,2890,2684
101,-1146,2118,4116
102,-2532,3584,3604
103,-2252,2666,3720
105,-762,2814,2742
106,-1370,3620,2064
108,-1090,1762,1632
109,-1758,3464,1130
110,-256,3092,-422
112,300,2926,-1342
113,-1010,4064,-2580
114,-192,2828,-2670
116,-422,3826,-4050
117,118,2908,-5574
119,98,3334,-4880
120,52,4000,-5938
121,-362,3556,-5632
123,-536,3518,-4988
124,-78,3428,-5546
125,-474,3706,-5052
127,-324,3850,-3926
128,-824,3898,-2818
130,-1082,3296,-2414
131,-1368,3902,-1194
132,-842,3748,-690
134,40,2132,998
135,-2732,3884,1226
137,-2982,4400,2786
138,-2526,3618,2726
139,-2994,3890,2278
141,-1752,2554,4178
142,-2936,4308,4612
143,-2830,3580,3158
145,-1092,3436,2010
146,-1334,4618,2442
148,-778,2340,1596
149,-2362,3732,1472
150,-1094,3936,-408
152,468,3376,-2072
153,-1154,4062,-2532
155,-780,3290,-2434
156,-314,3638,-3596
157,-642,3856,-5192
159,-192,3328,-5608
160,8,4148,-5902
161,-422,4452,-5396
163,-378,3172,-5312
164,-882,3762,-5394
165,-452,3214,-5298
167,-222,3932,-4562
168,-1272,4338,-3058
170,-820,3000,-2584
171,-1018,3624,-1690
172,-1400,2160,-836
174,-748,1484,208
175,-2992,3314,1454
176,-2140,3694,2860
178,-1230,3254,2554
179,-2958,3266,2786
181,-1142,1688,3546
182,-2166,3322,4774
183,-3054,2874,3566
185,-694,2422,3012
186,-1244,4104,2170
187,-874,2456,1366
189,-1626,3308,1774
190,-1560,3354,-198
192,180,3174,-1126
193,-170,3814,-2428
194,-578,3332,-3078
196,-626,3652,-3044
197,-756,3128,-5518
199,-108,3344,-5250
200,36,4020,-5802
201,-478,3744,-5726
203,-498,3498,-5584
204,-372,3336,-5700
205,-574,3736,-5016
207,-358,3700,-4064
208,-596,3892,-2860
209,-956,3368,-2566
211,-968,3700,-1716
212,-974,3974,-712
214,-130,1828,726
215,-1888,3670,1426
216,-3134,4128,2334
218,-1302,3356,2928
219,-2694,3802,2150
220,-1820,2296,3214
222,-934,4330,4768
223,-3184,4576,3968
225,-1432,2050,2440
226,-1764,4534,2336
227,-1230,3772,1858
229,-974,3450,1266
230,-2062,4328,-550
231,-56,3384,-1928
233,-534,3978,-2986
234,-1462,4454,-2524
236,-646,3234,-3010
237,-406,3796,-4990
238,-262,3714,-5432
240,352,3996,-6042
241,-496,4654,-5556
242,-544,3628,-5100
244,-384,3196,-5582
245,-476,3892,-5560
247,156,3756,-4516
248,-1172,4320,-3468
249,-1520,3390,-2694
251,-958,3780,-1714
252,-1356,4264,-1018
254,-748,1374,10
255,-2990,3188,1590
256,-2418,4154,2772
258,-1644,3522,2754
259,-2844,3938,2738
260,-2126,1918,3924
262,-1814,2674,3890
263,-3676,4568,3812
264,-2936,2026,2744
266,-882,3352,2442
267,-1792,4354,1444
269,-858,2610,1690
270,-1818,4190,954
271,-1090,2546,-1050
273,468,2780,-2144
274,-1400,4612,-2874
