timestamp,accX,accY,accZ
0,-64,3230,-5814
2,-168,4546,-5744
3,-720,3380,-5460
4,-640,2868,-5664
6,-456,4324,-5282
7,210,3686,-4788
9,-152,3224,-3922
10,-994,3542,-3084
11,-860,3762,-2394
13,262,2604,-1746
14,-2186,3582,-250
15,-2448,4146,1232
17,-1514,3504,1266
18,-2236,3268,1518
20,-2462,3556,3288
21,-1964,3788,3404
22,-1006,2336,3622
24,-3248,4326,4130
25,-2164,4088,3810
27,-146,2816,2252
28,-2696,4380,2970
29,-1984,3188,1396
31,-712,4034,430
32,-440,3926,-876
33,-314,2990,-920
35,-1484,4146,-1686
36,-382,3424,-3254
37,340,3526,-4158
39,-958,4038,-4720
40,-976,3748,-5570
42,-382,4030,-5558
43,-602,3946,-5558
44,-1042,3410,-5802
46,-174,3946,-5664
47,114,4066,-4238
49,-692,2954,-3804
50,-724,2896,-3554
51,-588,3584,-2264
53,218,1880,-2488
54,-1920,3008,38
55,-2252,4110,720
57,-1496,3534,1100
58,-1952,3060,2042
59,-2932,3060,2828
61,-2202,3526,3352
62,-1708,2354,3120
64,-3068,3664,4094
65,-2498,4164,3324
66,-2,2508,2394
68,-1908,3682,1954
69,-2146,3044,2184
71,-982,3320,1290
72,-734,3718,-886
73,-130,3390,-974
75,-628,3320,-1788
76,-1014,3384,-3180
78,720,2820,-4134
79,-364,4214,-5252
80,-1008,3882,-5420
82,-26,3578,-5678
83,-450,4010,-5494
84,-880,3484,-5922
86,-666,3686,-5632
87,100,3774,-4948
88,-388,3598,-4106
90,-614,2876,-2942
91,-890,3604,-2488
93,-280,3380,-2320
94,-1880,2838,-166
95,-2946,4476,456
97,-2584,3438,1366
98,-1796,3246,1688
99,-2714,3248,3278
101,-3082,3002,3306
102,-1422,2644,3778
104,-1894,2768,3818
105,-2118,3864,3758
106,-426,2466,2774
108,-702,4034,2876
109,-1736,3546,1788
110,-874,3092,92
112,-278,3990,-490
113,-208,3622,-804
114,-368,3276,-1386
116,-626,3506,-2942
117,168,2978,-3650
119,334,3912,-4826
120,-1136,4032,-5178
121,-752,3810,-5546
123,-732,3918,-5724
124,-1116,3774,-5842
126,-794,3884,-5692
127,142,3806,-5234
128,-292,3584,-3696
130,-518,2792,-3246
131,-126,3122,-2642
132,-702,2648,-2532
134,-910,2268,-826
135,-2426,3390,850
136,-2322,4032,1334
138,-1440,3314,1530
139,-2202,3264,2594
141,-2698,3118,3364
142,-1462,2432,3572
143,-1716,3672,4072
145,-2270,3856,3740
146,-866,2928,2608
148,-1572,3622,2576
149,-2288,3842,2048
150,-1602,3300,944
152,-482,3550,-226
153,-284,4198,-1138
154,-826,3370,-1548
156,-964,3602,-2118
157,-722,3432,-4158
158,146,3370,-4608
160,-672,4148,-5318
161,-1086,3836,-5588
162,-464,3842,-5594
164,-952,3816,-6088
165,-644,3824,-5740
167,18,4042,-5542
168,200,3444,-4176
169,-816,3196,-3530
171,-340,2748,-2402
172,-664,3556,-2372
173,-142,2354,-2006
175,-1534,4244,536
176,-2990,4652,1248
178,-1946,3542,1422
179,-1616,3208,1822
180,-3044,3606,3246
182,-1982,2868,3762
183,-2236,3362,4012
184,-2738,3872,3846
186,-1584,2486,3030
187,-1212,3344,2640
189,-2182,3982,2534
190,-1272,3688,2042
191,-524,3486,432
193,-432,3468,-954
194,-564,3796,-1024
195,-904,3774,-1582
197,-734,3228,-3756
198,306,3164,-4492
199,-8,3592,-5096
201,-946,4020,-5632
202,-666,3714,-5706
204,-426,3886,-5860
205,-716,3962,-6058
206,-430,3950,-5046
208,-146,3466,-4534
209,-704,3490,-3730
210,-364,2888,-2748
212,-524,3392,-2052
213,-468,3112,-2346
215,-614,2840,62
216,-3016,4532,776
217,-2906,4660,1508
219,-1956,3082,1996
220,-2942,3426,2074
222,-2654,2348,3808
223,-1600,3070,3798
224,-3188,4228,2814
226,-810,2262,3026
227,-892,3318,2752
228,-2098,3352,2836
230,-1506,2992,2368
231,-1592,3624,-386
233,-60,3564,-618
234,102,3632,-1400
235,-1318,3384,-2048
237,-252,2860,-2944
238,136,3496,-5052
240,-118,3596,-5292
241,-830,4126,-5616
242,-878,3750,-5622
244,-652,3264,-5716
245,-696,3740,-5910
246,150,3990,-5664
248,192,3458,-4952
249,-398,3360,-3678
251,-426,2994,-2836
252,-258,3166,-2594
253,-190,2592,-2080
255,-1266,2170,-514
256,-2658,5030,1398
258,-2000,3832,1566
259,-1314,2742,1928
260,-3008,3612,2968
262,-2070,2810,3832
263,-1390,3674,4218
265,-3014,4112,3934
266,-994,2364,3096
267,-1574,3870,2406
269,-2150,4044,2560
270,-1672,3302,2018
271,-1376,4390,812
273,364,3126,-1134
274,-716,4268,-1036
