timestamp,accX,accY,accZ
0,-200,2038,-36
2,-872,3820,-524
3,-722,4412,-2402
5,18,3498,-3210
6,-708,3814,-4006
7,-692,3574,-4936
9,-252,4444,-5352
10,-538,4256,-6396
11,34,3188,-6108
13,-132,3726,-6318
14,-144,3558,-5478
15,-316,3200,-5136
17,-594,3190,-4728
18,-360,3754,-3626
20,-614,3170,-3242
21,-1740,4624,-1164
22,-1308,3558,-1322
24,-96,1814,-860
25,-1528,3566,1682
26,-2956,3416,2320
28,-2042,3154,2944
29,-2190,3330,2992
31,-1810,2668,3244
32,-3114,3668,4272
33,-1622,2632,3888
35,-1814,3106,3304
36,-1138,3300,2528
38,-1084,3726,2712
39,-1140,2888,1062
40,-246,2214,-540
42,-964,3460,-1870
43,-182,3952,-1990
44,-270,3672,-2754
46,-720,3558,-4018
47,-448,3622,-5228
49,-262,4270,-5760
50,-242,3790,-6114
51,-378,3232,-6254
53,-148,3648,-5594
54,-6,3946,-5300
56,146,3430,-5068
57,-276,3362,-4872
58,-472,3938,-3696
60,-614,3066,-2086
61,-2232,4084,-1726
62,-1548,4720,-738
64,-86,1668,-360
65,-2762,2938,1684
67,-3316,3108,2890
68,-1126,3116,3032
69,-2000,3780,2812
71,-2536,3088,3828
72,-2780,4158,4988
74,-2122,2260,3616
75,-2668,3320,3498
76,-1866,3426,2446
78,-1188,4248,1518
79,-1306,4392,1384
80,-58,2046,58
82,-984,4260,-508
83,-774,4478,-1292
84,444,3394,-3118
86,-1048,4026,-3934
87,-730,3740,-5152
89,-376,4490,-5302
90,-624,4364,-5730
91,-160,3262,-5934
93,128,3678,-6358
94,78,3806,-5630
95,-12,3322,-4840
97,-650,3310,-4896
98,-444,3596,-3784
100,-802,3440,-3198
101,-2048,4332,-2008
102,-1912,3652,-1074
104,-464,2338,-144
105,-930,1914,2322
106,-2714,3538,1804
108,-2184,3668,3036
109,-1092,2984,2882
110,-2388,2956,3318
112,-3102,3766,4516
113,-1872,2800,3774
115,-1948,3100,3348
116,-2092,3292,2482
117,-1422,4062,2902
119,-1212,4032,1844
120,-1184,2208,-614
121,-854,3510,-326
123,-184,4208,-2180
124,-182,3530,-2884
126,-970,3412,-3340
127,-1188,3758,-5052
128,154,3852,-5678
130,-310,4586,-5928
131,-268,3142,-6006
132,-102,2954,-5786
134,56,3850,-5220
135,284,3528,-5722
137,-362,3332,-4912
138,-642,3682,-3940
139,-726,3590,-2702
141,-1792,3636,-1940
142,-1198,4236,-1552
144,-1252,3860,-806
145,-2334,2122,1866
146,-3184,3386,2500
148,-2686,3170,3394
149,-1498,3246,2796
150,-2524,3384,3560
152,-2378,3760,5008
153,-2246,3368,4460
155,-2194,2660,3454
156,-1840,3306,2798
157,-1084,3708,2430
159,-1368,4100,988
160,-440,2608,560
161,-74,1950,-456
163,-868,4378,-1132
164,188,3598,-2740
166,-176,4078,-4094
167,-732,3966,-4056
168,144,3126,-5656
170,-116,4770,-5384
171,-44,3668,-5992
172,-10,2920,-6662
174,-56,3624,-5966
175,-48,3600,-5590
176,-404,3630,-4692
178,-654,3454,-4842
179,-482,3544,-3514
181,-1612,3972,-2054
182,-2300,4188,-1268
183,-1790,2284,-436
185,-632,1872,334
186,-2870,3242,1656
187,-2652,3318,3024
189,-1274,3638,3188
190,-2136,3558,3176
192,-2724,3196,4390
193,-2566,4104,4584
194,-1678,2622,3752
196,-1826,3118,3266
197,-1770,3618,2600
198,-698,3772,1794
200,-1248,3748,1094
201,-544,2600,-184
203,-108,3410,-1722
204,-782,4322,-2698
205,-288,3122,-3418
207,-920,3568,-4050
208,-744,3770,-5546
209,-68,4442,-5682
211,-456,4318,-6078
212,-294,2670,-5876
214,22,3232,-6098
215,-40,3636,-5546
216,-388,3244,-4682
218,-474,3244,-3986
219,-822,3856,-2884
220,-762,2986,-2452
222,-1724,3658,-954
223,-1014,3276,-598
225,290,1176,-432
226,-1980,4006,2346
227,-2462,3038,2744
229,-1606,2824,2992
230,-2132,3436,2838
231,-1722,1964,3650
233,-3364,4260,4364
234,-1370,2400,3486
236,-1498,2558,2972
237,-2406,3568,2360
238,-1018,2838,1876
240,-944,4484,912
241,2,1938,-450
242,-330,2628,-536
244,-1208,4338,-2558
245,78,3266,-2676
247,-178,3526,-4118
248,-336,3478,-5328
249,226,3888,-5546
251,-412,3986,-5980
252,-380,2868,-5844
253,0,2808,-5996
255,216,4068,-5524
256,4,3440,-5018
258,-860,3470,-4480
259,-732,3792,-3712
260,-238,3344,-2256
262,-2390,4280,-1284
263,-2322,3844,-1060
264,-414,1844,316
266,-2872,3784,2002
267,-2894,3594,2702
269,-2346,3622,3036
270,-2134,4018,2790
271,-1628,2438,4280
273,-3408,4298,4704
274,-2086,3668,3742
