timestamp,accX,accY,accZ
0,-866,3310,452
2,-858,3914,-646
3,-218,2744,-1628
4,-862,3274,-2290
6,-92,3964,-3736
7,318,3430,-4550
9,-560,3124,-5614
10,-1226,4674,-5524
11,258,4692,-6384
13,1274,3092,-6388
14,-1318,3642,-5712
15,-780,3464,-5206
17,410,3898,-5058
18,-10,3896,-4718
20,-798,2910,-3246
21,-792,3264,-2204
22,-1058,4036,-330
24,-1548,2964,-726
25,-1072,2198,-110
26,-1696,3650,2146
28,-2838,3516,3544
29,-3204,3212,3542
31,-1948,3570,2942
32,-1166,3032,3808
33,-1140,2514,4628
35,-3576,3788,4776
36,-2076,3028,3074
37,-400,3930,2016
39,-1336,3582,236
40,-1092,2732,1084
42,-1546,4442,650
43,-456,3064,-880
44,-674,3878,-3178
46,318,4304,-3816
47,604,4052,-4486
48,-268,2712,-5450
50,-1544,4046,-5022
51,-148,3958,-6794
53,884,3256,-7046
54,-784,3822,-5380
55,-302,3266,-5134
57,208,3566,-5154
58,-86,3424,-4950
59,-390,3278,-3960
61,-574,3714,-3118
62,-1440,3716,-1108
64,-1902,3498,10
65,-1178,2458,52
66,-2214,3454,1344
68,-2296,3754,2340
69,-3292,3326,3670
70,-3024,3572,3638
72,-1546,3200,3730
73,-1848,2788,4328
75,-3332,3900,4606
76,-2588,2782,3568
77,-830,3184,2908
79,-1504,3654,500
80,-1072,3766,736
81,-940,4122,592
83,-976,3002,-1252
84,-782,3132,-2162
86,-406,3980,-3868
87,110,3850,-4512
88,-554,3252,-4514
90,-622,3020,-5332
91,310,4478,-6406
93,1030,3744,-6760
94,248,3680,-5956
95,-758,3510,-5428
97,36,3368,-4800
98,164,3798,-4642
99,-550,3348,-4022
101,-424,3120,-2734
102,-1386,3894,-968
103,-2110,3878,-812
105,-1534,2066,-428
106,-1262,2664,600
107,-2584,3772,3230
109,-3342,3218,4158
110,-2274,2980,3100
112,-2598,3312,3616
113,-930,1984,3890
114,-2726,2944,4608
116,-2026,3228,4460
117,-428,2660,3088
119,-1234,3772,1056
120,-1142,2796,1014
121,-1152,3464,244
123,-684,3324,-994
124,106,2248,-2434
125,-386,4656,-3456
127,210,3622,-4162
128,-230,2984,-5404
130,-1102,4236,-5256
131,-122,4536,-6278
132,1224,3642,-6726
134,-706,3692,-5952
135,-1046,3430,-5354
136,-214,3572,-5406
138,190,3898,-5168
139,-134,3620,-3568
141,-832,3436,-3406
142,-1292,3810,-1750
143,-1324,3660,-222
145,-1510,2822,-170
146,-998,3338,1888
148,-2112,3724,2362
149,-3708,4126,4208
150,-2286,3284,3024
152,-1978,3920,3876
153,-1318,2564,4168
154,-3438,3356,4574
156,-2790,3840,4272
157,-1266,2970,2742
158,-1756,3658,1668
160,-1446,3330,958
161,-620,3688,962
163,-1118,3818,-408
164,-922,2742,-2196
165,-52,3766,-3564
167,-252,4394,-4652
168,-282,2812,-4366
170,-584,3290,-5522
171,-1402,4292,-6596
172,1192,3274,-6756
174,-68,3740,-6222
175,-1148,3162,-5324
176,318,3018,-5404
178,88,3892,-4660
179,-344,3120,-4110
181,-368,2970,-3196
182,-980,3990,-1148
183,-1902,3648,-874
185,-1474,3466,-378
186,-1094,2342,264
187,-2740,3410,2338
189,-2878,3708,3990
190,-1978,2636,2964
192,-2188,3510,4052
193,-1180,2382,3870
194,-2278,2364,4408
196,-3258,3456,4010
197,-606,2942,3610
198,-740,3174,1832
200,-1076,3412,1088
201,-476,3202,1426
202,-1414,4310,-782
204,-524,2456,-2438
205,508,3042,-3508
207,-28,4608,-3864
208,-508,2814,-4664
209,-726,2366,-5242
211,-298,4932,-5980
212,1190,3684,-7134
213,198,4072,-6118
215,-760,3556,-5644
216,192,2932,-5422
218,10,3896,-5284
219,-296,3518,-4638
220,-18,2954,-3296
222,-1668,4172,-1800
223,-1722,3398,-1138
224,-1484,3322,-82
226,-818,2428,-36
227,-1618,2818,2608
228,-2572,4046,3700
230,-2946,3638,3948
231,-1784,3664,4020
233,-1870,2910,3648
234,-1840,2310,4682
235,-2630,3716,4368
237,-2002,3814,3992
238,-548,2944,1780
240,-1348,3682,558
241,-1152,3976,930
242,-1518,3590,-40
244,-1580,3766,-1308
245,-476,3238,-3772
246,-276,4556,-3584
248,-478,4198,-4368
249,-424,2838,-5488
251,-1294,5050,-5272
252,214,2814,-6928
253,-380,3786,-5982
255,-1202,4426,-5996
256,-384,2650,-5522
258,-84,3764,-5050
259,-732,4396,-3844
260,298,2766,-3606
262,-1004,3868,-2652
263,-1608,3742,-386
264,-1226,3522,-222
266,-1210,2074,-62
267,-2478,3158,2172
269,-2802,3742,3904
270,-2044,2882,2960
271,-2248,3596,2620
273,-1508,3776,3924
274,-2364,2392,4520
