timestamp,accX,accY,accZ
0,-98,2994,-5740
2,242,3874,-5024
3,106,3348,-4268
4,-852,3150,-3524
6,-1092,2860,-2648
7,-748,4086,-2134
9,-1720,4930,-884
10,-1238,1682,-512
11,-2750,3176,1406
13,-2434,3974,3112
14,-1868,2874,2758
15,-2692,3368,2904
17,-1916,2646,4014
18,-1744,2566,4736
20,-3436,4008,4156
21,-496,2030,3070
22,-120,2762,2692
24,-2116,3524,2008
25,-926,1666,1498
26,-1406,4290,-148
28,-1114,2358,-1654
29,286,2520,-1816
30,-1578,4576,-3062
32,600,2354,-3562
33,-92,3300,-4700
34,-1402,4084,-5996
36,342,3324,-5890
37,180,4264,-5970
39,-1026,3328,-5468
40,-48,2534,-5610
41,-268,3596,-5910
43,380,3438,-4362
44,-8,3172,-3896
45,-1242,2944,-2708
47,-808,3228,-2602
48,-1020,4766,-470
50,-1330,1920,-990
51,-2004,2304,520
52,-2840,4100,2418
54,-2332,3268,3328
55,-1932,2616,3124
56,-1658,3066,3220
58,-1282,2650,4462
59,-2570,3646,4482
61,-1792,2498,3306
62,-286,2302,2942
63,-1402,4324,2052
65,-1456,2168,1742
66,-1178,3368,546
67,420,3186,-1186
69,498,2590,-1470
70,-942,4228,-2728
71,-110,3002,-3176
73,418,3050,-4858
74,-866,3942,-5944
76,-508,4052,-5752
77,-130,4146,-6736
78,-900,3810,-5732
80,-456,3290,-5712
81,-378,3406,-5976
82,442,3570,-5362
84,4,3540,-3712
85,-1160,2944,-2882
87,-1056,2730,-3038
88,-1062,4652,-834
89,-1350,2832,-792
91,-1542,2000,1278
92,-2940,3940,2006
93,-2336,3528,3058
95,-1768,2822,2706
96,-2276,3166,3216
97,-1270,2894,4168
99,-1608,4148,5008
100,-2966,3480,3630
102,-792,1994,3066
103,-1832,4926,2626
104,-1844,3452,2230
106,-1352,1932,270
107,-538,4518,-58
108,1000,2748,-1518
110,-162,4214,-2336
111,-1016,3730,-2722
112,474,2782,-4850
114,-962,4432,-5334
115,-640,3934,-6034
117,-414,3996,-6318
118,-376,3862,-6120
119,-706,3490,-5812
121,-398,3604,-5534
122,600,3616,-6008
123,324,3482,-3968
125,-1120,3072,-3126
126,-1080,2880,-2646
128,-868,4812,-1540
129,-1394,3816,-804
130,-1184,1854,1042
132,-2746,4008,1600
133,-2252,3854,2422
134,-1786,2586,2360
136,-2698,2844,3064
137,-2114,3076,4350
139,-2340,3794,4954
140,-3116,3704,4174
141,-1738,2524,2996
143,-1042,4210,2694
144,-1632,4232,2534
145,-1670,3226,310
147,-1062,4238,474
148,830,3110,-1194
149,-1182,4108,-1924
151,-1336,3756,-2538
152,-110,3392,-4772
154,-318,4288,-5126
155,-588,3756,-5780
156,-784,4312,-5708
158,232,3670,-6662
159,-404,3494,-5956
160,-592,3574,-5930
162,148,3460,-5306
163,-124,3664,-4278
165,-778,3348,-3740
166,-1084,2610,-3030
167,-952,4318,-2274
169,-1588,4858,-1070
170,-950,1878,302
172,-3320,3776,1360
173,-2276,4076,3000
174,-1304,2854,2648
176,-2698,2732,2844
177,-2420,3132,4456
178,-1526,3404,4536
180,-2814,4096,3580
181,-1044,1938,2974
182,-1128,3408,3160
184,-1716,3362,2634
185,-1664,2446,1120
186,-1458,3952,254
188,-82,2706,-1412
189,-698,3938,-1274
191,-1816,4080,-2554
192,368,2888,-3514
193,58,4122,-5062
195,-442,3604,-5924
196,-770,4088,-5260
198,-374,4128,-5858
199,-108,3256,-5832
200,-150,3428,-6038
202,-374,3730,-5556
203,182,3564,-4588
204,-398,3422,-3270
206,-834,2944,-2672
207,-754,3186,-2474
209,-1220,3776,-536
210,-646,1534,-1004
211,-2800,2654,1276
213,-2932,3954,2326
214,-1526,3312,2828
215,-1946,2626,2978
217,-2430,2968,3862
218,-1706,3182,4552
220,-2378,3868,3950
221,-1468,2102,3154
222,-1080,2574,3062
224,-1546,4014,1964
225,-1098,2258,1400
226,-1844,4472,94
228,774,2616,-802
229,106,2878,-2204
231,-1092,3664,-2072
232,304,2718,-3308
233,-412,4084,-5716
235,-122,3366,-5672
236,-50,4000,-5720
237,-530,3868,-6246
239,-78,3108,-6314
240,142,4020,-6000
242,-226,3674,-5576
243,-154,3428,-4636
244,-632,3702,-3740
246,-944,3114,-3450
247,-566,3980,-2086
248,-1900,4748,-960
250,-722,2598,14
251,-3060,3638,1418
253,-2850,4434,1880
254,-2048,3582,2752
255,-2060,2792,2564
257,-2492,2712,3442
258,-2388,3318,4506
259,-2382,3958,4768
261,-2146,3364,3122
262,-1424,3236,3230
264,-1712,4206,2968
265,-1772,2688,1406
266,-1190,3922,-42
268,-440,3936,-1430
269,-658,3586,-1154
270,-1878,4470,-1908
272,-812,3250,-3282
273,2,3994,-5284
