timestamp,accX,accY,accZ
0,8,2660,-1578
2,-596,4270,-2418
3,62,3094,-3164
4,-594,4052,-5008
6,-552,3818,-5396
7,272,3940,-5570
9,-504,4114,-5790
10,-384,2556,-6008
11,-2,2740,-5982
13,628,4052,-5544
14,110,3666,-4936
15,-952,3272,-4394
17,-218,3086,-3370
18,-600,3668,-1854
19,-1630,4308,-1338
21,-1612,3498,-776
22,-236,1904,1150
24,-3040,3686,2274
25,-2798,3202,2508
26,-2288,3680,2638
28,-1932,3590,3176
29,-1546,2220,4532
30,-3546,4352,4864
32,-2136,3480,3956
33,-944,2796,2850
35,-2428,4234,2326
36,-1728,3512,1638
37,-1070,4344,532
39,-758,3590,132
40,400,3138,-1194
41,-1256,5156,-1908
43,-234,3922,-3490
44,316,3782,-4320
46,-1254,4740,-4728
47,138,3554,-5946
48,-686,4896,-5952
50,-664,3866,-5736
51,-68,3054,-6082
52,-56,4022,-6218
54,328,3370,-4734
55,-1030,3690,-4082
57,-1104,3612,-3830
58,-496,3388,-2864
59,-1652,4396,-1304
61,-2302,4166,-762
62,-462,1666,-118
63,-2178,3122,1764
65,-2892,3186,2826
66,-1828,3082,2968
68,-1702,3686,3216
69,-1650,2258,4110
70,-3234,3586,4840
72,-3094,2886,3392
73,-296,2244,3090
74,-1742,3774,2544
76,-1402,2900,2412
77,-780,3120,878
79,-1076,3216,-488
80,460,1674,-1532
81,-1204,4018,-1460
83,-1694,3030,-3424
84,196,2632,-3812
85,-1194,4576,-5284
87,634,3012,-6396
88,82,4340,-5618
90,-886,3064,-5850
91,-136,2280,-5790
92,252,3540,-5452
94,400,3756,-5002
95,-582,3364,-4194
96,-980,3140,-3470
98,-508,3438,-2602
99,-770,3774,-1072
101,-2030,3870,-634
102,-1164,2060,-322
103,-1080,2174,2524
105,-2530,3568,2300
106,-2774,3166,2756
107,-2002,3582,3246
109,-1504,2392,3444
110,-2508,2828,4838
112,-2408,3442,3684
113,-990,2692,3332
114,-1008,3822,2288
116,-1966,3372,2450
117,-1234,2808,166
119,-808,4290,54
120,706,2270,-1284
121,268,5050,-1650
123,-590,4184,-2506
124,368,2332,-4554
125,-1124,4796,-4832
127,-252,4086,-5730
128,914,4622,-5854
130,-814,4162,-5822
131,-598,2764,-5802
132,190,3780,-6572
134,168,4302,-5420
135,160,3108,-4006
136,-1234,3146,-3838
138,-1184,3284,-2874
139,-774,3944,-1902
141,-2160,4364,-942
142,-1938,1426,-254
143,-2078,2864,1752
145,-2696,3956,2836
146,-2052,2902,2702
147,-1798,3416,2640
149,-1840,2604,3984
150,-3160,3460,5102
152,-2972,3726,3568
153,-462,2764,3192
154,-1276,3834,2652
156,-1736,2792,2302
157,-1108,3380,676
159,-1060,4592,-506
160,90,2110,-1394
161,-1090,4046,-1740
163,-1182,3158,-3348
164,342,2942,-3864
165,-1070,4004,-5392
167,6,3360,-6014
168,314,4322,-5958
170,-762,3490,-5902
171,-334,2294,-5736
172,-86,2972,-5544
174,376,4156,-4998
175,-90,3334,-4512
177,-884,3110,-3538
178,-1076,3538,-2498
179,-292,3694,-862
181,-2298,4004,-818
182,-1272,2104,-536
184,-1046,3774,2338
185,-3004,3928,2502
186,-2740,2792,2918
188,-1786,3630,3014
189,-1550,3110,3772
190,-2198,3668,4702
192,-2744,3752,3984
193,-1046,2726,2852
195,-2266,4150,2690
196,-2094,3648,1780
197,-1080,4126,448
199,-800,4764,302
200,782,2268,-1512
202,-1540,4946,-1718
203,-696,4412,-2502
204,622,3052,-4450
206,-1282,4520,-5072
207,-662,4286,-6000
208,26,4372,-5950
210,-908,4316,-6030
211,-674,2566,-5734
213,48,3764,-6310
214,112,4422,-5004
215,-602,3002,-4124
217,-1168,3118,-3664
218,-1146,3620,-2484
219,-526,3902,-2202
221,-2008,4150,-940
222,-1904,1828,-192
224,-2284,3278,1944
225,-2238,4036,3028
226,-2048,2700,2474
228,-2096,3172,2744
229,-1600,3024,4076
230,-2924,3732,5104
232,-3058,3570,3486
233,-500,2742,3250
235,-1070,3918,2760
236,-1722,2738,1956
237,-1168,3212,568
239,-984,4274,-684
240,238,2462,-1144
241,-1506,3954,-1848
243,-1108,3370,-2948
244,630,3092,-4372
246,-1054,3918,-5356
247,-1150,3482,-5626
248,116,4396,-5798
250,-376,4552,-5958
251,-450,2672,-5856
252,-302,3218,-5812
254,136,3892,-4928
255,-138,3574,-4502
257,-964,3182,-3610
258,-970,3446,-2490
259,-928,4550,-1916
261,-1278,3318,-928
262,-1492,2218,-208
263,-1594,2680,2282
265,-2446,3794,2534
266,-2600,3208,2954
268,-2376,2818,3004
269,-1846,3162,3894
270,-2050,3376,4248
272,-2494,3104,3712
273,-1850,2900,3474
275,-878,3726,2362
