timestamp,accX,accY,accZ
0,-1988,3090,2974
2,-678,2068,3174
3,-1028,4130,3060
4,-2004,2720,2574
6,-1528,2988,-736
7,-828,3672,-772
9,798,2700,-1660
10,-1792,3902,-1926
11,108,2932,-3364
13,1040,3574,-4254
14,630,3746,-5804
15,-750,3196,-5872
17,-1078,4508,-5808
18,536,3032,-6662
19,-10,2344,-6548
21,-640,4844,-5600
22,388,4502,-4864
24,472,3384,-3958
25,-1592,3040,-3268
26,-676,3128,-2890
28,204,3790,-1278
29,-1868,2834,-394
31,-2748,2622,1492
32,-2706,3866,1928
33,-1600,3958,2118
35,-2294,3074,3294
36,-2790,2674,4054
37,-2336,3724,4046
39,-1612,3570,4460
40,-2492,3342,4058
41,-1750,2518,3096
43,-1240,4110,3298
44,-1476,3608,2262
46,-1912,3910,572
47,178,4188,-368
48,1036,3422,-998
50,-2210,3912,-2108
51,-976,2804,-2448
53,492,4686,-4722
54,-434,4294,-5652
55,-146,2762,-5132
57,-804,4730,-5624
58,72,4184,-5966
59,840,2690,-6480
61,-812,4206,-5926
62,-668,4766,-4898
63,752,3170,-4172
65,-862,2796,-3570
66,-1670,3220,-2674
68,228,3354,-1946
69,-1036,3000,-1144
70,-2310,3000,1306
72,-1828,3278,1720
73,-1948,4104,2082
75,-2674,2766,3286
76,-2682,2298,3342
77,-3066,3316,4000
79,-1646,3258,4440
80,-3014,4034,4598
81,-2298,2046,2928
83,-988,3572,3086
84,-1456,4216,2530
85,-1526,2874,728
87,-1028,4410,-174
88,1044,3324,-1204
89,-1656,4392,-1128
91,-1820,3200,-3416
92,812,3710,-4474
94,198,4894,-5280
95,-34,3758,-5846
96,-1166,4238,-5794
98,-454,4594,-5884
99,1018,2620,-6456
100,-838,3434,-6564
102,-1068,4430,-4796
103,624,3764,-4864
105,-660,3090,-3718
106,-1676,3258,-2598
107,58,3280,-2834
109,-174,2878,-614
110,-2774,2916,96
112,-2814,3408,1904
113,-1500,3746,2132
114,-2394,3086,2356
116,-2664,2352,4118
117,-2408,3818,3952
119,-1706,3694,4524
120,-2110,3104,3900
121,-1838,2802,3152
123,-886,3010,3098
124,-1272,3546,1930
125,-1912,2388,2104
127,-1354,4198,-4
128,976,3518,-1114
130,-630,3280,-2152
131,-1054,3142,-2238
132,492,3132,-4018
134,352,4458,-5634
135,-274,3072,-5938
136,-654,3152,-5546
138,-1034,4580,-6120
139,924,2954,-6772
140,-12,2648,-5888
142,-1136,4536,-5004
143,424,3860,-4450
145,206,3032,-3552
146,-1670,3516,-3306
147,-784,4170,-2430
149,-276,2290,-1234
150,-2916,3430,670
152,-2966,3158,1918
153,-1184,3556,1590
154,-2120,4254,3094
156,-2798,2070,3824
157,-3250,3582,4498
158,-2320,2926,4074
160,-2672,3920,4556
161,-2424,3776,3220
163,-742,2968,2894
164,-1600,4194,3294
165,-1850,2834,586
167,-1144,4360,-6
168,1016,3596,-1184
169,560,4150,-1168
171,-1984,3366,-2004
172,-574,2744,-4660
174,574,4668,-5344
175,-12,3908,-5750
176,-708,3956,-5344
178,-316,4412,-6034
179,650,3728,-6570
180,-490,3076,-6558
182,-908,4022,-6052
183,-270,4064,-4662
185,-408,2952,-3688
186,-1468,2902,-2694
187,-48,3442,-2902
189,250,3108,-1682
190,-1596,3270,222
191,-2992,3428,1452
193,-1534,3592,1942
194,-1286,2974,2098
195,-2850,2356,3076
197,-3170,3064,3934
198,-1656,3648,4304
200,-2484,3580,4386
201,-2168,2856,3276
202,-920,3212,3332
204,-1078,3838,2708
205,-1912,2762,1482
207,-1208,3046,232
208,84,3750,-956
209,-246,3496,-1670
211,-2256,3638,-2782
212,236,3062,-3698
213,840,4006,-5224
215,-524,4066,-5916
216,-548,3232,-5890
217,-114,3352,-5488
219,-358,3394,-6234
220,-1466,4386,-5552
222,48,4008,-5612
223,290,3358,-5260
224,-688,3072,-3364
226,-1696,3204,-3036
227,-704,4482,-2170
229,188,3500,-2124
230,-2042,2718,362
231,-2754,3594,1302
233,-2708,3474,2326
234,-1726,3076,1734
235,-2076,2820,3286
237,-2958,4034,4758
238,-2352,2896,4666
239,-2574,3654,4458
241,-1680,3356,3246
242,-390,2678,2808
244,-1894,3966,2910
245,-1994,2234,2546
246,-1124,4114,556
248,804,3468,-1544
249,126,3738,-1572
251,-1274,3434,-2194
252,-772,2950,-2682
253,220,3444,-5008
255,260,3858,-5874
256,-202,3682,-5838
257,-630,4120,-6298
259,-72,3354,-5800
260,-36,2776,-6296
262,-540,4168,-6048
263,-86,4356,-5156
264,298,3558,-3594
266,-1186,2970,-3190
267,-1296,2962,-2862
268,-388,3928,-1508
270,-540,2286,-920
271,-2394,3586,1422
273,-2406,4064,2084
274,-1516,3864,2438
