timestamp,accX,accY,accZ
0,-766,4026,-2172
2,-1506,4136,-1082
3,-2020,2192,504
5,-2928,4018,1570
6,-2444,3290,2642
7,-1512,2462,2100
9,-2940,3136,3468
10,-2382,2910,4298
11,-2266,3550,4312
13,-2904,3860,3200
14,-812,2474,3110
16,-1244,3950,2870
17,-1700,2618,1212
18,-1182,3252,1716
20,-1090,4510,-496
21,396,2676,-960
22,-944,3936,-1942
24,-1278,4306,-2718
25,176,3256,-4020
26,-446,3906,-4916
28,-172,3874,-5100
29,-566,4054,-5542
31,-634,3952,-5846
32,-86,3156,-6212
33,-344,3690,-5806
35,-330,3826,-4994
36,-312,3528,-4598
37,-674,3196,-3456
39,-758,3054,-2954
40,-780,3744,-2450
42,-1422,3178,-876
43,-760,1704,-608
44,-2506,3048,1640
46,-2450,4032,2344
47,-1160,2778,2414
48,-2260,3358,2978
50,-2252,3018,4162
51,-1656,2824,4290
53,-2866,3922,3678
54,-912,2292,3216
55,-748,2716,2830
57,-1702,3586,2500
58,-1074,2528,1488
59,-1132,4184,116
61,380,2474,-1262
62,-170,3034,-1622
64,-1134,4056,-2414
65,82,2726,-3076
66,72,4348,-5202
68,-292,3922,-5342
69,86,3598,-5374
70,-784,3866,-5788
72,-436,3180,-5400
73,240,4034,-5832
75,-432,4514,-5134
76,-112,3816,-4606
77,-462,3040,-3976
79,-756,3250,-2556
80,-510,3140,-1880
81,-1766,4718,-660
83,-884,2212,-1002
84,-1176,3744,1660
86,-2794,4626,2040
87,-2138,3312,2202
88,-2718,3432,2592
90,-2188,3118,3260
91,-1830,3602,4564
92,-2780,3830,3940
94,-1676,2706,3024
95,-1436,3774,2942
97,-1864,4070,2530
98,-1278,2656,1886
99,-974,4516,-146
101,-510,3632,-1762
102,682,3744,-1794
103,-1452,4698,-2008
105,64,3342,-3152
106,-482,3824,-5202
108,-514,4100,-5258
109,260,3842,-5546
110,-1018,4424,-5470
112,-728,3426,-5842
113,142,3434,-6052
114,-472,4496,-5654
116,-606,3368,-4638
117,-688,3192,-3994
119,-838,2972,-3008
120,-910,3682,-1912
121,-1262,3842,-1716
123,-1788,3656,-840
124,-1778,2460,1054
125,-2922,4128,1978
127,-2874,3240,2696
128,-1596,3002,2150
129,-2392,3458,3802
131,-2122,2802,4286
132,-2822,3658,4432
134,-2240,2598,3192
135,-796,3004,3046
136,-1820,3998,2284
138,-876,3052,1442
139,-1112,4158,1306
140,-466,3604,-830
142,-350,3234,-1436
143,-752,4266,-2210
145,-786,3262,-3378
146,-402,3100,-4142
147,-548,3776,-5320
149,158,3940,-5750
150,-502,4152,-5704
151,-1024,3102,-5706
153,164,2794,-6074
154,120,3612,-5118
156,-538,4104,-4780
157,-698,3200,-4034
158,-234,2764,-3126
160,-906,3494,-2386
161,-1252,3874,-1800
162,-1694,2548,-1142
164,-728,2084,-136
165,-2626,3544,1926
167,-2940,3468,3032
168,-1632,3012,2068
169,-2184,3280,3062
171,-1920,2828,4242
172,-2746,3046,4194
173,-1872,3370,3796
175,-278,2292,2862
176,-1392,4150,2190
177,-1358,3014,1992
179,-902,3072,326
180,-798,4012,-920
182,300,2334,-1274
183,200,3140,-1980
184,-820,4012,-2486
186,60,2470,-3462
187,-598,4508,-5494
189,8,4182,-5328
190,950,3548,-5584
191,-1090,3934,-5576
193,-316,2660,-5540
194,174,4040,-6066
195,-466,4414,-4954
197,-212,3842,-3844
198,-612,3028,-3594
200,-1114,3172,-2584
201,-1214,3898,-1418
202,-1534,3808,-826
204,-790,2372,514
205,-2926,3616,2054
206,-2896,3944,2474
208,-2458,3190,2306
209,-1968,3498,2528
210,-1826,2942,3402
212,-2058,3678,4480
213,-2746,3808,4018
215,-1156,2586,2756
216,-1898,4200,2486
217,-1752,3620,2010
219,-778,3870,1330
220,-1064,4340,264
222,-88,2776,-1390
223,-608,4190,-2212
224,-876,4688,-2348
226,236,2990,-3928
227,-864,3898,-4992
228,-742,4124,-5742
230,-60,4148,-5956
231,-1036,4580,-5736
233,-772,2546,-5826
234,58,3176,-6156
235,-258,4146,-4658
237,-614,3508,-4056
238,-620,3036,-4108
239,-730,3552,-2802
241,-1264,3954,-1422
242,-1864,3768,-712
244,-1818,1938,-494
245,-1724,2894,1344
246,-2450,4038,2480
248,-2318,3130,2822
249,-1842,3234,2610
250,-2008,2780,3904
252,-2460,2854,4354
253,-2958,3742,3906
255,-436,2580,3260
256,-1064,3100,3054
257,-2028,3124,1998
259,-660,2910,1574
260,-936,4350,-348
261,-1070,2218,-1292
263,-212,2558,-1958
264,-1180,4874,-2594
265,484,2730,-3762
267,-534,3204,-4396
268,-838,4300,-5284
270,696,3352,-6088
271,-348,4116,-5560
272,-664,3318,-5688
274,28,2720,-5424
