timestamp,accX,accY,accZ
0,-1892,3446,-1418
2,-456,2626,-3210
3,506,4634,-5596
5,488,3980,-5628
6,170,3458,-5734
7,-2116,4496,-4822
9,122,3814,-6486
10,410,3712,-6782
11,-304,3654,-6476
13,-616,3840,-5004
14,-202,3556,-3934
15,-428,3326,-3614
17,-1212,3138,-3454
18,618,2700,-2938
19,-616,3004,466
21,-3314,3632,1500
22,-2504,3076,1426
24,-1530,3536,1606
25,-2054,3020,2860
26,-3202,3078,4134
28,-3556,2630,4166
29,-1842,3344,4420
30,-2126,4334,3274
32,-954,2080,3156
33,-1848,3620,3596
35,-1414,2814,3106
36,-1540,3058,1248
37,-894,4086,-696
39,590,3752,-1418
40,-1126,3858,-1042
41,-2016,3172,-2858
43,124,3638,-4062
44,806,4716,-5638
45,298,2906,-6310
47,-1494,3824,-5362
48,-1160,4642,-5900
50,520,2976,-6358
51,-272,3316,-6632
52,-812,4230,-5264
54,564,3576,-4162
55,-582,3186,-2936
56,-994,3320,-2494
58,772,2234,-2894
59,400,4170,10
61,-2792,3732,120
62,-2612,2810,1832
63,-1926,3866,1700
65,-1680,2660,2298
66,-2730,3818,4518
67,-2768,3338,3618
69,-1344,2740,4494
70,-2546,3680,3846
72,-1854,2462,3448
73,-876,3838,2230
75,-1652,3542,2966
76,-1312,2846,1024
77,110,3720,-398
79,152,3136,-1232
80,-244,3872,-1510
82,-958,3282,-2588
83,-540,3448,-5020
84,264,4054,-5206
86,20,3232,-5808
87,-596,4156,-5518
88,-526,4668,-6214
90,438,4104,-6738
91,-402,2716,-6350
92,-880,3958,-5644
94,-774,3550,-4200
95,-594,3344,-3782
97,-1246,3478,-3764
98,-952,1820,-2494
99,-306,2404,-1534
101,-3120,4434,1202
102,-1818,2584,1624
103,-1274,3384,1246
105,-1864,3060,3226
106,-2904,2704,4170
108,-3428,3408,3816
109,-1580,3054,4130
110,-1860,4198,4250
112,-1654,2502,3594
113,-1674,2786,3228
114,-1660,3498,2990
116,-1308,3230,1260
117,-780,4010,-1048
119,306,3408,-1466
120,-1334,3846,-798
121,-2018,3752,-2920
123,276,2990,-4850
124,612,4572,-5618
125,380,2976,-6228
127,-1476,3468,-5228
128,-1400,4296,-5544
130,-54,3276,-6468
131,450,3070,-6642
132,-658,4078,-4892
134,462,3590,-3946
135,-236,2820,-3592
136,-1136,3864,-2876
138,436,2882,-2614
139,696,2262,124
140,-2228,4154,598
142,-2328,2488,1248
143,-1818,2946,1630
145,-1734,3186,2306
146,-2178,2256,3128
147,-3384,3854,4186
149,-1346,2482,4008
150,-2168,3306,3666
151,-2144,2842,3332
153,-1128,2484,3212
154,-1304,4068,3076
156,-1376,2406,882
157,-1236,2986,1076
158,-134,3568,-944
160,-376,3614,-950
161,-1642,3094,-2442
162,-12,2968,-3764
164,690,4264,-5016
165,-206,3072,-6460
167,-452,3116,-5636
168,-1468,4362,-6134
169,4,3774,-6098
171,790,2840,-7070
172,-472,4168,-5924
173,-510,4372,-4290
175,202,3340,-4096
176,-1446,3352,-3518
178,-860,4058,-2774
179,434,2420,-1942
180,-3306,4082,646
182,-3112,3836,1668
183,-1500,3516,1602
184,-2222,4044,1596
186,-1928,2714,3990
187,-3462,4072,4874
189,-2318,3106,3982
190,-2302,3846,4408
191,-2224,3946,3452
193,-1258,2964,3234
194,-1786,3840,3372
196,-1686,2988,936
197,-722,3796,268
198,524,3558,-1316
200,-494,3778,-1064
201,-1476,3306,-2028
202,-750,2854,-5132
204,222,4716,-4914
205,464,3552,-6024
207,-798,3978,-5384
208,-452,3868,-6200
209,88,3784,-6968
211,538,3388,-6504
212,-780,3962,-6070
213,56,3964,-3996
215,-488,3102,-4070
216,-1206,3254,-3278
217,-656,3410,-2726
219,126,3206,-1702
220,-1820,2938,566
222,-2756,3330,1374
223,-1584,3582,1792
224,-1600,3918,2204
226,-2602,2346,3190
227,-3046,3422,4458
229,-2680,2940,4456
230,-2460,3332,4194
231,-2408,3560,3308
233,-718,2908,3330
234,-1632,4150,2736
235,-1610,2332,912
237,-1090,2860,880
238,120,4136,-646
240,-352,3718,-1464
241,-1772,3190,-1742
242,-1156,3208,-3592
244,588,3804,-4990
245,-60,4368,-5704
247,-552,4092,-5914
248,246,3110,-5836
249,528,3478,-6070
251,-652,3840,-6202
252,-248,3820,-5860
253,-56,4168,-5166
255,-340,3130,-4348
256,-1178,3096,-3350
257,-776,3874,-2660
259,-406,3652,-2026
260,-2224,3166,-228
262,-2518,4086,904
263,-2154,3374,2386
264,-2132,2610,2006
266,-2312,2480,3544
267,-2662,4078,4196
268,-1948,3190,4382
270,-2432,2818,4362
271,-1778,3262,3420
273,-664,2902,3556
274,-1314,3642,2632
