timestamp,accX,accY,accZ
0,-6,3854,-4562
2,-460,3538,-3050
3,-1020,3152,-2958
4,-980,3768,-1682
6,-1254,2528,-570
7,-1800,1980,882
9,-2512,2866,1684
10,-2940,4100,2366
11,-1764,3596,3042
13,-2488,2988,3532
14,-2794,2866,4454
15,-2272,3702,4588
17,-2102,3106,3570
18,-1440,2458,3032
20,-1556,3392,2850
21,-852,3074,2790
22,-1562,3130,1440
24,-1284,3636,-514
25,1098,3350,-1624
26,-502,3870,-2260
28,-1084,2706,-3030
29,-146,3406,-3812
31,266,4656,-6140
32,-10,3256,-6088
33,-436,3150,-6196
35,-1072,4134,-5542
36,522,3248,-6396
37,-8,3258,-6672
39,-558,3880,-4708
40,-592,4116,-4234
42,-804,3330,-3158
43,-1000,2848,-2938
44,-796,3884,-1534
46,-638,2522,-1044
47,-976,1778,210
48,-3444,2792,2060
50,-2320,3612,2358
51,-1050,3720,2058
53,-2566,2766,3344
54,-2862,2460,4330
55,-2438,3602,4264
57,-2476,4136,4256
58,-1308,2938,3306
59,-768,3686,2610
61,-1356,3706,2040
62,-880,2930,1128
64,-1138,3916,-424
65,296,3334,-1604
66,638,4272,-2082
68,-1404,3734,-2650
69,-524,3910,-4168
71,240,4494,-5948
72,110,4096,-5952
73,244,3330,-5988
75,-1300,4166,-5476
76,-272,3820,-6176
77,410,3436,-6492
79,14,3214,-6162
80,-604,3962,-3900
82,-932,3994,-3360
83,-1218,3348,-3020
84,-1036,4306,-2040
86,-750,3484,-1614
87,-242,2248,1536
88,-3222,3506,2356
90,-3088,3922,2014
91,-1174,3812,2394
93,-2362,3768,3010
94,-2886,2502,4956
95,-2592,3056,4606
97,-2628,4090,3528
98,-1570,2590,2662
99,-1274,3116,2758
101,-1884,3822,2948
102,-1326,2616,2316
104,-1716,3654,-1730
105,-206,3390,-1658
106,656,3446,-2736
108,-1644,4318,-2518
109,-556,2792,-3384
111,-242,4148,-6600
112,740,3762,-6172
113,426,3004,-6550
115,-1230,3884,-5324
116,-94,3000,-5486
117,368,3496,-6748
119,208,3366,-5942
120,-272,3738,-4716
122,-1272,4278,-2742
123,-1438,2806,-2074
124,-722,3378,-2760
126,-786,2610,-1430
127,-170,1142,-512
128,-3546,2886,2678
130,-2434,3176,3102
131,-562,2816,1988
133,-2178,3526,2956
134,-2476,2498,4114
135,-2952,3108,4562
137,-2894,3638,4360
138,-1362,3110,3260
140,-520,3766,2506
141,-1616,3832,1868
142,-1084,2868,1916
144,-1116,3718,-110
145,-158,3854,-772
146,648,4204,-2578
148,-1204,4234,-2300
149,-652,3120,-3706
151,-256,4332,-5610
152,242,4306,-5790
153,1034,3028,-6264
155,-1554,4474,-5526
156,-362,3762,-5614
157,436,3088,-6422
159,-366,3476,-6122
160,-658,4116,-4394
162,-684,3968,-3494
163,-1612,3384,-3050
164,-1502,3998,-1776
166,-334,2754,-1616
167,44,1768,1366
168,-2632,3324,1956
170,-2916,3452,2762
171,-1570,3978,2744
173,-2024,3030,2548
174,-2614,2854,5048
175,-2320,3084,4284
177,-2700,3624,4606
178,-2004,2610,2894
179,-916,3210,2690
181,-1436,3886,2774
182,-1182,2506,2012
184,-1404,3640,-78
185,-224,3444,-1758
186,22,3896,-2358
188,-1418,4244,-2774
189,-910,3298,-3356
191,-278,4384,-5102
192,-60,3550,-6262
193,382,2956,-6604
195,-1158,4044,-5774
196,58,3336,-5608
197,358,3076,-6130
199,260,4022,-5728
200,-578,4406,-4808
202,-404,3828,-4120
203,-1474,3276,-2790
204,-1608,4154,-2318
206,-86,3866,-1600
207,-1256,2274,170
208,-3532,3238,1966
210,-2610,2976,2858
211,-1192,3754,2086
213,-2642,4126,3070
214,-2816,3078,4668
215,-2660,3454,4716
217,-2644,3668,4380
218,-1630,3204,3448
219,-814,2878,2616
221,-1376,3468,2622
222,-1212,2628,1712
224,-1598,3638,-114
225,466,3216,-1208
226,96,4010,-1832
228,-780,3420,-2656
229,-896,3328,-3124
230,-530,4100,-5220
232,656,3440,-5808
233,272,3116,-6246
235,-632,4158,-5814
236,-50,3820,-5526
237,318,3092,-6356
239,-336,3392,-6052
240,-794,4460,-4228
242,-908,3790,-3552
243,-1418,3058,-3084
244,-1622,4420,-1650
246,-136,2956,-1264
247,78,1470,1474
248,-2520,3186,1514
250,-2300,3288,2700
251,-920,3948,2604
253,-2838,3290,2966
254,-2500,2742,3616
255,-2694,3596,4382
257,-2852,3702,4240
258,-1956,2998,2842
260,-1176,3904,2960
261,-1178,3840,2574
262,-1654,2570,1596
264,-1480,3738,-384
265,-48,3398,-2038
267,-622,4194,-2030
268,-1890,3892,-3212
269,-978,3922,-3206
271,366,4698,-5582
272,162,3000,-6282
274,-418,3456,-6164
275,-928,3674,-5970
