timestamp,accX,accY,accZ
0,-1352,4562,-2466
2,1068,2770,-4534
3,-908,4366,-6076
5,-936,3716,-5560
6,140,4490,-6238
7,-492,4440,-6370
9,-76,3044,-5834
10,-378,3954,-6068
11,58,3860,-5410
13,386,3336,-4366
14,-1130,3480,-3230
16,-862,3024,-3452
17,-494,4198,-1808
18,-1222,2808,-1178
20,-1180,1824,1564
21,-2464,4274,1362
22,-2368,3866,2614
24,-1380,3322,3158
25,-2448,2910,2944
27,-2278,2912,4676
28,-1718,2708,4248
29,-3904,4726,4952
31,-1748,2010,2920
32,-1068,3640,3008
33,-2698,4460,2126
35,-1242,2964,830
36,-1238,4606,572
38,182,2540,-1526
39,-1114,3798,-1538
40,-1418,4264,-2714
42,-588,2852,-4626
43,-310,4110,-5046
44,-644,4534,-5996
46,-112,3764,-5952
47,-408,4256,-6194
49,-612,3134,-5868
50,38,3236,-6350
51,-92,3926,-5372
53,-24,3448,-4214
54,-950,3474,-3440
55,-1100,2880,-2772
57,-424,3526,-2152
58,-1348,4388,-702
60,-1740,1844,156
61,-3024,3342,1214
62,-3164,3882,2962
64,-1712,2960,2792
65,-2536,2974,3188
66,-1860,2850,4570
68,-1584,2506,4668
69,-2786,4348,4466
71,-538,2148,2858
72,-490,2578,2850
73,-1978,3892,2222
75,-1350,2148,1358
76,-1438,3114,-164
77,708,3222,-1018
79,782,2276,-2260
80,-1554,4658,-3166
82,482,2756,-2974
83,668,2896,-5700
84,-808,4196,-5938
86,534,3248,-6208
87,-30,4302,-6338
88,-678,3248,-5820
90,156,2610,-6258
91,-30,4244,-5696
92,164,3634,-4962
94,-106,3182,-3566
95,-950,3120,-3344
97,-650,3778,-2454
98,-692,3812,-1084
99,-1032,1858,-532
101,-2536,2404,1678
102,-2512,4328,2500
103,-1688,3674,2858
105,-2154,3094,2714
106,-2016,2798,4172
108,-1612,2422,4526
109,-2092,4500,5028
110,-1778,3568,3514
112,-246,2138,2892
113,-2540,4282,2640
114,-1700,2736,1748
116,-1418,4180,498
117,-388,3858,-948
119,710,2552,-1916
120,-1444,4542,-2288
121,-602,3576,-2944
123,256,3560,-5292
124,-792,4464,-5866
125,-238,4150,-6214
127,268,4290,-6052
128,-1030,3698,-5882
130,-260,3026,-6016
131,334,3816,-6302
132,120,3806,-5358
134,50,3394,-3538
135,-830,3092,-3082
136,-334,3024,-1920
138,-1324,4210,-1652
139,-1186,3146,-728
141,-1040,3134,1076
142,-3034,4564,2060
143,-2778,3928,2760
145,-2416,3036,2726
146,-2264,3018,2590
147,-1674,2256,4800
149,-2678,3324,4494
150,-4166,4780,3018
152,-656,1954,2576
153,-1716,4416,2858
154,-2944,4422,1450
156,-1086,2830,820
157,-1628,5064,-1508
158,220,1860,-2048
160,-900,3464,-2386
161,-1332,5156,-2536
163,864,2346,-4668
164,-1100,4382,-5046
165,-948,3522,-6160
167,790,3886,-6300
168,-946,4798,-5648
169,-50,2474,-5920
171,192,3354,-6076
172,346,3912,-4956
174,-212,3442,-4422
175,-950,2886,-3306
176,-1082,3952,-2452
178,-728,3982,-1944
179,-1326,2080,-710
180,-2414,2532,478
182,-2552,3508,1686
183,-3198,3638,2976
184,-2464,3140,2882
186,-2114,3126,3918
187,-1344,2526,4826
189,-1846,2030,4768
190,-3818,4414,4344
191,370,2214,2748
193,-72,2902,2766
194,-2032,3346,1200
195,-1180,2566,2278
197,-770,4824,-360
198,212,2978,-1438
200,616,1916,-2304
201,-838,4820,-3184
202,-120,3024,-3410
204,54,2588,-5734
205,-766,4744,-5992
206,706,3474,-6552
208,162,4592,-5904
209,-736,3140,-5736
211,-24,2718,-6332
212,128,4210,-5526
213,82,3628,-4772
215,-432,2958,-3234
216,-584,3008,-2684
218,-1142,3514,-1544
219,-1490,3398,-532
220,-758,1776,-794
222,-3128,4400,1834
223,-2882,3836,3220
224,-1710,3056,2638
226,-2216,3218,2838
227,-1230,2694,3986
229,-1486,2744,4490
230,-4142,4426,4786
231,-1694,3736,2554
233,-736,3318,2514
234,-2992,4758,2264
235,-1814,2284,1152
237,-1380,4466,106
238,-1080,5104,-2342
240,1376,2350,-2820
241,-1694,4940,-2516
242,-784,4164,-3720
244,-256,3322,-5214
245,-1698,5418,-5916
246,122,3178,-6868
248,-754,5146,-5696
249,-1262,4254,-5572
251,168,2858,-5992
252,84,4266,-6036
253,712,3202,-4588
255,-790,3198,-3408
256,-1270,2872,-2336
257,-1188,4534,-1708
259,-1052,3986,-1152
260,-1082,2280,208
262,-3332,3808,1856
263,-2536,3882,3192
264,-2634,3374,2798
266,-2342,3166,2738
267,-1568,3026,4710
268,-1860,1950,4514
270,-3234,3464,4900
271,-4012,2574,2728
273,260,2312,2304
274,-1800,4396,1374
