timestamp,accX,accY,accZ
0,-368,3064,-3172
2,-256,3992,-4888
3,106,4112,-5466
5,392,4066,-5498
6,-1134,4220,-5640
7,-200,3164,-5782
9,-112,3918,-6254
10,-496,4232,-5998
11,-148,3524,-4820
13,-732,3780,-4306
14,-668,3236,-3074
16,-1022,3058,-2868
17,-1536,4398,-1942
18,-1386,2092,-1028
20,-1382,2064,290
21,-3494,3714,1818
22,-2052,3326,2532
24,-1318,3182,2126
25,-2498,2714,3138
26,-2630,3540,4652
28,-2562,4094,3714
29,-1622,2240,3258
31,-1808,3298,3386
32,-1540,3442,2766
33,-1240,3482,2282
35,-1742,3542,-252
36,-316,2972,-6
38,190,3456,-1860
39,-1040,3864,-2044
40,-226,2802,-2828
42,-736,3390,-5382
43,-30,3856,-5100
44,392,3736,-5818
46,-982,4262,-5802
47,-216,2830,-6080
49,-136,3436,-5780
50,-164,4032,-5502
51,-296,3664,-5000
53,-344,3492,-4104
54,-346,2974,-3236
55,-768,3076,-2500
57,-1212,4418,-1338
58,-1002,3562,-886
60,18,1608,1590
61,-2700,4020,2212
62,-2978,3838,2438
64,-1268,3068,2450
65,-2358,3084,3012
66,-2610,3042,3716
68,-2954,3224,4196
69,-1440,2324,3540
71,-1926,2932,3042
72,-1110,3408,2868
73,-1102,3570,2534
75,-2008,3532,-54
76,-674,2928,586
77,464,2956,-1312
79,-774,4262,-1950
80,-316,3028,-2480
82,-312,3784,-4638
83,-82,3976,-5082
84,210,3790,-5712
86,-1126,4250,-5664
87,-698,3344,-5748
89,-54,3722,-6260
90,-60,3960,-6260
91,-476,3588,-4708
93,-554,3320,-4326
94,-166,2854,-3026
96,-1196,3484,-2316
97,-1142,3860,-2304
98,-1410,4270,-1304
100,-804,1824,-118
101,-3472,3506,2266
102,-2824,3812,2804
104,-880,2712,1684
105,-2158,3112,3368
106,-2716,3390,4468
108,-2562,3864,5134
109,-1670,2260,3208
111,-1684,3374,3374
112,-1394,3850,2862
113,-1468,3532,2138
115,-2090,3780,1264
116,-312,3062,98
117,176,3380,-2014
119,-978,4266,-1918
120,-668,3016,-2620
122,-764,3314,-3508
123,-438,3770,-5226
124,540,3816,-6086
126,-712,4420,-5488
127,-1266,2698,-5966
129,-214,3196,-5634
130,192,3932,-5684
131,-204,3958,-5062
133,-392,3358,-4548
134,-614,2832,-3332
135,-844,3274,-2352
137,-1196,3712,-1338
138,-1258,3744,-1016
140,-2,1650,-1062
141,-2566,3742,2190
142,-3288,3966,2576
144,-1466,3232,2122
145,-2348,3634,3262
146,-2106,2756,3608
148,-2558,3884,4804
149,-1944,2984,3476
151,-1064,2064,2994
152,-1570,4358,2756
153,-1298,3274,2534
155,-1318,3068,282
156,-806,3694,412
157,390,2188,-1032
159,-210,4964,-1820
160,-392,3468,-2278
162,-32,2716,-4366
163,-582,4308,-5188
164,312,3558,-5416
166,728,4716,-5464
167,-950,3844,-5804
168,-174,2762,-5862
170,144,4020,-6606
171,-528,4078,-5260
173,-150,3504,-4124
174,-512,3076,-3914
175,-558,3068,-3338
177,-876,3832,-2222
178,-1712,4412,-730
179,-1056,2872,-472
181,-2952,3094,2026
182,-2716,4084,1772
183,-3262,2710,1984
185,-1952,3252,2604
186,-2446,3658,3854
188,-2756,3506,5272
189,-2476,3904,4174
190,-1562,2594,3120
192,-1658,3978,2842
193,-1780,4046,2820
194,-1378,3458,1312
196,-984,4514,-312
197,-134,3128,-1760
199,-1380,4098,-1492
200,-1232,4440,-2256
201,-120,3206,-3478
203,-798,4162,-5114
204,-350,3964,-5972
205,-74,4116,-5540
207,-1224,4736,-5528
208,-800,2620,-5912
209,-78,3482,-6244
211,158,4216,-4926
212,-132,3554,-4368
214,-988,3134,-4014
215,-610,2824,-2754
216,-690,3764,-2418
218,-1202,4316,-1280
219,-1602,2028,-750
220,-1418,2202,752
222,-2756,3378,2106
223,-2276,3258,2666
225,-1550,3118,2232
226,-2348,3000,3452
227,-2386,2850,4504
229,-3140,3758,3656
230,-1094,2124,3508
232,-948,2954,3104
233,-2098,3312,2468
234,-1210,2480,1756
236,-1474,4524,384
237,650,2050,-996
238,-204,3112,-1314
240,-1592,3674,-2456
241,300,2714,-2910
243,-488,3780,-5076
244,-714,3590,-5416
245,748,3388,-5894
247,-704,4582,-5732
248,-512,2928,-5572
249,-40,2834,-6504
251,42,4178,-5632
252,-272,3910,-4720
254,-648,3032,-3860
255,-550,2888,-3362
256,-778,3268,-2096
258,-1626,4430,-754
259,-1362,3080,-1030
261,-546,2838,1586
262,-2508,3836,2146
263,-3156,3994,2328
265,-2066,3368,2642
266,-2002,3520,2990
267,-1722,2906,5344
269,-2596,3414,4064
270,-1602,2328,3542
272,-1250,4064,3028
273,-1486,3926,2564
274,-1322,3376,1394
