timestamp,accX,accY,accZ
0,-1422,2072,4090
2,-2758,4302,3652
3,-1228,3272,2974
4,-90,2964,2538
6,-1984,3196,2416
7,-1856,2826,1990
9,-1354,3996,-198
10,466,3554,-1080
11,124,3584,-1244
13,-1540,3684,-1716
14,-1030,3344,-2224
15,-316,3814,-4754
17,16,3698,-5342
18,-590,3812,-5148
20,-836,3992,-4926
21,-696,3490,-5044
22,-606,3300,-5916
24,268,3584,-5934
25,104,3680,-4922
26,-656,3724,-3024
28,-974,3142,-2794
29,-150,2862,-2302
31,-876,3504,-2428
32,-326,2118,-1142
33,-2354,4372,890
35,-3058,4718,1944
36,-814,3080,1814
37,-2670,3726,1842
39,-2564,3370,3204
40,-1576,2322,3816
42,-3464,4458,3902
43,-1804,3570,3082
44,-436,3508,2648
46,-2042,3808,2496
47,-1942,3082,2086
48,-1176,3722,846
50,-342,4020,-1016
51,540,3400,-1328
52,-1020,3554,-2044
54,-1698,3806,-1622
55,-888,3282,-4338
57,-56,3806,-5256
58,-98,3792,-5258
59,-842,4108,-5254
61,-926,3828,-5108
62,-556,3154,-6002
63,-376,3782,-5710
65,138,3856,-4462
66,-766,3670,-3646
68,-1270,3634,-3040
69,-1006,3098,-3078
70,-854,4326,-1856
72,-354,2792,-424
73,-898,2998,1084
74,-3446,5090,1404
76,-2164,4454,1268
77,-1946,3134,1908
79,-3188,3942,2530
80,-1742,1994,4652
81,-2784,4058,4118
83,-3346,4432,2568
84,42,2704,2438
85,-1920,4384,2772
87,-2098,2506,2248
88,-912,3364,1520
90,-1096,4356,-938
91,-30,3118,-1376
92,-738,3930,-1200
94,-1558,3126,-2294
95,-496,3368,-3582
96,-34,3730,-4902
98,174,3736,-5392
99,-1172,4540,-4988
101,-1220,4028,-5252
102,-330,3030,-5736
103,-286,3598,-6042
105,-44,3880,-4664
106,-686,3788,-3920
107,-874,3238,-2866
109,-382,3092,-2858
110,-596,3706,-2338
111,-714,1926,-1026
113,-2304,2490,352
114,-3054,4436,1852
116,-950,3188,1540
117,-1208,2494,1552
118,-2892,3656,3350
120,-1478,2186,3920
121,-1666,2748,3714
123,-1724,3544,2960
124,-120,2266,2534
125,-732,3436,1742
127,-1518,2824,2392
128,-1160,2652,1970
129,-1148,4316,-510
131,432,3156,-1116
132,44,3024,-1814
133,-1370,3986,-1852
135,-196,2880,-3016
136,-26,4010,-5416
138,-226,3722,-5254
139,-402,3872,-5080
140,-972,3924,-5284
142,-352,2932,-5704
143,-222,3918,-5792
145,-222,3932,-5242
146,-392,3712,-4424
147,-580,3418,-3306
149,-630,2910,-2916
150,-606,3374,-1674
151,-244,2360,-1844
153,-1076,1750,-556
154,-2708,4986,1500
155,-1896,4026,2288
157,-928,2614,1832
158,-2954,3796,2762
160,-1792,2742,3736
161,-1412,2060,3656
162,-3414,4622,3756
164,-966,3406,2892
165,140,3586,2574
166,-2730,3906,2136
168,-1462,2378,1820
169,-972,4604,558
171,-12,3706,-1340
172,94,3600,-1620
173,-1614,4444,-1554
175,-694,3328,-3906
176,-312,3724,-4578
177,-306,3976,-5368
179,-154,4036,-5242
180,-1170,4112,-5270
181,-934,3456,-5818
183,-232,3656,-5848
184,-46,3972,-5898
186,-160,3720,-3974
187,-882,3436,-3238
188,-778,3256,-3124
190,-282,3898,-2298
191,-794,3706,-1626
193,-476,1750,356
194,-2998,4478,1012
195,-2638,4556,1764
197,-1354,2740,1566
198,-3016,3570,2292
199,-2152,3272,4098
201,-1740,2540,4006
202,-3252,3860,3302
204,-2490,3074,2446
205,-232,2742,2562
206,-2110,3818,2250
208,-2246,2406,2270
209,-512,3632,1190
210,-1022,5246,-1614
212,216,2344,-1924
213,-1256,4218,-1922
215,-1288,2824,-2936
216,18,2970,-4388
217,-786,4302,-5436
219,42,3670,-5572
220,-1016,4330,-5162
221,-1206,3104,-5456
223,-276,3242,-5818
224,-262,4140,-5438
226,148,3010,-5066
227,-900,3484,-3480
228,-1308,3092,-2832
230,-318,2770,-2774
231,-908,4138,-1296
232,-950,1566,-814
234,-2514,2934,880
235,-3292,5018,2138
237,-1006,2672,2034
238,-1872,2864,1682
239,-2902,2842,3522
241,-1206,2212,4288
242,-2482,3010,3582
243,-1588,3716,3372
245,376,2538,2366
246,-1100,3974,2454
248,-2152,2748,2152
249,-552,2412,662
250,-280,4192,-1008
252,334,2282,-1958
253,-42,4560,-1568
254,-1010,3824,-2218
256,-182,2474,-4658
257,-678,4342,-5362
259,94,3878,-5556
260,-616,4046,-5666
261,-1162,3454,-5260
263,-532,3126,-5670
264,-192,3984,-5758
265,174,3524,-5614
267,-262,3344,-3384
268,-1298,3546,-2600
270,-788,3222,-2986
271,-402,3100,-2058
272,-632,2280,-1484
274,-2448,3176,1054
