timestamp,accX,accY,accZ
0,-744,2706,-1230
2,-2410,4324,456
3,-2474,3898,908
4,-1840,2942,1598
6,-1998,3390,1982
7,-1996,2318,3468
9,-2886,4458,4758
10,-1574,2736,3456
11,-402,2076,3846
13,-2342,3798,3952
14,-1930,2698,4154
15,-1284,4048,2892
17,-1410,3428,1832
18,-370,2830,288
20,-582,3946,-496
21,-740,3580,-490
22,-838,3364,-2072
24,-586,3490,-3658
25,-44,3694,-4588
26,96,3942,-5318
28,-1018,3794,-5430
29,-1088,3456,-6150
30,-234,4590,-6356
32,200,4304,-6490
33,774,3002,-5686
35,-634,3742,-4714
36,-470,3660,-4084
37,-102,3146,-3662
39,-558,3368,-2998
40,-922,3182,-1368
41,-1856,4082,-372
43,-2192,3622,752
44,-2460,3268,1344
46,-2276,3812,1888
47,-1442,2818,3514
48,-3726,3896,4044
50,-2826,3686,3894
51,-976,2896,3848
53,-2302,3738,3300
54,-2282,3282,4190
55,-1490,3524,3090
57,-1972,3962,2382
58,-1016,2890,820
59,-748,4066,288
61,-624,3962,-1152
62,-376,3220,-1902
63,-486,3568,-2776
65,-494,3674,-4778
66,50,3846,-5366
68,-422,3970,-5612
69,-924,3530,-5866
70,-934,4252,-6450
72,-80,4596,-6594
73,308,2892,-6126
75,-734,3388,-4546
76,-710,3212,-4342
77,304,3130,-4070
79,-630,3398,-2950
80,-866,2974,-2118
81,-1204,3278,228
83,-2208,3596,680
84,-2368,3094,1290
86,-2364,3574,1924
87,-1508,2268,3004
88,-2454,2722,3918
90,-4042,2832,3838
91,-498,1862,4392
92,-1860,3800,3712
94,-1710,2706,3898
95,-1220,2926,3836
96,-2250,3514,2082
98,-428,2804,504
99,-392,3590,-548
101,-764,3638,-652
102,-768,3366,-1138
103,-348,3500,-3260
105,-216,3692,-4626
106,-210,4072,-5512
108,-104,3886,-5406
109,-876,3322,-5672
110,-878,3500,-6166
112,180,4496,-6394
113,852,3250,-6414
114,222,3306,-4926
116,-582,3458,-4060
117,142,3152,-3702
118,-590,3522,-3230
120,-766,3374,-2784
121,-924,4000,-634
123,-2198,3844,530
124,-2218,2694,1296
125,-2732,4078,2042
127,-1536,3046,2306
128,-1786,3974,3860
130,-3136,3802,4368
131,-934,1990,4366
132,-1250,4028,3766
134,-2188,3402,3446
135,-1322,3670,3222
136,-1952,4266,2702
138,-1202,3120,1400
139,-520,4216,-86
141,-694,4236,-234
142,0,3040,-1676
143,-874,3620,-2846
145,-360,3634,-3796
146,-34,4010,-5618
147,-650,4338,-5512
149,-532,3524,-5972
150,-952,4440,-6112
152,-402,4782,-6524
153,448,2840,-6344
154,-504,3348,-5546
156,-516,3400,-4116
157,268,3210,-4018
158,-884,3880,-3838
160,-940,3590,-2778
161,-1316,3448,-1416
163,-2288,3948,184
164,-2344,2964,1604
165,-2704,3730,1522
167,-2160,3976,2808
168,-2200,3022,3884
169,-3698,4184,4680
171,-2016,2022,4608
172,-1728,3422,3974
173,-2082,4058,3908
175,-1782,2766,3370
176,-1962,3576,3152
178,-1802,3426,1032
179,-380,3032,772
180,-582,3618,-530
182,-360,3226,-1274
183,-342,3030,-1994
185,-892,3710,-4356
186,-176,3658,-4686
187,50,3912,-5500
189,-558,3314,-6080
190,-674,3132,-5944
191,-1134,4804,-6348
193,724,3356,-6148
194,832,2472,-5242
196,-586,3530,-4324
197,194,3014,-3546
198,-104,3328,-3232
200,-1000,3442,-2342
201,-862,3140,-1840
202,-1520,4148,450
204,-2194,2782,544
205,-2660,3000,2032
207,-1810,3436,2328
208,-1626,2550,3156
209,-2780,3710,4254
211,-1632,2498,4268
212,-1388,2584,3822
213,-2152,3658,3576
215,-1554,3148,3862
216,-1398,3844,2704
218,-1524,3618,652
219,-526,2730,286
220,-1234,4524,-356
222,-442,3460,-1174
223,8,3504,-2928
225,-668,4166,-3340
226,-146,3522,-5110
227,-204,4294,-5912
229,-632,4174,-5788
230,128,3052,-6102
231,-1188,4768,-6258
233,194,4052,-6690
234,734,3186,-5772
235,-768,3298,-5024
237,50,2806,-3624
238,-560,3898,-3400
240,-1080,4088,-2918
241,-820,3232,-1864
242,-1952,3656,-32
244,-2378,3356,1590
245,-2732,3456,1700
246,-2308,3626,1884
248,-2006,2972,3554
249,-2994,3794,4136
251,-2420,3016,4484
252,-1808,2874,4114
253,-1976,3662,3834
255,-1824,3028,3290
256,-1954,3384,3028
258,-1808,4026,1520
259,-34,2742,766
260,-600,3478,-72
262,-1046,3288,-1120
263,2,2796,-2192
264,-550,3556,-3796
266,-910,3404,-4662
267,-160,3802,-5398
269,-804,3652,-5920
270,-116,2926,-6130
271,-1256,4258,-6614
273,-516,3982,-5822
274,838,3194,-5904
