timestamp,accX,accY,accZ
0,-1380,3116,4480
2,-1962,3320,4102
3,-1556,2972,3406
4,-978,3036,2728
6,-1662,3894,1168
7,-1136,2876,974
9,-572,2956,-194
10,-332,3830,-852
11,-398,2294,-2404
13,-1014,4198,-3542
14,556,3734,-4236
15,464,3282,-6138
17,-1266,3772,-5636
18,158,3278,-6016
20,-700,4558,-7320
21,-72,3344,-6640
22,318,3188,-5290
24,126,3428,-5296
25,536,2796,-4876
27,-142,3690,-3692
28,-778,3332,-2994
29,-402,3272,-1842
31,-2290,3712,62
32,-2382,3142,746
33,-1766,2560,1646
35,-2228,3792,1680
36,-2176,2906,3142
37,-2716,3620,3958
39,-2196,2950,3882
40,-1510,2754,4260
42,-2220,3268,3994
43,-2614,3712,4232
44,-1094,2974,3070
46,-2040,3868,2270
47,-1242,3802,1368
48,-954,3274,-592
50,-968,4262,-254
51,-676,3576,-2088
52,-684,3430,-3086
54,-194,4218,-4288
55,222,3390,-5658
57,-1140,3994,-5524
58,-790,3742,-5754
59,-552,4284,-6538
61,46,3920,-6882
62,-162,3536,-5488
63,18,3480,-5460
65,178,2978,-5068
66,-16,3794,-3422
67,-682,3546,-2938
69,-318,2878,-1916
70,-816,3904,-1402
72,-2158,4024,542
73,-1750,2658,812
74,-2964,4088,1770
76,-2322,3418,2710
77,-2266,3572,4180
78,-3092,3608,3264
80,-1320,2714,4678
81,-1392,3280,4160
82,-2780,3390,4456
84,-1648,3086,2796
85,-1032,3902,2354
87,-1762,4106,2046
88,-986,3132,590
89,-1350,4774,464
91,-262,3474,-1924
92,-522,3762,-3168
93,-474,4206,-3400
95,426,3242,-4986
96,-1098,4046,-5584
97,-792,3450,-6002
99,-108,5072,-6138
100,182,4190,-7576
102,232,3570,-5522
103,-880,4140,-5294
104,-12,3058,-5290
106,882,3630,-4152
107,-730,4062,-3954
108,-874,3310,-2428
110,-1418,3310,-1854
111,-2274,4258,72
113,-2042,2524,872
114,-2020,2994,1236
115,-2834,3982,3366
117,-2566,2936,4436
118,-3226,3724,4258
119,-2610,2458,4274
121,-1360,2920,4674
122,-2212,3742,3832
124,-3066,2618,3216
125,-1012,2928,3204
126,-1878,4218,744
128,-728,2928,566
129,-486,3650,-158
130,-1126,3534,-1132
132,-494,2658,-1960
133,-548,3430,-3760
134,-142,3756,-4544
136,-310,3664,-5160
137,-976,3580,-5966
139,-674,4394,-5680
140,-18,4836,-6618
141,510,3068,-6422
143,-762,3988,-5328
144,-146,3856,-4816
145,522,2840,-4582
147,-538,3758,-3850
148,-532,3624,-2380
149,-774,3032,-1826
151,-2410,3800,-1192
152,-2294,3106,780
154,-1626,2664,720
155,-2740,3864,2584
156,-2042,2222,3570
158,-3102,3302,4488
159,-3270,2714,3508
160,-892,2446,4378
162,-2222,3464,4386
163,-3040,2812,3916
165,-1146,2910,3026
166,-1284,3942,1740
167,-902,2874,1102
169,-648,3016,732
170,-1356,3644,-620
171,0,2378,-1772
173,-226,3504,-3652
174,530,3632,-4336
175,138,3258,-4610
177,-1086,3534,-5556
178,-296,3422,-5910
180,-268,5016,-6368
181,-220,2842,-7278
182,-386,2990,-5550
184,-1014,4280,-4840
185,896,2590,-5260
186,344,2982,-4662
188,-630,3694,-2772
189,-644,2580,-2200
191,-1342,2910,-210
192,-2392,4132,602
193,-1718,3156,768
195,-1768,2982,1724
196,-2420,2838,3172
197,-2512,2440,4402
199,-3620,3540,3412
200,-650,2460,3630
201,-1176,2926,3932
203,-3130,3524,4664
204,-1296,2716,3932
206,-1064,3986,2110
207,-1198,4256,758
208,-210,2798,-236
210,-1324,4422,436
211,-1262,3474,-638
213,-392,3432,-3606
214,42,4374,-4784
215,578,4000,-5164
217,-112,3600,-5356
218,-1336,3346,-5624
219,-532,3764,-6620
221,318,4312,-7214
222,642,2828,-7110
223,-698,4124,-4832
225,-238,3308,-4248
226,680,2392,-4260
228,-244,3684,-3516
229,-474,3470,-2338
230,-844,3278,-1228
232,-2362,3892,246
233,-2190,3606,592
234,-2168,3742,1522
236,-2416,3370,2302
237,-2156,3386,5026
239,-3114,4008,3858
240,-1296,2674,3618
241,-576,3612,4230
243,-2702,3806,4262
244,-2122,2732,3544
245,-1894,3902,1844
247,-1118,3724,1610
248,-494,3362,468
250,-1212,4420,88
251,-860,3434,-1666
252,-668,3536,-2766
254,-542,4294,-3934
255,554,3502,-5168
256,-772,4094,-5640
258,-1094,3442,-5842
259,-880,4716,-5962
261,-108,5234,-7262
262,1194,2610,-6254
263,-940,3924,-5318
265,-924,3930,-4600
266,514,2858,-4358
267,-224,3732,-4272
269,-916,3854,-2070
270,-1272,3148,-1562
272,-2266,3550,-106
273,-2466,3000,1004
