timestamp,accX,accY,accZ
0,-374,3382,-6246
2,-516,4204,-5208
3,492,3672,-4314
5,-1092,3308,-3626
6,-1600,3098,-2498
7,-1060,4352,-1812
9,-726,3588,-1210
10,-942,2682,1330
11,-2708,3746,1580
13,-2274,3822,2532
14,-2226,3064,2476
16,-2952,2922,3462
17,-2284,2704,4494
18,-1944,3808,4364
20,-2698,3344,4560
21,-2268,2970,3200
22,-794,3684,2846
24,-862,3756,2582
25,-1786,3022,554
26,-1360,3804,870
28,738,3232,-1264
29,-1094,4430,-1544
31,-1628,3516,-2288
32,-826,3652,-4096
33,482,4090,-5524
35,-528,4288,-6030
36,-936,4016,-5756
37,-180,3782,-5762
39,652,3158,-5876
40,-762,3858,-6044
42,-426,4192,-5324
43,524,3236,-4810
44,-688,3132,-3940
46,-1586,3414,-2516
47,-418,3984,-2320
48,-848,4660,-1648
50,-1098,1632,-276
51,-2972,2574,1820
53,-2446,3776,3088
54,-1338,3236,2262
55,-2026,2664,2714
57,-2534,3158,3918
58,-1906,3120,5086
59,-2636,3674,4342
61,-1502,2556,2894
62,-654,2992,2678
64,-1066,3386,2580
65,-1796,2614,1784
66,-1666,3770,-156
68,1258,2820,-1390
69,-42,3656,-1772
70,-1486,3658,-2662
72,-186,3006,-3320
73,-84,3632,-5684
75,-474,3798,-6150
76,-286,4208,-5988
77,-438,4490,-5798
79,-156,2752,-5956
80,-164,2530,-6170
81,-532,4614,-5554
83,452,3932,-5096
84,-196,3320,-3660
86,-1374,3116,-2686
87,-530,2962,-2294
88,-1036,4290,-1262
90,-794,1916,-1044
91,-1900,2200,1750
92,-2900,4096,2522
94,-2008,3606,3132
95,-1780,2976,3172
97,-2240,3164,3420
98,-2186,3218,4798
99,-3254,3800,4680
101,-2564,3230,2602
102,-590,3490,2782
104,-1584,4554,2588
105,-1544,2440,856
106,-1360,4154,362
108,238,3798,-1552
109,1126,4140,-1990
110,-2278,4498,-2108
112,-252,2970,-3328
113,-16,4182,-5386
115,-690,3996,-6128
116,-638,4306,-5750
117,-354,4864,-5708
119,90,3384,-5866
120,-198,2974,-6416
122,-778,4508,-5556
123,290,3420,-4662
124,-712,3470,-3920
126,-1412,3152,-2520
127,-424,3568,-2390
128,-1036,4668,-1340
130,-1764,1710,-366
131,-2544,2194,1256
133,-1958,3320,2816
134,-1706,3932,2940
135,-2266,2656,2982
137,-2280,3272,3488
138,-1726,3464,4886
139,-2300,3302,4274
141,-3112,2794,3328
142,-320,2160,2214
144,-892,4008,2362
145,-1442,2916,1478
146,-1424,3044,918
148,-456,3272,-586
149,338,3246,-1650
150,-1412,4080,-3034
152,148,3222,-3918
153,256,3944,-3968
155,-56,3506,-5962
156,-664,3702,-5998
157,-318,4376,-5716
159,86,3116,-6292
160,-246,2542,-6320
161,-598,3648,-5428
163,202,4230,-4694
164,-26,3170,-4302
165,-844,3352,-2784
167,-602,3380,-2528
168,-494,4262,-938
170,-1656,2632,-710
171,-1402,1312,1458
172,-2998,4688,2374
174,-3018,4858,3238
175,-1546,2676,3378
177,-2594,3118,3018
178,-2110,3098,4908
179,-2140,3678,4954
181,-2824,3394,3578
182,-978,2360,2714
183,-978,4014,2640
185,-1678,3246,2466
186,-1932,3736,-312
188,96,4072,-440
189,1220,3334,-2302
190,-1886,4386,-2236
192,-780,3534,-3402
193,198,3860,-5078
195,-484,3800,-5852
196,-590,4146,-6136
197,-296,4960,-5696
199,110,3450,-6048
200,-916,3190,-5862
202,-686,4458,-5868
203,442,4482,-4802
204,-614,3000,-4284
206,-1856,3382,-2866
207,-1540,3256,-2436
208,-794,4624,-1274
210,-1758,3740,-580
211,-2256,1486,1392
213,-2150,3558,1906
214,-3766,3354,2870
215,-2320,2522,2876
217,-2474,3056,3472
218,-1690,2852,4960
219,-2438,3254,4992
221,-3814,2686,3210
222,120,2044,2224
224,-664,4108,1852
225,-1540,2896,1670
226,-1572,3110,1496
228,-418,3528,-530
229,590,2822,-1892
230,-1118,3820,-2826
232,-64,3522,-3704
233,152,3486,-3900
235,-108,3606,-6060
236,-182,3654,-6212
238,-156,4432,-5806
239,-12,2752,-6426
240,-328,2536,-6166
242,-798,4664,-5548
243,218,4018,-4812
244,-36,2920,-3810
246,-1636,3564,-2894
247,-258,3312,-2710
248,-452,3760,-1020
250,-1104,1960,-970
251,-1752,1554,1664
253,-3292,5164,2784
254,-2256,3994,2816
255,-1796,2942,2932
257,-2420,3228,3414
258,-2166,3036,4526
260,-3506,3994,4844
261,-2778,3876,3742
262,-246,2316,2920
264,-1700,3850,2662
265,-2074,3152,2418
266,-1682,3900,-598
268,-190,4658,-432
269,1236,2626,-2206
271,-2214,4986,-1784
272,-948,3852,-2976
273,110,3456,-5250
275,-802,4408,-5918
