timestamp,accX,accY,accZ
0,-1534,2686,2432
2,-874,4738,432
3,-666,4024,-360
4,298,2398,-1026
6,-1560,4380,-1974
7,-488,3238,-2662
9,532,4258,-4222
10,-612,4026,-4840
11,-350,3006,-5430
13,-532,4474,-5630
14,-286,3836,-5694
15,-330,3110,-5854
17,-268,4068,-5774
18,-96,4138,-5174
20,28,3292,-4086
21,-968,3404,-3582
22,-916,3666,-2746
24,-184,2324,-2208
25,-1832,3404,-774
26,-2478,3408,898
28,-1454,3182,1222
29,-1902,3576,2166
31,-2646,2842,3050
32,-2732,3816,3526
33,-2374,2146,3382
35,-2874,3738,4316
36,-2924,4698,3302
37,-1156,2158,2990
39,-2278,4246,3184
40,-2264,3508,2124
42,-1550,3622,900
43,-344,4746,-1248
44,-138,2772,-1354
46,-2012,4118,-818
47,-1558,3884,-3058
48,290,3596,-3824
50,-202,4610,-5022
51,-628,3736,-5678
52,-558,3794,-5188
54,-682,4326,-5420
55,-664,3206,-5990
57,-510,3826,-6180
58,-78,4182,-4946
59,-456,3530,-4050
61,-1200,3358,-3574
62,-952,3484,-2586
63,494,2314,-2914
65,-622,2398,-2174
66,-2360,4280,700
67,-1740,3376,916
69,-1502,3224,1328
70,-2072,2736,2212
72,-2798,3394,3308
73,-2680,2628,3446
74,-1798,2774,3344
76,-3024,4380,4206
77,-1904,1968,3046
78,-1272,3070,3052
80,-2428,4236,2040
81,-1056,2620,2094
83,-818,4294,312
84,-940,2644,-856
85,-916,3470,-1074
87,-1408,4388,-2562
88,382,2976,-3504
89,-344,4160,-4428
91,-528,3236,-5398
92,-216,3322,-5416
93,-874,4146,-5548
95,-592,3440,-5948
96,-210,3628,-6104
97,-254,3910,-5294
99,-330,3570,-4510
100,-880,3448,-3960
102,-802,3994,-3216
103,30,2930,-2698
104,4,2094,-2706
106,-1736,3780,40
107,-2136,3910,1184
108,-1532,3598,1008
110,-2084,3054,2016
111,-2062,2584,2362
113,-2830,3298,3916
114,-1698,2390,3790
115,-2746,3882,3382
117,-952,2714,3230
118,-950,2784,3376
119,-2362,3042,2928
121,-1168,2536,2170
122,-792,4286,-542
124,24,3002,-840
125,-834,3534,-584
126,-1978,3964,-2070
128,-84,2926,-3044
129,6,3910,-4850
130,-164,3672,-5390
132,-264,3326,-5256
133,-1094,3692,-5558
135,-922,3736,-5378
136,136,3780,-6448
137,166,3726,-6170
139,-546,3660,-4628
140,-910,3508,-3282
141,-354,3390,-3484
143,154,3614,-3396
144,286,2328,-1894
146,-2066,3094,-298
147,-2518,4066,1088
148,-1460,3662,1362
150,-2076,3418,1298
151,-1670,2864,3114
152,-2622,3512,3940
154,-2408,3186,3942
155,-2484,3760,3668
157,-1356,3250,2678
158,-986,2922,3472
159,-2402,3520,3146
161,-2222,2900,2908
162,-1236,3638,96
163,-184,3656,-1030
165,-370,3898,-672
166,-786,3012,-2100
168,-988,3352,-2130
169,-298,3978,-4744
170,-18,3928,-5146
172,-16,3774,-4836
173,-462,3390,-5522
174,-784,3594,-5422
176,-570,3952,-6394
177,444,3776,-6066
178,96,3636,-5772
180,-822,3370,-3740
181,-812,3348,-3178
183,-740,3654,-3252
184,52,2862,-2658
185,-1216,2726,-1250
187,-2082,3878,1224
188,-2114,3424,1480
190,-1886,3524,1518
191,-1890,2616,2178
192,-2496,3320,3676
194,-2814,2792,4304
195,-2662,3508,4496
196,-2098,3698,2862
198,-766,2984,2744
199,-1998,3930,3316
201,-2288,3064,1924
202,-1128,3410,916
203,200,3466,-536
205,-826,3922,-426
206,-1152,3606,-1258
207,-1120,3106,-3272
209,-252,4092,-3696
210,-240,4334,-5680
212,-268,3386,-5420
213,-900,3896,-5160
214,-876,3584,-5602
216,10,3282,-6180
217,158,3588,-5824
218,336,3700,-4858
220,-972,3528,-3948
221,-998,3356,-3172
223,-132,3506,-2922
224,-326,3112,-3082
225,-868,3582,-132
227,-2048,3344,270
228,-2466,3558,1470
229,-1696,3556,1338
231,-1530,2540,2260
232,-1948,3766,3860
234,-2226,3124,3764
235,-1920,3170,4212
236,-1564,3102,2580
238,-864,2348,3114
239,-1518,4140,3402
240,-1956,3024,2836
242,-1244,2916,304
243,300,3230,-622
245,-8,3786,-688
246,-1136,3066,-1966
247,-822,2884,-2230
249,-224,3656,-4534
250,-154,3962,-5202
252,-218,3442,-6128
253,-928,3962,-5388
254,-604,3802,-5342
256,-280,3424,-6562
257,238,3668,-6060
258,246,3492,-5564
260,-384,3314,-4106
261,-1108,3344,-3276
263,-766,3632,-3004
264,-312,3274,-2770
265,-1356,3194,-1356
267,-2266,3242,874
268,-2392,3642,1498
269,-1994,3782,1324
271,-1328,2528,2272
272,-2486,3194,3442
274,-2724,2966,4194
