timestamp,accX,accY,accZ
0,-2260,2512,5288
2,-2672,3598,4512
3,-814,2996,3114
4,-496,3748,1702
6,-1426,3304,1202
7,-1606,2976,714
9,-1404,3852,-142
10,-170,2998,-1910
11,134,4282,-3616
13,-32,4090,-3952
14,-248,2988,-4434
15,-882,4486,-4854
17,412,3890,-6570
18,1632,3296,-6906
20,-1090,4212,-6242
21,-1236,3420,-5068
22,-372,3684,-5470
24,330,3766,-5950
25,98,3686,-3974
27,-1244,3598,-3142
28,-1318,3354,-1436
29,-1166,3690,-1220
31,-1260,3778,-710
32,-800,1966,1070
34,-2730,3008,2342
35,-3520,4126,3580
36,-3076,3532,2992
38,-1786,3612,2776
39,-1434,2894,4442
40,-2898,2794,5200
42,-3334,3834,5272
43,-2056,2992,2528
45,-746,3672,2028
46,-1194,3512,938
47,-1434,3374,1470
49,-1150,3598,378
50,-746,3464,-2144
51,60,3400,-3392
53,-180,4116,-3582
54,-616,3122,-3642
55,-1398,3602,-4480
57,-900,4086,-6862
58,1262,3446,-6780
60,-146,4178,-6438
61,-1446,3040,-5210
62,-6,3124,-5374
64,266,3734,-5610
65,-284,3618,-4384
67,-766,3766,-3620
68,-1162,3036,-1600
69,-1432,3280,-1716
71,-1736,4572,-688
72,-256,1494,-194
73,-2306,2710,1652
75,-3348,3840,3810
76,-1684,3220,3302
77,-2450,4084,2882
79,-1458,2166,3220
80,-2110,2610,4862
82,-3514,3448,4650
83,-1220,2972,3242
84,-436,3340,1922
86,-958,3484,1076
87,-1516,2976,1044
89,-1556,3520,-122
90,-366,3152,-1552
91,234,3356,-2868
93,-214,4114,-3946
94,-216,3130,-3582
96,-984,4494,-4782
97,492,3402,-6522
98,1550,2930,-6728
100,-954,4684,-6148
101,-968,3400,-5282
102,-242,3796,-5520
104,82,3642,-5880
105,224,3328,-5076
107,-318,4034,-2976
108,-1396,3210,-2272
109,-942,3196,-1140
111,-1276,3786,-666
112,-548,1984,-350
113,-1258,3324,2422
115,-3378,4028,3372
116,-3002,3712,3204
117,-1772,3620,2728
119,-1670,3046,3276
120,-1960,2422,4842
122,-3316,3760,5124
123,-2484,3904,2308
124,-640,3330,1920
126,-1398,4118,1540
127,-1648,3032,986
129,-1660,3920,992
130,-644,3614,-2044
131,178,3734,-2980
133,-188,4302,-3600
134,-482,3664,-4016
135,-1458,4144,-4076
137,-620,4462,-5702
138,1230,3238,-6572
140,-522,4430,-6272
141,-1318,4192,-5196
142,-116,3050,-5346
144,-212,4156,-5798
145,72,3278,-4422
147,-980,3952,-3620
148,-1624,3992,-1738
149,-964,3178,-1638
151,-1544,4586,-724
152,-552,1330,-268
154,-2220,2384,1772
155,-3260,4092,3880
156,-2018,3424,3158
158,-2058,3832,3104
159,-1806,2670,3562
160,-2116,2486,4832
162,-3050,2926,4542
163,-1570,3448,3206
165,-214,3130,2028
166,-700,3432,846
167,-1550,3318,1826
169,-1356,3422,164
170,-706,3378,-1708
171,300,3234,-3246
173,276,4432,-3698
174,-792,3286,-3646
175,-1152,3030,-5202
177,268,4064,-6210
178,1600,3006,-7082
180,78,3674,-6226
181,-888,3504,-5420
182,160,2752,-5182
184,-336,4108,-5720
185,20,3280,-5310
186,82,3578,-3104
188,-1726,3502,-2396
189,-1476,3238,-1342
191,-1272,3862,-844
192,-496,2564,-42
193,-726,1770,2608
195,-3120,3776,3352
196,-3352,4096,3732
197,-1188,3752,2730
199,-1834,3198,3366
200,-2310,2216,4838
202,-2868,3636,5096
203,-2478,4100,4112
204,-654,3014,1834
206,-1252,3802,1338
207,-1624,3322,948
208,-2122,4030,1276
210,-842,3612,-1270
211,-192,3610,-3216
213,-94,4240,-3494
214,-936,3898,-3204
215,-640,3600,-4176
217,-558,4706,-5776
218,1302,3710,-6650
219,-630,3966,-6200
221,-1586,4414,-5182
222,-446,2762,-5560
224,0,4004,-5750
225,-130,4050,-4292
226,-518,3730,-3396
228,-1138,3938,-2452
229,-1416,2970,-1518
231,-1374,4148,-1028
232,-760,3726,-410
233,-1788,2120,1504
235,-3790,3608,3046
236,-4110,3392,3236
237,-1700,3598,2246
239,-1640,3816,3482
240,-2326,2264,4478
242,-2996,2626,5264
243,-3068,3510,3498
244,-188,2718,1956
246,-892,3552,1412
247,-1612,3204,960
248,-1402,3262,1860
250,-1314,3698,-1400
251,332,3228,-2864
253,730,3624,-3764
254,-20,3558,-3522
255,-942,2780,-3518
257,-1258,4020,-6080
258,1904,3276,-7116
260,936,3362,-5990
261,-1386,3978,-5416
262,148,2270,-5294
264,114,3222,-5760
265,-450,3780,-5252
266,10,3138,-4388
268,-976,3760,-2700
269,-1452,3362,-1340
270,-1508,3320,-924
272,-862,2482,-524
273,-392,1648,326
275,-2864,4036,3248
