timestamp,accX,accY,accZ
0,338,3268,-5312
2,408,3644,-4410
3,-814,3318,-3888
5,-750,3260,-2626
6,-1182,3402,-820
7,-1718,3260,120
9,-1276,2176,104
10,-1872,3562,1708
11,-2264,3936,2640
13,-2730,3816,3434
14,-2360,2680,3768
16,-1848,2740,3754
17,-1300,2880,4440
18,-2660,3792,4454
20,-2394,3270,3048
21,-860,3392,2830
22,-1458,3698,1772
24,-1308,2972,352
25,-1060,4148,42
26,-300,3282,-972
28,-432,3686,-2176
29,-606,3882,-3518
31,-114,3488,-4926
32,-306,3462,-5032
33,-608,3556,-5684
35,-1044,4280,-6438
36,702,3314,-6504
37,64,3326,-5698
39,-750,3568,-5694
40,290,3488,-5202
42,226,3884,-4208
43,-824,3228,-3640
44,-212,2816,-3238
46,-992,4348,-1210
47,-1746,3508,-294
48,-1206,2256,370
50,-2188,3698,1270
51,-2076,3660,2222
53,-3038,3424,3336
54,-2940,3178,3328
55,-1408,3146,4400
57,-1760,2464,3680
58,-3228,3340,4396
59,-2706,3926,3456
61,-912,3098,2910
62,-2086,4168,1008
64,-1110,2726,1146
65,-1060,4358,1200
66,-1412,4574,-1796
68,-328,2806,-2404
69,-556,4782,-3050
70,68,3218,-4196
72,-620,3312,-5122
73,-640,3376,-5248
74,92,4632,-5970
76,382,4036,-6884
77,184,3424,-5800
79,-474,3734,-5420
80,-68,3520,-5304
81,-2,3624,-4946
83,-636,3846,-4540
84,-248,3544,-2860
85,-1360,3600,-1972
87,-2058,3722,-804
88,-1434,2564,50
90,-1406,2546,346
91,-2410,3362,3028
92,-2318,3916,3912
94,-2744,3822,3672
95,-2256,2930,3550
96,-1904,2892,4346
98,-2266,3096,4330
99,-2814,3482,4154
101,-1132,2832,3246
102,-1126,3174,1554
103,-816,3334,434
105,-902,3766,866
106,-784,3564,-422
107,-812,3076,-1770
109,-274,3106,-3550
110,-204,4160,-3906
111,-570,3860,-4390
113,-520,2850,-5576
114,-578,4768,-5836
116,606,3966,-6474
117,602,3928,-5880
118,-916,3970,-5888
120,4,3196,-5440
121,-276,3836,-4960
122,-752,3994,-4196
124,-570,3078,-3202
125,-762,3768,-2176
127,-1466,4046,-526
128,-954,2794,-508
129,-1304,2734,158
131,-1430,3290,2556
132,-3352,3974,3632
133,-3342,3802,2998
135,-2144,3084,3128
136,-2036,3268,4118
138,-1806,3188,4744
139,-2680,3832,4344
140,-1450,3004,3632
142,-850,3570,1952
143,-1394,3382,1150
144,-1174,3742,184
146,-1282,4248,134
147,-722,3322,-1492
149,-122,3896,-3204
150,-396,4186,-3510
151,48,3826,-4238
153,-84,2838,-5704
154,-586,4006,-5382
156,-50,3980,-6776
157,190,3408,-6312
158,-526,3700,-5402
160,332,3076,-5696
161,560,3246,-5308
162,-310,4028,-3934
164,-632,3078,-3712
165,-562,3228,-1908
167,-1760,3778,-1254
168,-1738,3274,-110
169,-1512,2284,180
171,-2066,3148,1622
172,-2656,4332,3900
174,-2568,3288,3250
175,-1950,2764,4046
176,-2058,2830,4150
178,-2124,2550,4536
179,-2928,3814,3938
181,-872,3060,3198
182,-770,2930,1514
183,-1192,3700,564
185,-872,3460,1246
186,-328,3990,-250
188,-1018,3470,-1584
189,-110,2776,-3412
190,-418,4618,-3688
192,-418,3854,-4300
193,-562,3044,-5836
194,-1042,5060,-5466
196,460,4486,-6700
197,-612,3556,-6204
199,-1184,3914,-5898
200,-444,2930,-5532
201,-6,3666,-5094
203,-938,4234,-3524
204,-8,2940,-3200
205,-540,3344,-2164
207,-1688,3954,-674
208,-1274,2980,162
210,-864,2020,-72
211,-1532,3780,2772
212,-2798,3668,3466
214,-3622,3704,2570
215,-1838,3236,3486
216,-1686,3290,3768
218,-1976,2648,4830
219,-2812,3538,4344
221,-1880,3554,2736
222,-1054,3222,2112
223,-1486,3856,392
225,-1270,3344,1236
226,-1392,4368,458
227,-952,3706,-742
229,-18,3274,-3430
230,-30,4652,-3844
232,54,3078,-4414
233,-656,2582,-5560
234,-810,3774,-5832
236,1174,4140,-6862
237,310,3496,-6820
239,-872,3600,-5416
240,88,2994,-5176
241,540,3078,-4868
243,-618,4012,-4430
244,-592,3418,-3456
245,-374,3126,-1892
247,-1938,3842,-1184
248,-1624,3000,-436
250,-1418,2690,128
251,-1894,3336,1442
252,-2570,3394,3594
254,-3246,3838,3762
255,-1698,2698,2824
256,-1586,3262,4088
258,-1998,2508,4090
259,-2726,3156,4184
261,-1206,3296,3226
262,-630,2770,2794
263,-1404,3838,470
265,-1028,3638,1242
266,-330,3466,-56
267,-1206,3544,-1490
269,-364,2814,-2500
270,82,3496,-3810
272,-276,3998,-4434
273,-454,2732,-4864
274,-596,4948,-5482
