timestamp,accX,accY,accZ
0,-746,3928,-4894
2,34,3396,-4376
3,650,3454,-4364
4,-568,3568,-3482
6,-804,3566,-2344
7,-940,3676,-734
9,-2190,3226,506
10,-2110,2688,1220
11,-2364,4290,2038
13,-1852,3316,2540
14,-2372,3828,4554
15,-2850,3622,3768
17,-764,2112,3882
18,-1268,3702,3854
20,-2760,3430,4092
21,-1530,2816,3176
22,-1746,3938,2438
24,-1410,3254,1532
25,-664,4100,406
26,-1084,4508,216
28,-92,2750,-1628
29,-538,4174,-2836
30,14,3600,-3932
32,622,3912,-5518
33,-824,4070,-5462
35,-684,3062,-5830
36,-920,5100,-6400
37,218,4730,-7168
39,938,2938,-6144
40,-1020,3932,-5626
42,-586,3560,-4550
43,348,3298,-4448
44,-618,3624,-3950
46,-986,3586,-2096
47,-914,3300,-1726
48,-1848,3422,810
50,-2212,2792,1152
51,-2352,3638,1654
53,-2116,2518,2900
54,-2958,3072,4102
55,-4050,4210,3690
57,-1904,1866,4394
58,-2168,3532,4274
59,-2614,4102,4562
61,-1020,2756,3590
62,-1866,3874,3138
64,-1900,2614,1066
65,-626,3570,568
66,-842,4174,-630
68,-360,3148,-1082
69,-1156,3376,-1524
70,-876,3474,-4338
72,574,3958,-4888
73,62,4146,-5470
75,-840,3004,-5700
76,-444,3694,-5990
77,-414,5216,-6680
79,852,2930,-6648
80,136,2706,-6118
81,-678,3686,-4240
83,376,3268,-3892
84,-132,3336,-3306
86,-722,3466,-2816
87,-842,3650,-1774
88,-1440,3362,378
90,-2370,2770,764
91,-2348,2974,1816
92,-1862,3464,2398
94,-1938,2282,3106
95,-3806,3716,4028
97,-1078,2090,4316
98,-1100,2326,4012
99,-2610,3858,4300
101,-1328,2362,4086
102,-1408,3236,2116
103,-1278,3084,1672
105,-430,2360,738
106,-1160,4858,-134
108,-166,2954,-878
109,-2,2432,-2548
110,-720,3918,-3542
112,720,3302,-4580
113,410,4440,-6068
114,-876,3432,-5374
116,78,2704,-5900
117,-198,5450,-7180
119,1058,3514,-6902
120,986,3462,-5714
121,-1004,3604,-5004
123,182,3010,-4070
124,-556,3878,-4244
125,-1152,3854,-3386
127,-746,3530,-1738
128,-1728,3432,-36
130,-2244,2834,1408
131,-2770,3600,1226
132,-1922,4230,1670
134,-1284,2788,3652
135,-4250,4050,4970
137,-2670,2796,4620
138,-1404,3064,4226
139,-2426,4372,3678
141,-2384,2236,3392
142,-2036,3686,3598
143,-2348,4228,874
145,-468,2884,982
146,-638,4114,-586
148,-966,2966,-1036
149,-674,2794,-1572
150,-1270,3656,-4408
152,662,3708,-4844
153,418,4174,-5814
155,-942,2858,-5862
156,-644,3038,-5926
157,-1186,5266,-7016
159,1146,3136,-6654
160,556,2858,-6274
161,-500,3356,-4378
163,312,2876,-3876
164,-184,3504,-3724
166,-582,3376,-3038
167,-602,3626,-2120
168,-1658,3746,8
170,-2310,2790,1048
171,-2634,2830,1260
172,-2600,3664,2464
174,-1406,2622,2960
175,-3386,3636,4134
176,-1762,2284,4570
178,-1266,2316,4564
179,-1780,4114,4218
181,-1648,2966,4016
182,-1406,2664,2656
183,-1540,3644,1570
185,-516,2432,1228
186,-682,3224,-170
188,-606,3856,-594
189,514,2242,-1966
190,-650,4260,-3676
192,242,3614,-3940
193,608,3424,-6000
194,-854,3906,-5734
196,180,2740,-6230
197,-1126,5244,-7102
198,482,3726,-6786
200,958,2852,-5764
201,-572,3398,-5386
203,106,2762,-4570
204,98,4018,-4000
205,-928,3874,-3326
207,-726,3250,-1982
208,-1744,3792,-188
210,-1944,2546,620
211,-2342,3600,1618
212,-2082,4154,1584
214,-1528,3064,3464
215,-2006,4004,4358
216,-2718,2678,4354
218,-1184,1894,4388
219,-2342,3902,3798
221,-2518,3804,4350
222,-824,3290,3338
223,-2116,4094,2410
225,-1022,3280,1110
226,-850,3800,-164
227,-1318,4712,-78
229,-190,2506,-2040
230,-916,3570,-2894
232,-752,3950,-4412
233,204,3780,-5604
234,-860,4442,-5816
236,-530,3182,-6056
237,-1284,5000,-5764
238,120,4710,-6366
240,704,2960,-6378
241,-314,3330,-5696
243,-194,2958,-4114
244,-202,3654,-3764
245,-498,3778,-3198
247,-818,3528,-2338
248,-1668,3798,-1104
249,-1608,3464,768
251,-2494,2674,1210
252,-2900,3866,2520
254,-1414,2776,3126
255,-2972,3404,4026
256,-3298,2548,4786
258,-1264,2134,4578
259,-1898,3144,4006
261,-2762,3152,3704
262,-1082,2714,3410
263,-2252,4154,1270
265,-722,2584,1434
266,-724,3240,552
267,-1410,4296,-712
269,132,2702,-1686
270,-182,2590,-3514
272,-364,4164,-3696
273,436,3346,-5002
274,-328,4142,-6156
