timestamp,accX,accY,accZ
0,-268,3052,-5368
2,-660,4144,-6480
3,418,3738,-6194
4,490,3966,-5990
6,-1050,3240,-5870
7,-188,2566,-5704
9,-70,3858,-6452
10,-170,3934,-5192
11,54,3390,-3926
13,-1616,3834,-2144
14,-1040,3234,-2458
15,-1002,4736,-1352
17,-1568,3630,-272
18,-88,1000,-554
19,-2662,4394,2530
21,-3296,4228,3572
22,-1020,2952,2922
24,-2054,3340,2496
25,-1632,2192,3854
26,-2214,4112,5304
28,-3210,3888,4378
29,-840,2258,2152
30,-1620,4356,2264
32,-1176,3746,1276
33,-1374,3144,782
35,-1246,4294,372
36,142,3326,-2662
37,856,4142,-3012
39,-936,4584,-3616
40,-158,3626,-3954
41,-822,3530,-5708
43,-894,3756,-5994
44,654,4602,-5952
45,-520,4576,-6040
47,-490,2820,-5742
48,220,3378,-5760
50,-104,4372,-5162
51,12,4110,-4486
52,-764,2942,-3778
54,-1284,3266,-2828
55,-1412,3388,-1788
56,-1374,3766,-1012
58,-1574,3102,344
59,-1986,2154,1706
61,-2738,3932,2330
62,-3234,3302,3520
63,-1930,2838,2864
65,-2166,3034,3924
66,-2602,3426,4912
67,-3288,4364,5258
69,-2510,2030,2640
70,-1014,3742,2230
72,-1322,4208,2518
73,-1214,2636,1722
74,-1578,4100,-372
76,-92,4142,-1740
77,-184,3236,-2742
78,-1628,4344,-3284
80,-508,3532,-3466
81,-444,4166,-4852
83,-700,3996,-6412
84,632,3678,-6656
85,-164,4770,-5976
87,-500,2646,-5636
88,-518,3064,-5750
90,376,4126,-5324
91,264,3680,-4762
92,-1042,3446,-2658
94,-1224,3206,-2142
95,-1390,4028,-1652
97,-510,3282,-424
98,-714,1542,-418
99,-2690,2062,2188
101,-2858,3880,3116
102,-1698,3842,3358
103,-2704,2902,2488
105,-1970,2742,3464
106,-1842,3158,5268
108,-3466,3864,4382
109,-1860,2656,3372
110,-40,2478,2264
112,-1246,4196,1658
113,-1166,2414,1226
114,-1728,4150,174
116,440,3618,-592
117,920,2788,-3086
119,-1044,4072,-3434
120,50,3176,-3438
121,-294,4134,-5234
123,-618,3420,-6212
124,254,3222,-6360
125,-346,4832,-5864
127,-306,3212,-6030
128,-404,3128,-5916
130,-224,4184,-5414
131,152,4230,-4688
132,-980,3208,-3852
134,-1792,3268,-2866
135,-1246,3850,-1400
136,-946,3268,-1470
138,-1182,2514,870
139,-1964,2778,1840
141,-2696,3784,2676
142,-2386,3688,3358
143,-1864,2796,3028
145,-2184,2890,4192
146,-2146,2882,4454
148,-3036,3834,4988
149,-2856,2642,2826
150,-576,3020,2278
152,-1128,3978,2400
153,-1452,2470,1888
154,-1438,3814,-274
156,-598,4362,-2054
157,60,3196,-2476
158,-1598,4316,-2648
160,-1082,3064,-3714
161,-56,4098,-5016
163,-756,4424,-6536
164,-44,3234,-6522
165,-190,4482,-6028
167,-392,4100,-5436
168,-574,2876,-5772
169,-60,3586,-6266
171,322,3926,-4574
172,-756,3596,-3886
174,-1902,3240,-2298
175,-1118,3904,-1710
176,-140,4148,-2024
178,-488,2252,400
179,-3166,3170,1688
180,-2594,3602,2998
182,-1574,3478,2686
183,-2960,3664,2774
185,-2272,2814,3870
186,-2042,3370,4774
187,-2818,3262,4618
189,-1940,3254,3124
190,-260,2614,2230
191,-768,3666,1392
193,-1514,2890,2018
194,-1220,2592,1182
196,-1038,4066,-962
197,568,2846,-2206
198,-638,3772,-2980
200,-348,3358,-3636
201,88,3390,-4418
202,-418,4146,-5910
204,216,3142,-6330
205,134,3790,-5766
207,-44,3484,-6002
208,-226,2596,-5658
209,-320,4190,-5506
211,234,4060,-4930
212,-78,3604,-3728
213,-1802,2978,-2968
215,-1174,3872,-2168
216,-1080,4436,-1926
218,-1002,1996,-472
219,-2540,2896,1200
220,-2172,3500,2806
222,-1690,3414,2574
223,-2652,3796,2972
224,-2038,2786,3752
226,-2242,3340,4576
227,-2318,3586,4522
229,-2614,3872,4170
230,-968,2818,2322
231,-1288,3910,2442
233,-1412,3130,2278
234,-1494,3920,-238
235,-232,4142,-774
237,1144,2952,-2292
238,-1774,4374,-2356
240,-836,3456,-3108
241,-198,4172,-5220
242,-558,4384,-5452
244,136,3392,-6348
245,-280,4396,-5932
247,-270,4006,-5680
248,60,2664,-6006
249,-512,3702,-6064
251,48,4226,-4674
252,218,3618,-3736
253,-1674,3024,-2888
255,-1824,3252,-2076
256,-112,4360,-1734
257,-460,2428,-1050
259,-1654,2658,1620
260,-2402,3312,2190
262,-1908,3816,2914
263,-2674,3290,2608
264,-2416,2662,2980
266,-2138,3680,4832
267,-2692,3510,4896
268,-3100,3222,3276
270,-548,3058,2410
271,-500,3936,2328
273,-1252,2646,1606
274,-1524,2698,1136
