timestamp,accX,accY,accZ
0,-342,1428,-1326
2,-2326,4166,1862
3,-2514,3298,2800
5,-2158,2614,2464
6,-2280,3530,2860
7,-936,2268,3496
9,-2570,4038,4308
10,-1584,2062,3666
11,-1530,2528,3082
13,-1486,3956,2750
14,-940,3264,828
16,-1180,4112,718
17,-386,2856,690
18,-216,3946,-1200
20,-814,4374,-2160
21,338,3372,-3618
22,190,3830,-4458
24,-1074,3748,-4796
25,-334,3476,-5418
27,-506,4394,-5884
28,-100,3060,-6544
29,-466,4156,-5966
31,-246,4394,-5036
32,318,3356,-4798
33,-500,3230,-4694
35,-98,3190,-3916
36,-168,3078,-2536
38,-2222,4710,-1192
39,-1996,4236,-926
40,-262,2160,0
42,-2928,3746,1634
43,-3068,3752,2826
44,-1888,3340,2796
46,-2340,3772,2742
47,-1302,3242,4176
49,-2970,4092,4722
50,-1892,2776,4086
51,-1924,3432,3436
53,-1672,3658,2592
54,-1390,3492,2124
55,-1176,3680,862
57,-624,3254,270
58,-248,3078,-1426
59,-708,4688,-1312
61,-592,4042,-3468
62,-634,3170,-3560
64,-612,3906,-4900
65,-518,4144,-5800
66,-590,4624,-5804
68,-308,3562,-6116
69,-674,3578,-5670
70,-380,4340,-6116
72,-200,4048,-5398
73,-462,3138,-4788
74,-524,3188,-4450
76,-436,2838,-2540
77,-1534,3658,-2370
79,-2438,5090,-1312
80,-42,1574,-1272
81,-1864,2684,760
83,-3584,3428,2698
84,-2226,2748,2854
86,-1582,3656,2722
87,-1182,2510,3330
88,-2782,3720,4938
90,-2560,2282,4044
91,-1488,2766,3710
92,-1582,3652,3020
94,-1274,3530,2516
95,-1084,3844,910
96,-1112,3780,504
98,-490,2610,-436
99,-920,4118,-1390
101,-584,3504,-3118
102,-120,3352,-3532
103,-898,3602,-4732
105,-314,3654,-5430
106,-350,4734,-5836
108,-124,2986,-6562
109,-552,2932,-5992
110,-632,4196,-5092
112,200,3756,-5168
113,-106,3226,-4840
115,-134,3152,-4172
116,-82,3084,-2834
117,-1046,4338,-1046
119,-1986,3924,-950
120,-670,2818,-338
122,-2620,3564,1732
123,-3040,3760,3006
124,-2224,3546,3184
126,-1882,3578,2806
127,-1450,2494,3984
129,-3340,4088,4848
130,-2104,3154,3900
131,-1412,3104,3350
133,-1958,3850,2850
134,-1546,3458,2100
135,-1430,3930,1484
137,-746,3536,-356
138,-498,2600,-1804
139,-574,4344,-1662
141,-634,4546,-2186
142,474,3032,-3524
144,-672,3674,-5002
145,-644,4140,-5782
146,-232,4656,-5878
148,-442,4068,-6278
149,-434,3104,-5824
151,-564,4332,-5628
152,62,4064,-5270
153,-382,3272,-4952
155,-478,3312,-4532
156,-510,3242,-2540
157,-1818,3508,-1976
159,-1730,4236,-612
160,-112,2046,-1392
162,-1154,2158,358
163,-3590,3370,2336
164,-2852,3056,3660
166,-1652,3574,2688
167,-1160,2478,3048
168,-2896,3530,4728
170,-2984,2508,4068
171,-1282,2540,3688
173,-1666,3646,2352
174,-1432,3438,2476
175,-1096,3514,1284
177,-1266,4138,670
178,54,2312,-726
179,-782,3646,-1350
181,-914,3720,-3084
182,360,3018,-3466
183,-860,3690,-4462
185,-326,3320,-5554
186,70,4424,-5768
188,-364,3470,-6364
189,-288,2374,-6144
190,-604,3406,-5242
192,312,3848,-5038
193,-146,3258,-4830
194,-774,3328,-4008
196,-344,3288,-3196
197,-610,3626,-2356
199,-2246,3930,-1100
200,-1288,2884,-596
201,62,3442,1734
203,-3022,4034,2156
204,-2904,2772,2714
206,-2554,3878,2810
207,-1400,2898,3142
208,-1846,2324,4480
210,-2950,4010,4404
211,-1104,2260,3912
212,-1090,4076,2720
214,-1828,3290,2536
215,-868,2900,1400
216,-1014,4504,-182
218,-34,2336,-108
219,320,4508,-1446
221,-884,4860,-2158
222,564,3008,-3692
223,-936,4076,-4830
225,-826,4014,-4926
226,506,4656,-5942
228,-726,4602,-6066
229,-426,2974,-5818
230,-142,3632,-6014
232,66,4028,-5836
233,200,3602,-4582
234,-1028,3614,-4098
236,-624,3246,-3714
237,-272,3488,-2186
238,-2294,4960,-934
240,-2064,3772,-1116
241,-1206,2414,550
243,-3078,4340,2024
244,-2846,2440,3146
245,-2142,3370,2578
247,-2224,3858,3430
248,-2204,3114,4668
249,-3576,4242,4622
251,-2280,2360,3494
252,-670,3106,3110
254,-2096,4170,2496
255,-1700,2822,1280
256,-722,4302,648
258,-548,4072,-1016
259,-344,2554,-1436
261,-1494,4672,-2854
262,-322,2956,-3378
263,-372,3320,-4618
265,-1560,4148,-5502
266,512,3820,-5900
267,-300,4854,-5778
269,-786,2602,-5966
270,6,2554,-6274
272,286,3788,-5180
273,-78,3480,-4762
274,-1228,3440,-3992
