timestamp,accX,accY,accZ
0,-734,3576,-2262
2,98,3358,-1936
3,-770,3364,374
4,-2426,3582,1208
6,-2030,3542,2064
7,-1918,2806,2248
8,-2634,2714,2662
10,-2710,3578,3998
11,-1690,2870,4346
13,-2612,2908,4124
14,-2752,3294,3284
15,-460,2588,3194
17,-1326,3736,2442
18,-1526,2500,2288
19,-906,2932,1144
21,-1104,3754,-1500
22,-242,3998,-1180
24,-540,3520,-2512
25,-1400,3374,-3458
26,520,3434,-4394
28,172,3676,-5974
29,-1254,4470,-5502
30,382,3706,-6752
32,674,3134,-6180
33,-934,3286,-5802
35,-1172,3786,-5656
36,556,4278,-5728
37,-80,4014,-4462
39,-922,3070,-2568
40,-1002,3050,-2524
41,-528,3536,-1338
43,-866,2190,-1198
44,-2520,3340,598
46,-2646,4080,2572
47,-2118,3288,2764
48,-2138,2238,3068
50,-3170,3526,3478
51,-2272,4046,4418
52,-1704,3358,4630
54,-2838,3142,3916
55,-1280,2428,3288
57,-488,4228,2928
58,-1572,3316,1320
59,-1330,2834,614
61,-20,3592,-52
62,-316,3968,-664
63,-804,3468,-2330
65,-536,3652,-3106
66,20,3762,-4782
68,-292,3616,-5348
69,-1282,4578,-5502
70,-378,3194,-6288
72,354,2866,-6308
73,-640,3224,-6728
74,-1038,4190,-5362
76,504,3942,-5784
77,-310,3824,-4886
78,-1148,3436,-3128
80,-586,3176,-3264
81,-596,3172,-1370
83,-420,1658,-1684
84,-2236,2676,884
85,-2382,4424,2166
87,-1896,3696,2308
88,-2452,2616,2940
90,-2310,2912,3534
91,-2440,3856,4456
92,-2648,3062,4212
94,-2648,3656,4242
95,-1470,2782,3378
96,-1434,3494,3176
98,-1994,3530,2448
99,-990,3454,1070
101,-518,3790,-616
102,116,3850,-984
103,-882,3508,-1990
105,-1104,3698,-2400
106,-918,3524,-4812
107,-160,3736,-4910
109,136,3566,-5314
110,-312,4250,-6276
112,38,3872,-6056
113,246,2722,-6290
114,-838,3804,-5886
116,-368,4452,-5260
117,480,3700,-4602
118,-1096,3640,-3674
120,-1226,3400,-2528
121,-94,3260,-2290
122,-830,2954,-1634
124,-2464,2842,668
125,-2516,4032,948
127,-2524,3592,2280
128,-2198,2144,2730
130,-2988,2392,3822
131,-3118,3552,4070
132,-1606,3418,4334
134,-3106,3870,3488
135,-1260,2078,3240
136,-608,3004,3150
138,-1536,3374,1334
139,-1268,2896,1900
140,-950,3842,-426
142,-92,3716,-378
143,-582,3110,-1434
144,-1696,3798,-2996
146,480,3992,-4234
147,882,3926,-5872
149,62,3470,-5588
150,-1322,4022,-5138
151,56,4338,-6110
153,406,2934,-7152
154,-666,3146,-5902
156,-468,4388,-4740
157,260,3618,-4706
158,-818,3402,-3904
160,-414,3604,-3536
161,90,3450,-2444
162,-434,2076,-452
164,-2724,2268,744
165,-2522,3434,1656
166,-1322,4352,1426
168,-1828,3260,2414
169,-2684,2638,4346
171,-3074,3154,4704
172,-1590,2980,4184
173,-2348,4162,3798
175,-1604,2894,3280
176,-674,3596,3724
178,-1710,3466,3322
179,-1742,3648,904
180,-280,4434,-1308
182,998,3840,-1264
183,762,3468,-1452
185,-2526,4078,-1486
186,-414,2956,-5028
187,670,4390,-5832
189,-84,3958,-6508
190,-904,3740,-5434
191,-864,4608,-5288
193,76,3466,-7122
194,-576,3650,-6534
196,-374,4698,-6050
197,-268,3190,-4402
198,-1474,3168,-3562
200,-1066,3354,-2622
201,164,3646,-2678
202,-192,3090,-2214
204,-1288,2128,1064
205,-3020,3856,1922
207,-2388,4324,1852
208,-1022,3096,2298
209,-2934,2640,2926
211,-3380,2978,4240
212,-1666,3208,4664
213,-2574,3864,4488
215,-2086,2512,3042
216,-818,2960,2932
217,-1380,3868,3162
219,-1734,2732,1064
220,-1640,4188,616
222,916,2868,-1252
223,-440,4058,-1404
224,-2816,4032,-2700
226,500,2960,-3900
227,1184,4228,-5526
229,110,3218,-6244
230,-1400,3746,-5334
231,-1296,4610,-5850
233,318,2754,-6368
234,108,2862,-6986
236,-710,4170,-4976
237,280,3830,-4304
238,-402,3214,-3338
240,-794,2976,-3000
241,22,3670,-2692
242,88,3458,-1042
244,-2538,2414,706
245,-3178,3266,1582
247,-2530,4368,1950
248,-1306,3268,1744
249,-2512,2414,3994
251,-3058,3496,4900
252,-1616,2908,4504
253,-2278,3448,4210
255,-1760,2876,2878
256,-610,2422,3078
257,-1730,3654,2406
259,-1676,2054,2508
260,-1644,3926,-258
262,1322,3234,-1504
263,228,2646,-1374
264,-1800,3698,-1278
266,-300,2820,-3356
267,614,3880,-6062
268,162,3638,-6174
270,-600,3448,-5460
271,-1588,4460,-5600
273,698,2882,-6678
274,680,2446,-6854
