timestamp,accX,accY,accZ
0,-1056,3508,-456
2,158,3488,-470
3,-256,3226,-2384
5,-752,3724,-2922
6,260,3470,-4060
7,416,4144,-5514
9,-492,3750,-5786
10,-322,3256,-5904
11,-494,4536,-6242
13,320,3288,-6752
14,178,4022,-5858
15,-690,4354,-5288
17,18,3480,-4668
18,210,3172,-3932
20,-944,3548,-3582
21,-668,3844,-1958
22,-1270,2816,-1306
24,-2238,2904,384
25,-2160,3298,1750
26,-2442,3950,1854
28,-2726,4272,3042
29,-2250,2194,3524
31,-2758,3316,4684
32,-2794,2986,4604
33,-2854,4070,4880
35,-1500,3526,3162
36,-1220,3032,3068
37,-1772,3928,3106
39,-1604,3286,1458
40,-564,3822,-1134
42,88,4316,-902
43,602,3242,-1654
44,-1742,3730,-2362
46,-672,3084,-4458
47,220,4436,-5536
48,-604,4784,-5830
50,-150,3094,-6172
51,-722,4222,-5782
53,-266,3378,-6020
54,-810,4130,-6132
55,110,4378,-7138
57,464,2880,-4600
58,-1752,3730,-3194
59,-1696,3534,-2950
61,-124,3464,-2260
62,-554,4044,-2162
64,-880,2548,154
65,-2628,3394,1992
66,-3802,5062,2900
68,-1812,2444,2520
69,-2038,2970,1882
71,-3184,3856,4512
72,-1980,2516,5098
73,-3552,3918,4930
75,-2752,2306,2828
76,-18,2912,2914
77,-1758,4362,1588
79,-1860,2492,2778
80,-1146,4014,1294
81,-224,3118,-1360
83,-52,3390,-2606
84,-1244,4226,-2768
86,-632,2986,-3138
87,-116,3280,-5190
88,-856,4468,-5802
90,692,3242,-6226
91,-626,3868,-6388
93,-610,3304,-5588
94,-44,3912,-6180
95,-144,3486,-6198
97,-78,2948,-5378
98,-810,3788,-3908
99,-1330,3452,-2758
101,-628,4056,-2286
102,-392,3134,-1866
103,-1204,2352,432
105,-2518,3642,1608
106,-2896,3388,2466
108,-1710,3494,2122
109,-1684,3324,3136
110,-2926,3370,4928
112,-3370,3236,4644
113,-2276,3850,4680
114,-1278,3496,3134
116,-990,2650,2752
117,-1132,3774,3312
119,-1796,2934,2962
120,-1592,2692,-744
121,400,3716,-1424
123,210,3572,-1818
124,-866,3834,-1714
126,-630,2570,-2956
127,-574,3038,-5766
128,412,4588,-5802
130,1068,3228,-6500
131,-178,3978,-5460
132,-642,3490,-5372
134,320,3060,-6644
135,78,4134,-6754
136,-104,4166,-5572
138,-158,3806,-3238
139,-1578,3150,-2740
141,-1120,3426,-2582
142,-558,2760,-2474
143,-172,2466,-984
145,-2914,3186,1460
146,-2666,3134,2952
147,-1332,3410,2194
149,-2208,2780,2078
150,-2702,3038,3754
152,-3132,3884,4398
153,-3000,3288,4762
154,-2458,3334,3974
156,-1438,3220,2924
157,-1366,3930,2768
158,-1730,3282,1878
160,-1340,3062,372
161,-330,4066,-62
163,1208,4318,-1724
164,-1474,4126,-1882
165,-722,2798,-2682
167,120,4248,-4988
168,-48,4574,-5062
170,874,3358,-6142
171,-146,3658,-5924
172,-808,3598,-5470
174,-580,3756,-6492
175,82,3362,-6658
176,660,3204,-4968
178,-1156,4422,-3956
179,-1120,3272,-3384
180,-1344,3834,-2922
182,-562,4384,-2144
183,798,1646,-414
185,-3734,3608,2000
186,-3118,3978,2224
187,-2116,3220,1732
189,-2198,3744,1958
190,-2578,3236,4474
191,-2858,3332,5338
193,-2928,3668,4732
194,-2674,2700,3382
196,-960,3142,3044
197,-1264,3894,2906
198,-1164,2508,2764
200,-1476,3504,1182
201,-988,3134,-1536
203,180,4238,-1560
204,-1126,4460,-2194
205,-1110,2856,-2364
207,-898,4070,-4580
208,-24,3540,-6190
210,66,3540,-6108
211,-632,3854,-5472
212,124,3418,-5628
214,56,3486,-6018
215,230,3082,-6492
216,-744,4424,-4956
218,-278,4528,-4838
219,-868,3064,-3056
220,-1372,3006,-2852
222,-728,3892,-1576
223,320,1732,-1180
225,-2614,2790,624
226,-2932,3480,2438
227,-1150,3360,2340
229,-1784,3730,2758
230,-2604,2714,3744
232,-2964,3498,4546
233,-2506,3446,4484
234,-1822,2816,3744
236,-1730,2868,2974
237,-1138,3696,2798
239,-1022,3180,2112
240,-1912,2920,176
241,-118,3396,-926
243,186,4148,-2186
244,-1322,3838,-2004
246,-1562,2980,-3830
247,246,3912,-4496
248,458,4280,-6026
250,-104,3394,-6394
251,-810,3996,-5698
253,114,3634,-6216
254,-634,3620,-5878
255,-788,4182,-6312
257,-326,3644,-5406
258,-256,3840,-4042
259,-1248,3510,-2770
261,-1430,2938,-2502
262,-996,4816,-1704
263,-498,3732,-928
265,-2402,2242,1222
266,-3300,3772,2812
268,-2904,3376,2832
269,-1172,2444,2516
270,-2916,3110,3832
272,-2202,3354,4802
273,-1552,3406,4354
275,-2198,2474,3370
