timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.58,-0.54,-0.34,-0.24,-0.73,1.22
10,-9.97,-0.63,-0.41,0.00,-0.67,1.22
20,-9.62,-0.63,-0.02,0.73,-0.18,1.16
30,-9.60,-0.48,0.29,0.67,-0.24,1.28
40,-9.81,-0.48,-0.11,-0.24,-0.61,1.28
50,-9.59,-0.62,-0.50,-0.31,-0.61,1.28
60,-9.51,-0.65,-0.26,0.92,-0.49,1.28
70,-9.84,-0.53,0.05,0.37,-0.43,1.28
80,-9.93,-0.58,-0.33,-0.24,-0.85,1.34
90,-9.98,-0.57,-0.41,0.00,-0.73,1.22
100,-9.69,-0.65,-0.10,0.73,-0.43,1.40
110,-9.75,-0.54,0.18,0.73,-0.49,1.22
120,-9.82,-0.43,-0.00,0.00,-0.49,1.40
130,-9.53,-0.87,-0.35,0.18,-0.61,1.22
140,-10.06,-0.47,0.09,0.85,-0.43,1.16
150,-9.80,-0.44,0.16,0.49,-0.37,1.10
160,-9.85,-0.56,-0.18,-0.31,-0.55,1.28
170,-9.81,-0.62,-0.46,-0.31,-0.55,1.34
180,-9.69,-0.57,-0.20,0.61,-0.37,1.28
190,-9.94,-0.50,0.15,0.67,-0.31,1.40
200,-9.71,-0.61,-0.35,-0.43,-0.67,1.34
210,-10.06,-0.59,-0.44,0.12,-0.55,1.28
220,-9.61,-0.61,-0.05,0.85,-0.24,1.28
230,-9.53,-0.52,0.27,0.73,-0.37,1.28
240,-9.82,-0.50,-0.07,0.06,-0.73,1.16
250,-9.67,-0.59,-0.54,-0.43,-0.79,1.28
260,-9.56,-0.65,-0.29,0.37,-0.31,1.34
270,-9.82,-0.51,0.11,0.31,-0.55,1.34
280,-9.81,-0.56,-0.34,-0.37,-0.67,1.28
290,-9.84,-0.59,-0.46,-0.12,-0.73,1.22
300,-9.72,-0.63,-0.09,0.73,-0.43,1.22
310,-9.81,-0.52,0.23,0.85,-0.37,1.28
320,-9.86,-0.44,-0.01,0.12,-0.55,1.34
330,-9.70,-0.57,-0.43,0.06,-0.61,1.22
340,-10.10,-0.46,0.11,0.73,-0.55,1.22
350,-9.78,-0.48,0.14,0.37,-0.49,1.22
360,-9.87,-0.57,-0.19,-0.37,-0.73,1.22
370,-9.81,-0.60,-0.45,-0.12,-0.67,1.22
380,-9.67,-0.57,-0.17,0.67,-0.49,1.40
390,-9.76,-0.57,0.10,0.67,-0.49,1.22
400,-9.77,-0.48,-0.32,-0.31,-0.73,1.16
410,-9.97,-0.59,-0.40,0.31,-0.61,1.28
420,-9.57,-0.66,-0.04,0.85,-0.31,1.22
430,-9.63,-0.50,0.28,0.61,-0.49,1.10
440,-9.78,-0.50,-0.11,-0.18,-0.55,1.16
450,-9.69,-0.61,-0.51,-0.18,-0.67,1.34
460,-9.61,-0.64,-0.26,0.43,-0.55,1.28
470,-9.82,-0.53,0.09,0.43,-0.43,1.28
480,-9.87,-0.58,-0.31,-0.37,-0.67,1.28
490,-9.90,-0.56,-0.40,-0.12,-0.73,1.34
500,-9.75,-0.60,-0.08,0.67,-0.31,1.28
510,-9.80,-0.51,0.17,0.79,-0.24,1.22
520,-9.73,-0.41,0.02,-0.06,-0.61,1.28
530,-9.65,-0.56,-0.37,0.24,-0.55,1.34
540,-10.04,-0.46,0.10,0.98,-0.31,1.34
550,-9.79,-0.45,0.18,0.55,-0.37,1.53
560,-9.89,-0.55,-0.19,-0.31,-0.61,1.28
570,-9.78,-0.65,-0.51,-0.31,-0.67,1.40
580,-9.62,-0.55,-0.17,0.43,-0.49,1.34
590,-9.68,-0.55,0.16,0.73,-0.43,1.34
600,-9.83,-0.52,0.07,-0.31,-0.67,1.34
610,-10.02,-0.59,-0.40,0.18,-0.55,1.22
620,-9.59,-0.66,-0.05,0.79,0.00,1.16
630,-9.57,-0.50,0.27,0.61,-0.31,1.22
640,-9.82,-0.45,-0.07,0.00,-0.67,1.16
650,-9.69,-0.57,-0.50,-0.24,-0.79,1.46
660,-9.52,-0.67,-0.32,0.37,-0.55,1.40
670,-9.95,-0.52,0.11,0.43,-0.43,1.34
680,-9.91,-0.59,-0.34,-0.31,-0.73,1.40
690,-9.93,-0.60,-0.47,-0.18,-0.49,1.34
700,-9.73,-0.59,-0.08,0.73,-0.12,1.28
710,-9.74,-0.54,0.20,0.67,-0.24,1.16
720,-9.78,-0.45,0.01,0.12,-0.55,1.34
730,-9.50,-0.59,-0.42,-0.31,-0.85,1.22
740,-10.01,-0.49,0.08,1.04,-0.31,1.22
750,-9.77,-0.42,0.18,0.55,-0.55,1.34
760,-9.87,-0.52,-0.15,-0.18,-0.73,1.34
770,-9.77,-0.63,-0.46,-0.24,-0.67,1.22
780,-9.67,-0.58,-0.22,0.55,-0.49,1.28
790,-9.85,-0.50,0.15,0.73,-0.06,1.28
800,-9.79,-0.53,0.09,-0.31,-0.61,1.28
810,-10.07,-0.56,-0.42,0.18,-0.61,1.28
820,-9.56,-0.64,-0.08,0.79,-0.37,1.22
830,-9.53,-0.55,0.26,0.67,-0.24,1.22
840,-9.83,-0.50,-0.07,-0.06,-0.61,1.28
850,-9.69,-0.58,-0.51,-0.18,-0.73,1.46
860,-9.58,-0.64,-0.29,0.37,-0.55,1.28
870,-9.86,-0.56,0.21,0.49,-0.49,1.22
880,-9.84,-0.57,-0.31,-0.18,-0.73,1.28
890,-9.84,-0.58,-0.42,0.00,-0.67,1.28
900,-9.79,-0.62,-0.07,0.85,-0.37,1.28
910,-9.85,-0.52,0.18,0.73,-0.24,1.34
920,-9.82,-0.43,0.01,-0.06,-0.61,1.34
930,-9.72,-0.58,-0.40,-0.37,-0.73,1.40
940,-9.80,-0.48,0.08,0.85,-0.37,1.28
950,-9.71,-0.46,0.18,0.55,-0.49,1.22
960,-9.83,-0.55,-0.16,-0.31,-0.79,1.28
970,-9.76,-0.65,-0.50,-0.06,-0.85,1.34
980,-9.63,-0.54,-0.17,0.55,-0.37,1.46
990,-9.66,-0.54,0.16,0.92,-0.37,1.10
