timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.84,-0.55,-0.25,-0.18,-0.73,1.40
10,-9.79,-0.63,-0.50,-0.12,-0.79,1.34
20,-9.77,-0.55,-0.15,0.55,-0.43,1.16
30,-9.79,-0.55,0.17,0.92,-0.43,1.22
40,-9.78,-0.50,0.03,0.18,-0.43,1.34
50,-9.62,-0.55,-0.37,0.24,-0.61,1.40
60,-9.79,-0.57,-0.02,0.98,-0.31,1.28
70,-9.73,-0.48,0.19,0.73,-0.24,1.34
80,-9.90,-0.49,-0.12,0.00,-0.55,1.34
90,-9.67,-0.59,-0.46,-0.18,-0.61,1.40
100,-9.55,-0.65,-0.27,0.43,-0.31,1.28
110,-9.78,-0.51,0.13,0.92,-0.12,1.34
120,-9.72,-0.58,-0.29,-0.24,-0.73,1.22
130,-9.96,-0.51,-0.41,0.06,-0.61,1.40
140,-9.62,-0.67,-0.12,0.85,-0.49,1.40
150,-9.65,-0.55,0.22,0.67,-0.31,1.28
160,-9.82,-0.48,-0.06,0.00,-0.49,1.34
170,-9.70,-0.55,-0.48,-0.31,-0.55,1.34
180,-9.67,-0.62,-0.35,0.31,-0.18,1.22
190,-9.82,-0.49,0.09,0.37,-0.31,1.22
200,-9.86,-0.59,-0.30,-0.24,-0.67,1.28
210,-9.81,-0.55,-0.42,-0.06,-0.61,1.40
220,-9.70,-0.55,-0.10,0.61,-0.37,1.40
230,-9.78,-0.56,0.12,0.61,-0.18,1.28
240,-9.73,-0.48,0.02,0.00,-0.43,1.40
250,-9.61,-0.52,-0.32,0.06,-0.55,1.22
260,-9.84,-0.52,-0.01,0.73,-0.24,1.28
270,-9.73,-0.49,0.19,0.55,-0.37,1.28
280,-9.85,-0.52,-0.15,-0.12,-0.61,1.28
290,-9.70,-0.66,-0.51,-0.12,-0.67,1.28
300,-9.65,-0.59,-0.22,0.49,-0.49,1.28
310,-9.70,-0.54,0.19,0.67,-0.18,1.34
320,-9.79,-0.58,-0.57,-0.24,-0.73,1.40
330,-9.94,-0.49,-0.36,0.12,-0.67,1.34
340,-9.64,-0.65,-0.07,0.85,-0.18,1.22
350,-9.76,-0.51,0.22,0.73,-0.18,1.28
360,-9.77,-0.48,-0.04,-0.06,-0.61,1.34
370,-9.78,-0.50,-0.42,-0.18,-0.67,1.40
380,-9.72,-0.64,-0.41,0.31,-0.49,1.40
390,-9.78,-0.49,0.16,0.55,-0.37,1.22
400,-9.93,-0.57,-0.27,-0.18,-0.49,1.28
410,-9.86,-0.66,-0.54,-0.06,-0.67,1.46
420,-9.69,-0.54,-0.09,0.67,-0.37,1.40
430,-9.62,-0.58,0.19,0.85,-0.43,1.40
440,-9.78,-0.50,0.00,0.18,-0.43,1.46
450,-9.51,-0.54,-0.40,-0.31,-0.55,1.28
460,-9.69,-0.61,-0.02,1.04,-0.49,1.40
470,-9.71,-0.47,0.23,0.67,-0.49,1.40
480,-9.88,-0.48,-0.12,-0.31,-0.73,1.22
490,-9.65,-0.62,-0.48,-0.31,-0.61,1.28
500,-9.60,-0.67,-0.26,0.43,-0.49,1.22
510,-9.86,-0.49,0.18,0.73,-0.18,1.34
520,-9.75,-0.53,0.09,-0.24,-0.61,1.22
530,-10.07,-0.53,-0.42,0.12,-0.67,1.28
540,-9.68,-0.64,-0.09,0.79,-0.31,1.34
550,-9.73,-0.55,0.18,0.73,-0.18,1.28
560,-9.78,-0.46,-0.04,0.00,-0.43,1.34
570,-9.62,-0.52,-0.42,-0.12,-0.49,1.22
580,-9.63,-0.64,-0.36,0.43,-0.49,1.28
590,-9.97,-0.52,0.15,0.61,-0.37,1.22
600,-9.81,-0.55,-0.25,-0.18,-0.61,1.28
610,-9.78,-0.63,-0.47,-0.12,-0.73,1.46
620,-9.75,-0.54,-0.14,0.55,-0.31,1.34
630,-9.82,-0.54,0.14,0.67,-0.18,1.16
