timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.88,-0.61,-0.31,0.61,-0.24,1.22
10,-9.87,-0.42,0.09,0.85,-0.12,1.28
20,-9.86,-0.38,0.21,0.12,-0.43,1.34
30,-9.87,-0.50,-0.33,-0.37,-0.61,1.22
40,-9.62,-0.62,-0.04,0.79,-0.18,1.28
50,-9.59,-0.52,0.37,0.73,-0.31,1.28
60,-9.90,-0.59,-0.17,-0.12,-0.55,1.16
70,-9.49,-0.66,-0.62,-0.49,-0.61,1.40
80,-9.64,-0.45,-0.24,0.24,-0.43,1.40
90,-9.62,-0.79,0.18,0.92,-0.31,1.28
100,-9.65,-0.57,0.14,-0.31,-0.61,1.34
110,-9.86,-0.61,-0.40,-0.12,-0.55,1.22
120,-9.42,-0.77,-0.11,0.61,-0.37,1.28
130,-9.88,-0.42,0.28,0.73,-0.37,1.34
140,-9.80,-0.41,-0.07,0.00,-0.61,1.28
150,-9.99,-0.62,-0.47,-0.43,-0.79,1.34
160,-9.83,-0.73,-0.37,0.12,-0.55,1.22
170,-10.35,-0.29,0.15,0.55,-0.37,1.22
180,-9.72,-0.59,-0.19,-0.24,-0.79,1.28
190,-9.77,-0.48,-0.43,-0.18,-0.73,1.28
200,-9.91,-0.59,-0.22,0.49,-0.43,1.34
210,-9.75,-0.52,0.11,0.85,-0.18,1.28
220,-9.83,-0.41,0.14,0.24,-0.67,1.28
230,-9.73,-0.45,-0.33,-0.43,-0.85,1.34
240,-9.62,-0.63,-0.05,0.79,-0.24,1.28
250,-9.70,-0.44,0.29,0.55,-0.31,1.40
260,-9.89,-0.54,-0.15,-0.24,-0.67,1.28
270,-9.62,-0.69,-0.55,-0.37,-0.73,1.28
280,-9.69,-0.45,-0.23,0.24,-0.49,1.22
290,-9.73,-0.65,0.14,0.73,-0.18,1.28
300,-9.66,-0.60,0.11,0.43,-0.79,1.34
310,-9.93,-0.58,-0.43,-0.24,-0.73,1.34
320,-9.51,-0.69,-0.13,0.73,-0.37,1.22
330,-9.80,-0.49,0.28,0.73,-0.24,1.28
340,-9.84,-0.45,-0.05,0.00,-0.37,1.22
350,-9.84,-0.59,-0.47,-0.43,-0.73,1.22
360,-9.71,-0.75,-0.35,0.06,-0.55,1.16
370,-10.20,-0.36,0.14,0.37,-0.31,1.22
380,-9.81,-0.62,-0.20,-0.24,-0.67,1.34
390,-9.82,-0.49,-0.41,-0.24,-0.67,1.28
400,-9.91,-0.61,-0.26,0.55,-0.31,1.40
410,-9.82,-0.46,0.09,0.67,-0.37,1.28
420,-9.74,-0.41,0.18,0.24,-0.61,1.34
430,-9.88,-0.58,-0.34,-0.37,-0.79,1.34
440,-9.80,-0.62,-0.02,0.79,-0.37,1.28
450,-9.71,-0.49,0.28,0.67,-0.24,1.16
460,-9.80,-0.61,-0.14,-0.12,-0.67,1.28
470,-9.54,-0.62,-0.54,-0.31,-0.73,1.28
480,-9.59,-0.45,-0.26,0.37,-0.55,1.28
490,-9.45,-0.82,0.14,0.79,-0.31,1.28
500,-9.71,-0.54,0.17,0.37,-0.37,1.22
510,-9.76,-0.64,-0.47,-0.18,-0.67,1.10
520,-9.45,-0.72,-0.07,0.61,-0.43,1.28
530,-9.77,-0.50,0.32,0.61,-0.37,1.34
540,-9.81,-0.42,-0.11,0.00,-0.61,1.34
550,-9.90,-0.64,-0.50,-0.24,-0.79,1.28
560,-9.84,-0.71,-0.31,0.12,-0.55,1.22
570,-10.35,-0.28,0.13,0.79,-0.49,1.22
580,-9.70,-0.61,-0.14,-0.18,-0.79,1.34
590,-9.93,-0.48,-0.37,-0.24,-0.67,1.34
600,-9.89,-0.57,-0.31,0.55,-0.37,1.28
610,-9.74,-0.47,0.08,0.79,-0.12,1.28
620,-9.79,-0.41,0.24,0.24,-0.49,1.22
630,-9.79,-0.49,-0.30,-0.31,-0.73,1.34
640,-9.67,-0.68,-0.59,0.79,-0.49,1.16
650,-9.61,-0.53,0.39,0.61,-0.31,1.22
660,-9.88,-0.59,-0.18,-0.18,-0.61,1.22
670,-9.53,-0.66,-0.60,-0.24,-0.67,1.28
680,-9.64,-0.47,-0.22,0.43,-0.49,1.34
690,-9.66,-0.76,0.15,0.85,-0.24,1.40
700,-9.58,-0.60,0.12,0.37,-0.37,1.34
710,-9.58,-0.51,-0.42,-0.31,-0.73,1.22
720,-9.42,-0.73,-0.14,0.61,-0.43,1.28
730,-9.88,-0.49,0.29,0.79,-0.37,1.22
740,-9.81,-0.39,-0.03,0.06,-0.73,1.16
750,-9.99,-0.57,-0.48,-0.37,-0.85,1.28
760,-9.76,-0.77,-0.41,0.06,-0.73,1.22
770,-10.23,-0.34,0.17,0.79,-0.43,1.40
780,-9.76,-0.58,-0.22,-0.12,-0.61,1.34
790,-9.78,-0.54,-0.45,-0.12,-0.67,1.46
800,-9.91,-0.57,-0.20,0.55,-0.55,1.34
810,-9.69,-0.51,0.11,0.67,-0.43,1.22
820,-9.80,-0.42,0.13,0.18,-0.55,1.16
830,-9.71,-0.50,-0.32,-0.43,-0.79,1.40
840,-9.66,-0.67,-0.48,15.50,-0.49,1.40
850,-9.76,-0.46,0.29,0.61,-0.43,1.40
860,-9.85,-0.55,-0.14,-0.12,-0.73,1.28
870,-9.70,-0.67,-0.52,-0.37,-0.85,1.40
880,-9.60,-0.48,-0.28,0.31,-0.43,1.34
890,-9.76,-0.65,0.14,1.16,-0.24,1.28
900,-9.69,-0.58,0.12,0.43,-0.55,1.34
910,-9.60,-0.49,-0.28,-0.31,-0.73,1.34
920,-9.51,-0.66,-0.11,0.61,-0.24,1.40
