timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.82,-0.62,-0.25,-0.24,-0.61,1.46
10,-9.83,-0.65,-0.48,-0.12,-0.49,1.34
20,-9.55,-0.60,-0.11,0.67,-0.43,1.34
30,-9.67,-0.54,-0.07,0.06,-0.85,1.28
40,-9.70,-0.54,-0.43,-0.31,-0.61,1.40
50,-9.63,-0.62,-0.32,0.31,-0.55,1.40
60,-9.82,-0.56,0.10,0.85,-0.37,1.34
70,-9.78,-0.54,0.15,0.55,-0.37,1.28
80,-9.63,-0.47,-0.16,-0.31,-0.55,1.28
90,-9.91,-0.57,-0.44,0.55,-0.67,1.34
100,-9.79,-0.42,0.20,0.79,-0.43,1.22
110,-9.84,-0.48,0.05,0.31,-0.37,1.22
120,-10.01,-0.59,-0.36,-0.31,-0.49,1.28
130,-9.93,-0.65,-0.45,0.12,-0.61,1.22
140,-10.10,-0.38,0.04,0.79,-0.43,1.10
150,-9.75,-0.50,0.19,0.67,-0.31,1.34
160,-9.89,-0.54,-0.45,-0.31,-0.61,1.34
170,-9.65,-0.56,-0.31,0.43,-0.37,1.28
180,-9.54,-0.69,0.11,0.85,0.00,1.22
190,-9.82,-0.41,0.25,0.43,-0.49,1.22
200,-9.81,-0.55,-0.30,-0.24,-0.85,1.22
210,-9.77,-0.65,-0.51,-0.18,-0.85,1.22
220,-9.47,-0.71,-0.11,0.67,-0.49,1.22
230,-9.59,-0.51,-0.08,0.18,-0.55,1.34
240,-9.74,-0.67,-0.45,-0.31,-0.79,1.40
250,-9.75,-0.54,-0.36,0.12,-0.67,1.40
260,-9.91,-0.51,0.08,0.79,-0.31,1.40
270,-9.72,-0.58,0.16,0.55,-0.43,1.40
280,-9.54,-0.53,-0.15,-0.12,-0.61,1.34
290,-9.90,-0.51,-0.42,0.43,-0.43,1.40
300,-9.75,-0.47,0.20,0.73,-0.31,1.34
310,-9.94,-0.43,0.10,0.18,-0.43,1.22
320,-10.06,-0.48,-0.36,-0.43,-0.73,1.28
330,-9.77,-0.69,-0.47,0.00,-0.55,1.40
340,-10.00,-0.48,0.01,0.67,-0.31,1.34
350,-9.77,-0.43,0.22,0.73,-0.31,1.34
360,-9.80,-0.57,-0.08,-0.24,-0.73,1.22
370,-9.75,-0.50,-0.28,0.49,-0.43,1.28
380,-9.59,-0.69,0.07,0.92,-0.18,1.34
390,-9.78,-0.47,0.21,0.24,-0.37,1.34
400,-9.67,-0.61,-0.24,-0.49,-0.85,1.16
410,-9.86,-0.55,-0.45,-0.12,-0.67,1.16
420,-9.58,-0.70,-0.19,0.55,-0.24,1.10
430,-9.80,-0.48,0.00,0.06,-0.55,1.22
440,-9.82,-0.55,-0.40,-0.31,-0.79,1.28
450,-9.60,-0.66,-0.46,0.12,-0.55,1.28
460,-9.83,-0.50,0.11,0.85,-0.43,1.16
470,-9.71,-0.55,0.19,0.61,-0.55,1.34
480,-9.78,-0.48,-0.17,-0.18,-0.43,1.22
490,-9.78,-0.60,-0.48,-0.24,-0.49,1.28
500,-9.74,-0.50,0.16,0.79,-0.24,1.10
510,-9.87,-0.50,0.03,0.18,-0.37,1.22
520,-9.93,-0.53,-0.34,-0.31,-0.61,1.46
530,-9.83,-0.59,-0.36,0.06,-0.49,1.40
540,-9.93,-0.53,-0.04,0.79,-0.31,1.34
550,-9.84,-0.44,0.15,0.73,-0.31,1.28
560,-9.68,-0.55,-0.03,-0.31,-0.73,1.34
570,-9.68,-0.54,-0.34,0.43,-0.43,1.34
580,-9.60,-0.65,0.08,0.79,-0.31,1.22
590,-9.83,-0.43,0.25,0.43,-0.49,1.28
600,-9.90,-0.57,-0.26,-0.24,-0.61,1.34
610,-9.76,-0.69,-0.56,-0.12,-0.73,1.28
620,-9.59,-0.61,-0.10,0.67,-0.49,1.34
630,-9.78,-0.56,-0.01,0.06,-0.67,1.40
640,-9.71,-0.57,-0.45,-0.37,-0.85,1.40
650,-9.64,-0.58,-0.33,0.18,-0.55,1.28
660,-9.81,-0.57,0.08,0.67,-0.12,1.28
670,-9.78,-0.53,0.14,0.49,-0.43,1.28
680,-9.58,-0.46,-0.14,-0.06,-0.61,1.40
690,-9.93,-0.59,-0.43,-0.24,-0.67,1.40
700,-9.53,-0.40,0.18,0.85,-0.31,1.40
710,-9.90,-0.45,0.11,0.24,-0.43,1.28
720,-9.98,-0.56,-0.34,-0.31,-0.79,1.40
730,-9.90,-0.67,-0.49,0.12,-0.61,1.40
740,-10.12,-0.40,-0.00,0.79,-0.43,1.34
750,-9.75,-0.49,0.19,0.61,-0.37,1.28
760,-9.85,-0.58,-0.06,-0.12,-0.67,1.22
770,-9.64,-0.55,-0.31,0.37,-0.43,1.40
780,-9.60,-0.71,0.10,0.92,-0.18,1.46
790,-9.86,-0.41,0.25,0.49,-0.37,1.40
800,-9.72,-0.55,-0.26,-0.18,-0.73,1.46
810,-9.81,-0.64,-0.50,-0.31,-0.73,1.34
820,-9.45,-0.69,-0.14,0.61,-0.43,1.28
830,-9.79,-0.51,0.30,0.12,-0.49,1.28
840,-9.71,-0.64,-0.43,-0.37,-0.79,1.22
850,-9.76,-0.62,-0.35,0.06,-0.61,1.22
860,-9.94,-0.45,0.09,0.67,-0.37,1.22
870,-9.75,-0.58,0.13,0.43,-0.24,1.40
880,-9.69,-0.51,-0.13,-0.18,-0.55,1.34
890,-9.92,-0.53,-0.43,-0.18,-0.73,1.34
900,-9.89,-0.68,0.04,0.85,-0.24,1.40
910,-9.94,-0.44,0.13,0.37,-0.43,1.34
920,-9.92,-0.46,-0.34,-0.37,-0.73,1.34
930,-9.75,-0.69,-0.44,0.06,-0.67,1.46
940,-9.97,-0.51,-0.03,0.73,-0.12,1.40
950,-9.78,-0.40,0.22,0.85,-0.24,1.34
960,-9.74,-0.56,-0.04,0.06,-0.61,1.40
970,-9.63,-0.55,-0.34,0.37,-0.55,1.28
980,-9.72,-0.58,0.09,0.92,-0.37,1.22
990,-9.85,-0.47,0.21,0.55,-0.37,1.46
