timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.44,-0.71,0.30,1.40,0.12,1.34
10,-9.77,-0.47,-0.29,-0.79,-0.79,1.22
20,-9.77,-0.50,-1.05,-0.67,-0.98,1.28
30,-9.80,-0.63,-0.37,0.85,-0.12,1.46
40,-9.86,-0.56,0.59,1.28,0.18,1.40
50,-9.73,-0.57,0.20,0.31,-0.31,1.16
60,-9.79,-0.39,-0.61,-1.10,-0.85,1.22
70,-9.77,-0.54,-0.74,1.16,-0.37,1.34
80,-9.96,-0.35,0.48,1.10,-0.12,1.34
90,-9.99,-0.41,0.04,-0.43,-0.67,1.22
100,-9.64,-0.53,-0.82,-1.10,-0.92,1.22
110,-9.80,-0.65,-0.54,0.43,-0.55,1.28
120,-9.91,-0.57,0.21,1.28,0.00,1.40
130,-9.94,-0.46,0.55,0.55,-0.12,1.10
140,-9.76,-0.64,-0.70,-0.43,-0.92,1.28
150,-9.65,-0.35,-0.36,1.04,-0.24,1.22
160,-9.74,-0.76,0.70,1.46,-0.12,1.28
170,-9.38,-0.67,0.27,-0.18,-0.67,1.22
180,-9.78,-0.39,-0.83,-1.10,-0.98,1.22
190,-9.83,-0.54,-0.82,0.12,-0.79,1.40
200,-9.47,-0.63,0.31,1.53,-0.12,1.28
210,-9.82,-0.48,-0.37,-0.79,-0.92,1.22
220,-9.75,-0.51,-1.08,-0.98,-1.16,1.10
230,-9.75,-0.76,-0.29,0.85,-0.43,1.34
240,-9.91,-0.41,0.66,1.59,0.18,1.16
250,-9.78,-0.58,0.20,0.18,-0.43,1.28
260,-9.80,-0.47,-0.64,-1.10,-1.10,1.22
270,-9.73,-0.51,-0.79,-0.37,-0.31,1.16
280,-10.05,-0.29,0.60,1.28,-0.06,1.28
290,-9.90,-0.45,0.08,-0.61,-0.61,1.28
300,-9.72,-0.55,-0.91,-1.22,-1.22,1.16
310,-9.82,-0.68,-0.67,0.37,-0.67,1.16
320,-9.80,-0.61,0.34,1.53,-0.18,1.34
330,-9.91,-0.49,0.74,0.49,-0.12,1.22
340,-9.68,-0.65,-0.44,-0.79,-1.04,1.28
350,-9.75,-0.32,-0.36,1.10,-0.18,1.22
360,-9.73,-0.81,0.77,1.65,0.06,1.28
370,-9.43,-0.64,0.28,-0.06,-0.61,1.40
380,-9.85,-0.39,-0.85,-1.34,-1.10,1.34
390,-9.80,-0.57,-0.88,-0.06,-0.55,1.34
400,-9.43,-0.67,0.31,1.65,0.06,1.22
410,-9.88,-0.52,-0.23,-0.85,-1.04,1.16
420,-9.76,-0.56,-1.05,-1.10,-1.28,1.16
430,-9.76,-0.84,-0.39,0.79,-0.49,1.40
440,-9.96,-0.42,0.57,1.59,-0.06,1.40
450,-9.95,-0.49,0.28,0.24,-0.31,1.34
460,-9.79,-0.51,-0.57,-1.16,-1.04,1.28
470,-9.75,-0.53,-0.82,-0.55,-0.92,1.22
