timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.80,-0.45,-1.05,-0.73,-0.85,1.22
10,-9.62,-0.31,-0.31,1.22,-0.12,1.28
20,-9.68,-0.69,0.32,-0.37,-0.73,1.16
30,-9.85,-0.41,-0.89,-1.53,-1.16,1.16
40,-9.81,-0.57,-0.93,-0.06,-0.55,1.16
50,-9.42,-0.60,0.35,1.71,-0.06,1.22
60,-9.79,-0.57,0.84,0.98,-0.06,1.22
70,-9.96,-0.41,-0.27,-0.98,-0.85,1.22
80,-9.72,-0.57,-1.22,-1.28,-1.10,1.22
90,-9.88,-0.44,0.70,1.77,0.06,1.28
100,-9.98,-0.51,0.38,0.37,-0.49,1.28
110,-9.78,-0.53,-0.68,-1.40,-0.98,1.34
120,-9.84,-0.52,-0.91,-0.79,-0.79,1.40
130,-9.66,-0.80,-0.13,1.34,-0.12,1.22
140,-9.97,-0.37,0.66,1.34,0.06,1.16
150,-9.74,-0.40,0.22,-1.28,-1.28,1.28
160,-9.74,-0.73,-0.74,0.24,-0.79,1.34
170,-9.94,-0.70,0.29,1.65,0.00,1.28
180,-9.90,-0.46,0.76,0.85,-0.18,1.10
190,-9.79,-0.61,-0.34,-1.10,-1.04,1.16
200,-9.91,-0.48,-1.04,-1.04,-1.04,1.34
210,-9.71,-0.39,-0.43,0.79,-0.43,1.46
220,-9.76,-0.79,0.71,-0.24,-0.43,1.16
230,-9.79,-0.35,-0.74,-1.28,-1.22,1.28
240,-9.83,-0.54,-0.88,-0.12,-0.92,1.34
250,-9.44,-0.71,0.22,1.40,-0.06,1.22
260,-9.82,-0.62,0.72,0.79,-0.06,1.34
270,-9.95,-0.43,-0.19,-0.67,-0.73,1.28
280,-9.70,-0.52,-1.01,-1.04,-0.98,1.22
290,-9.80,-0.56,0.55,1.34,-0.18,1.40
300,-9.80,-0.51,0.23,0.24,-0.55,1.40
310,-9.72,-0.40,-0.56,-1.04,-0.92,1.16
320,-9.74,-0.51,-0.73,-0.24,-0.73,1.22
330,-9.58,-0.82,-0.11,1.10,-0.31,1.28
340,-9.91,-0.46,0.51,0.92,-0.12,1.46
350,-9.91,-0.40,0.05,-0.37,-0.61,1.22
360,-9.78,-0.65,-0.54,0.37,-0.67,1.34
370,-9.88,-0.64,0.24,1.46,-0.06,1.22
380,-9.87,-0.59,0.53,0.31,-0.18,1.22
390,-9.76,-0.62,-0.37,-0.92,-0.85,1.16
400,-9.84,-0.39,-0.87,-0.55,-1.04,1.16
410,-9.71,-0.36,-0.31,1.10,-0.55,1.28
420,-9.81,-0.77,0.66,-0.18,-0.73,1.22
430,-9.83,-0.37,-0.79,-1.22,-1.22,1.16
440,-9.81,-0.52,-0.79,0.00,-0.73,1.16
450,-9.46,-0.61,0.36,1.40,-0.06,1.22
460,-9.79,-0.62,0.68,0.85,-0.37,1.10
470,-9.93,-0.47,-0.37,-0.85,-0.98,1.10
480,-9.68,-0.53,-1.07,-0.85,-1.10,1.28
490,-9.80,-0.71,-0.25,1.40,-0.12,1.28
500,-9.89,-0.54,0.22,-0.12,-0.55,1.34
510,-9.77,-0.51,-0.67,-1.22,-1.10,1.34
520,-9.75,-0.50,-0.79,-0.37,-0.85,1.16
530,-9.65,-0.75,-0.06,1.28,-0.12,1.22
540,-10.04,-0.32,0.62,1.10,-0.06,1.22
550,-9.85,-0.46,0.11,-0.61,-0.79,1.28
560,-9.71,-0.68,-0.67,0.43,-0.79,1.28
570,-9.91,-0.64,0.39,1.71,-0.06,1.28
580,-9.92,-0.50,0.72,0.61,-0.24,1.16
590,-9.74,-0.66,-0.46,-1.22,-0.98,1.22
600,-9.79,-0.47,-1.08,-0.98,-0.92,1.28
610,-9.71,-0.33,-0.35,1.22,-0.18,1.34
620,-9.75,-0.76,0.81,1.65,-0.73,1.10
630,-9.83,-0.39,-0.84,-1.46,-1.22,1.28
640,-9.79,-0.58,-0.93,-0.12,-0.55,1.34
650,-9.39,-0.76,0.37,1.59,-0.06,1.46
660,-9.86,-0.50,0.80,0.98,-0.12,1.34
670,-9.97,-0.39,-0.20,-0.98,-0.85,1.16
680,-9.73,-0.60,-1.14,-1.16,-1.16,1.28
690,-9.79,-0.79,-0.42,1.59,0.06,1.28
700,-9.92,-0.49,0.36,0.31,-0.31,1.34
710,-9.76,-0.50,-0.59,-1.10,-1.04,1.34
720,-9.78,-0.54,-0.85,-0.55,-0.79,1.28
730,-9.66,-0.80,-0.12,1.34,-0.12,1.28
740,-9.95,-0.42,0.60,1.34,0.00,1.28
750,-9.87,-0.38,0.21,-0.43,-0.73,1.16
760,-9.64,-0.49,-0.81,0.12,-0.73,1.28
770,-9.98,-0.71,0.21,1.53,-0.24,1.46
780,-9.87,-0.49,0.62,0.73,-0.24,1.22
790,-9.79,-0.57,-0.33,-0.79,-0.92,1.22
800,-9.87,-0.44,-0.92,-0.79,-1.04,1.28
810,-9.69,-0.43,-0.42,0.85,-0.37,1.28
