timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-10.01,-0.49,0.53,1.22,-0.12,1.22
10,-9.80,-0.44,0.27,-1.28,-1.16,1.10
20,-9.77,-0.68,-0.76,0.06,-0.67,1.28
30,-9.61,-0.80,0.22,1.40,-0.06,1.28
40,-9.76,-0.55,0.74,0.61,-0.24,1.10
50,-9.68,-0.58,-0.32,-0.92,-0.85,1.28
60,-9.76,-0.46,-1.00,-0.61,-0.92,1.28
70,-9.78,-0.34,-0.35,0.85,-0.31,1.28
80,-9.71,-0.84,0.08,-0.06,-0.55,1.10
90,-9.83,-0.35,-0.74,-1.04,-0.98,1.16
100,-9.82,-0.50,-0.77,-0.31,-0.79,1.34
110,-9.49,-0.77,0.25,1.34,-0.24,1.22
120,-9.90,-0.53,0.57,0.92,0.00,1.28
130,-10.00,-0.34,-0.21,-0.73,-0.61,1.28
140,-9.69,-0.51,-0.94,-0.98,-0.92,1.16
150,-10.05,-0.45,0.45,1.40,0.00,1.40
160,-10.04,-0.43,0.29,0.24,-0.31,1.28
170,-9.75,-0.63,-0.53,-0.92,-0.79,1.16
180,-9.75,-0.48,-0.75,-0.43,-0.92,1.40
190,-9.87,-0.51,-0.13,1.16,-0.31,1.40
200,-10.00,-0.52,0.53,1.22,-0.12,1.40
210,-9.63,-0.53,0.22,-0.43,-0.98,1.28
220,-9.81,-0.61,-0.77,0.43,-0.67,1.28
230,-9.57,-0.81,0.26,1.59,0.00,1.40
240,-9.82,-0.62,0.79,0.49,-0.24,1.46
250,-9.78,-0.58,-0.37,-0.98,-0.98,1.40
260,-9.73,-0.51,-1.10,-0.73,-0.85,1.28
270,-9.67,-0.42,-0.29,0.98,-0.31,1.22
280,-9.64,-0.75,0.80,-0.06,-0.55,1.16
290,-9.77,-0.40,-0.79,-1.16,-0.98,1.16
300,-9.81,-0.54,-0.82,0.00,-0.67,1.40
310,-9.61,-0.84,0.21,1.46,-0.06,1.28
320,-9.92,-0.35,0.59,0.98,-0.06,1.28
330,-10.01,-0.38,-0.11,-0.79,-0.79,1.34
340,-9.77,-0.57,-0.99,-1.10,-0.92,1.16
350,-9.84,-0.67,0.45,1.71,-0.06,1.46
360,-10.04,-0.42,0.52,0.55,-0.31,1.34
370,-9.73,-0.66,-0.46,-1.22,-1.22,1.34
380,-9.75,-0.47,-0.93,-0.73,-1.04,1.46
390,-9.77,-0.48,-0.30,1.34,-0.31,1.40
400,-9.86,-0.61,0.67,1.40,-0.06,1.28
410,-9.52,-0.58,0.34,-0.12,-0.61,1.16
420,-9.85,-0.62,-0.86,0.06,-0.67,1.34
430,-9.47,-0.85,0.27,1.53,0.00,1.34
440,-9.68,-0.60,0.82,0.85,-0.12,1.28
450,-9.81,-0.49,-0.32,-0.98,-0.79,1.22
460,-9.76,-0.50,-1.14,-0.85,-1.10,1.40
470,-9.61,-0.67,-0.36,0.98,-0.55,1.22
480,-9.80,-0.58,0.71,1.65,-0.49,1.40
490,-9.81,-0.39,-0.71,-1.04,-1.16,1.34
500,-9.82,-0.48,-0.79,-0.37,-0.73,1.40
510,-9.58,-0.98,0.09,1.34,-0.06,1.40
520,-10.07,-0.30,0.53,1.10,-0.12,1.34
530,-10.02,-0.37,-0.01,-0.43,-0.79,1.34
540,-9.71,-0.52,-0.88,-1.10,-1.16,1.40
550,-9.79,-0.70,-0.47,1.40,0.00,1.16
560,-9.96,-0.41,0.52,0.49,-0.24,1.22
570,-9.71,-0.64,-0.41,-0.85,-0.92,1.28
580,-9.73,-0.46,-0.88,-0.49,-0.92,1.28
590,-9.81,-0.44,-0.31,1.10,-0.18,1.22
600,-9.75,-0.79,0.64,1.40,0.00,1.40
610,-9.50,-0.61,0.30,-0.12,-0.55,1.40
620,-9.75,-0.41,-0.81,0.00,-0.55,1.22
630,-9.36,-0.78,0.24,1.34,-0.12,1.28
640,-9.65,-0.66,0.76,0.61,0.00,1.40
650,-9.88,-0.44,-0.35,-0.92,-0.79,1.34
660,-9.79,-0.49,-1.06,-0.85,-1.22,1.34
670,-9.64,-0.77,-0.28,0.85,-0.61,1.34
680,-9.91,-0.44,0.68,1.28,-0.12,1.22
690,-9.77,-0.42,-0.71,-1.22,-0.98,1.28
700,-9.78,-0.50,-0.70,-0.12,-0.92,1.28
710,-9.65,-0.90,0.07,1.34,-0.24,1.34
720,-10.10,-0.34,0.48,0.98,-0.24,1.34
730,-9.98,-0.41,-0.02,-0.61,-0.79,1.34
740,-9.68,-0.51,-0.85,-1.04,-1.10,1.28
750,-9.79,-0.69,-0.51,0.43,-0.12,1.40
760,-9.99,-0.39,0.54,0.43,-0.24,1.34
770,-9.78,-0.67,-0.42,-1.04,-0.79,1.22
780,-9.75,-0.48,-0.92,-0.55,-0.85,1.34
790,-9.79,-0.37,-0.29,1.16,-0.18,1.46
800,-9.77,-0.71,0.70,1.40,0.06,1.28
810,-9.45,-0.62,0.30,-0.24,-0.73,1.28
820,-9.75,-0.38,-0.81,0.00,-0.49,1.28
830,-9.45,-0.66,0.30,1.53,-0.06,1.53
840,-9.69,-0.63,0.76,0.92,-0.18,1.40
850,-9.91,-0.43,-0.36,-0.67,-0.98,1.22
860,-9.74,-0.53,-1.11,-0.92,-0.98,1.28
870,-9.66,-0.86,-0.31,0.79,-0.37,1.22
880,-9.94,-0.38,0.63,1.46,-0.18,1.28
890,-9.76,-0.58,-0.63,-1.22,-0.79,1.16
900,-9.79,-0.49,-0.77,-0.37,-0.73,1.34
910,-9.73,-0.79,-0.08,1.28,-0.12,1.40
920,-10.13,-0.31,0.53,1.28,0.06,1.28
930,-9.82,-0.45,0.13,-0.49,-0.55,1.28
940,-9.73,-0.50,-0.87,-1.28,-1.10,1.28
950,-9.87,-0.71,-0.69,0.24,-0.49,1.40
960,-9.97,-0.45,0.73,0.61,-0.31,1.16
970,-9.75,-0.62,-0.43,-0.98,-0.98,1.22
980,-9.75,-0.46,-1.05,-0.67,-0.85,1.28
990,-9.76,-0.35,-0.30,0.98,-0.18,1.34
