timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.50,-0.59,0.27,-1.34,-1.04,1.22
10,-9.79,-0.61,-0.88,0.00,-0.55,1.16
20,-9.57,-0.59,0.37,1.40,-0.06,1.22
30,-9.65,-0.69,0.75,0.67,-0.18,1.22
40,-10.00,-0.46,-0.34,-0.85,-0.85,1.22
50,-9.80,-0.52,-1.09,-1.04,-1.04,1.22
60,-9.72,-0.79,-0.29,0.92,-0.31,1.22
70,-9.93,-0.35,0.63,0.12,-0.55,1.22
80,-9.63,-0.45,-0.67,-1.34,-1.10,1.16
90,-9.74,-0.53,-0.82,-0.37,-0.92,1.22
100,-9.65,-0.80,-0.12,1.16,-0.18,1.22
110,-9.99,-0.37,0.59,1.10,-0.12,1.16
120,-9.99,-0.45,0.11,-0.67,-0.79,1.16
130,-9.66,-0.50,-0.90,-1.22,-1.16,1.04
140,-9.74,-0.69,0.29,1.59,-0.18,1.16
150,-9.76,-0.51,0.70,0.55,-0.37,1.28
160,-9.74,-0.58,-0.41,-1.16,-1.04,1.22
170,-9.89,-0.44,-0.99,-0.85,-1.10,1.40
180,-9.66,-0.33,-0.35,1.04,-0.37,1.34
190,-9.80,-0.77,0.75,1.59,0.00,1.28
200,-9.44,-0.60,0.28,0.00,-0.55,1.22
210,-9.85,-0.59,-0.82,-0.06,-0.67,1.34
220,-9.58,-0.61,0.29,1.40,-0.18,1.28
230,-9.66,-0.69,0.66,0.98,-0.12,1.16
240,-9.97,-0.40,-0.24,-0.73,-0.73,1.34
250,-9.74,-0.54,-0.97,-0.98,-0.98,1.28
260,-9.73,-0.79,-0.33,0.61,-0.43,1.28
270,-9.95,-0.46,0.50,0.18,-0.43,1.16
280,-9.62,-0.43,-0.57,-1.28,-1.04,1.22
290,-9.75,-0.51,-0.76,-0.31,-0.85,1.16
300,-9.74,-0.76,-0.14,1.22,-0.37,1.28
310,-9.96,-0.44,0.51,1.16,-0.12,1.10
320,-9.96,-0.48,0.10,-0.37,-0.73,1.16
330,-9.72,-0.48,-0.82,-1.10,-1.10,1.16
340,-9.78,-0.65,-0.59,1.40,-0.18,1.34
350,-9.79,-0.59,0.58,0.43,-0.24,1.28
360,-9.75,-0.60,-0.38,-1.04,-0.85,1.28
370,-9.84,-0.41,-0.93,-0.61,-0.98,1.22
380,-9.57,-0.34,-0.33,0.98,-0.37,1.22
390,-9.80,-0.77,0.73,1.28,-0.06,1.10
400,-9.48,-0.67,0.22,-0.24,-0.43,1.16
410,-9.80,-0.54,-0.77,0.00,-0.79,1.10
420,-9.56,-0.65,0.42,1.53,-0.18,1.28
430,-9.77,-0.66,0.62,0.98,-0.18,1.40
440,-10.07,-0.43,-0.34,-0.67,-0.98,1.16
450,-9.70,-0.53,-1.03,-0.98,-1.10,1.22
460,-9.73,-0.79,-0.28,0.85,-0.55,1.34
470,-9.96,-0.43,0.52,1.53,-0.12,1.28
480,-9.63,-0.52,-0.61,-1.34,-0.85,1.22
490,-9.71,-0.50,-0.78,-0.55,-0.79,1.34
500,-9.63,-0.68,-0.09,1.34,-0.18,1.28
510,-10.02,-0.39,0.62,1.40,0.00,1.16
520,-9.94,-0.47,0.10,-0.55,-0.67,1.16
530,-9.82,-0.52,-0.91,-1.34,-1.04,1.22
540,-9.78,-0.67,-0.71,1.65,0.06,1.22
550,-9.84,-0.61,0.73,0.61,-0.24,1.16
560,-9.77,-0.61,-0.43,-1.04,-1.04,1.28
570,-9.83,-0.44,-1.05,-0.92,-0.98,1.40
580,-9.65,-0.39,-0.25,0.98,-0.24,1.34
590,-9.85,-0.65,0.81,1.40,0.06,1.34
600,-9.38,-0.60,0.28,-0.18,-0.61,1.34
610,-9.78,-0.33,-0.78,-0.31,-0.85,1.40
620,-9.42,-0.85,0.28,1.40,-0.18,1.22
630,-9.89,-0.46,0.67,0.98,-0.18,1.16
640,-10.05,-0.40,-0.14,-0.79,-0.92,1.22
650,-9.71,-0.59,-1.10,-1.16,-1.16,1.10
660,-9.82,-0.73,-0.41,0.61,-0.43,1.28
670,-9.93,-0.46,0.55,1.59,0.12,1.28
680,-9.94,-0.55,-0.55,-1.28,-1.10,1.04
690,-9.76,-0.49,-0.88,-0.67,-0.85,1.16
700,-9.76,-0.61,-0.15,1.22,-0.18,1.22
710,-9.91,-0.55,0.66,1.40,0.00,1.28
720,-9.76,-0.42,0.23,-0.31,-0.67,1.10
730,-9.75,-0.46,-0.83,-1.22,-1.22,1.16
740,-9.73,-0.70,-0.77,0.06,-0.06,1.40
750,-9.71,-0.62,0.71,0.73,-0.12,1.22
760,-9.72,-0.50,-0.27,-0.79,-0.92,1.40
770,-9.91,-0.47,-0.98,-0.98,-0.85,1.22
780,-9.67,-0.51,-0.36,0.79,-0.37,1.16
790,-9.83,-0.62,0.69,1.46,-0.06,1.22
800,-9.54,-0.55,0.31,0.06,-0.49,1.22
810,-9.74,-0.38,-0.66,-0.12,-0.73,1.40
820,-9.50,-0.85,0.19,1.22,-0.12,1.34
830,-9.83,-0.55,0.58,1.10,-0.18,1.22
840,-10.08,-0.41,-0.14,-0.67,-0.85,1.22
850,-9.65,-0.52,-0.91,-1.10,-1.04,1.40
860,-9.79,-0.72,-0.35,0.43,-0.61,1.16
870,-10.00,-0.53,0.42,1.46,-0.12,1.16
880,-9.92,-0.45,-0.59,-1.10,-0.98,1.04
890,-9.73,-0.45,-0.74,-0.43,-0.98,1.10
900,-9.69,-0.58,-0.26,1.04,-0.43,1.22
910,-9.92,-0.59,0.55,1.10,-0.12,1.22
920,-9.64,-0.52,0.22,-0.49,-0.67,1.10
930,-9.84,-0.45,-0.77,-1.10,-1.22,1.10
940,-9.79,-0.61,-0.73,0.18,-0.73,1.22
950,-9.76,-0.70,0.65,0.61,-0.24,1.22
960,-9.82,-0.55,-0.35,-0.85,-0.85,1.22
970,-9.85,-0.45,-1.00,-0.73,-0.92,1.16
980,-9.60,-0.54,-0.26,0.98,-0.37,1.22
990,-9.78,-0.59,0.76,1.34,-0.12,1.22
