timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-10.01,-0.48,0.48,1.59,0.06,1.28
10,-9.92,-0.42,0.47,0.43,-0.37,1.28
20,-9.66,-0.59,-0.51,-1.34,-1.22,1.28
30,-9.73,-0.48,-0.89,-0.67,-1.10,1.28
40,-9.66,-0.55,0.67,1.40,0.18,1.28
50,-9.68,-0.51,0.28,-0.31,-0.61,1.28
60,-9.78,-0.46,-0.85,-1.16,-1.16,1.22
70,-9.82,-0.65,-0.79,0.18,-0.79,1.22
80,-9.66,-0.78,0.30,1.59,-0.06,1.22
90,-9.68,-0.65,0.73,0.92,-0.24,1.22
100,-9.81,-0.49,-0.35,-0.79,-0.98,1.16
110,-9.71,-0.60,-0.33,0.92,-0.18,1.16
120,-9.85,-0.58,0.68,1.53,0.12,1.16
130,-9.58,-0.55,0.21,-0.06,-0.43,1.22
140,-9.72,-0.37,-0.68,-1.34,-1.10,1.22
150,-9.79,-0.51,-0.77,-0.24,-0.85,1.16
160,-9.58,-0.92,0.11,1.40,-0.18,1.16
170,-9.94,-0.39,0.50,-0.67,-0.79,1.10
180,-9.69,-0.52,-0.90,-0.98,-0.98,1.16
190,-9.73,-0.68,-0.42,0.49,-0.55,1.34
200,-9.93,-0.55,0.33,1.46,-0.06,1.22
210,-9.93,-0.41,0.45,0.43,-0.43,1.16
220,-9.65,-0.61,-0.45,-1.04,-0.98,0.98
230,-9.73,-0.46,-0.83,-0.49,-0.92,1.28
240,-9.71,-0.46,-0.29,1.28,-0.18,1.22
250,-9.54,-0.60,0.24,-0.18,-0.61,1.16
260,-9.79,-0.43,-0.80,-0.98,-1.10,1.10
270,-9.84,-0.56,-0.75,0.12,-0.79,1.16
280,-9.54,-0.75,0.33,1.53,-0.06,1.28
290,-9.66,-0.72,0.71,0.61,-0.31,1.22
300,-9.90,-0.49,-0.39,-1.04,-0.98,1.22
310,-9.83,-0.62,-0.27,0.92,-0.18,1.28
320,-9.79,-0.53,0.74,1.53,0.06,1.34
330,-9.65,-0.55,0.20,0.06,-0.67,1.16
340,-9.63,-0.41,-0.77,-1.22,-1.16,1.34
350,-9.76,-0.54,-0.74,-0.18,-0.79,1.34
360,-9.68,-0.84,0.17,1.34,-0.24,1.34
370,-9.95,-0.38,0.51,1.04,-0.06,1.10
380,-9.78,-0.54,-0.91,-0.98,-0.85,1.16
390,-9.75,-0.70,-0.45,0.37,-0.55,1.34
400,-9.90,-0.54,0.33,1.40,-0.06,1.22
410,-9.89,-0.46,0.55,0.49,-0.18,1.34
420,-9.67,-0.63,-0.43,-1.04,-0.92,1.22
430,-9.75,-0.46,-0.91,-0.73,-0.98,1.28
440,-9.63,-0.41,-0.30,1.22,-0.12,1.40
450,-9.52,-0.58,0.29,-0.31,-0.55,1.22
460,-9.78,-0.37,-0.85,-1.16,-1.04,1.22
470,-9.85,-0.62,-0.86,0.18,-0.55,1.22
480,-9.59,-0.64,0.34,1.65,0.00,1.34
490,-9.67,-0.64,0.76,0.85,-0.18,1.28
500,-9.97,-0.43,-0.35,-0.92,-0.92,1.10
510,-9.77,-0.53,-1.12,0.92,-0.49,1.34
520,-9.93,-0.35,0.69,1.65,0.00,1.22
530,-9.64,-0.57,0.26,0.12,-0.55,1.34
540,-9.67,-0.45,-0.67,-1.28,-1.10,1.22
550,-9.76,-0.50,-0.80,-0.37,-0.79,1.22
560,-9.68,-0.82,-0.02,1.22,-0.12,1.28
