timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.56,-0.68,0.28,1.40,-0.24,1.34
10,-9.69,-0.64,0.73,0.79,-0.12,1.16
20,-9.94,-0.39,-0.28,-0.98,-1.22,1.16
30,-9.72,-0.77,-0.32,0.61,-0.61,1.28
40,-9.90,-0.43,0.62,1.34,0.00,1.40
50,-9.72,-0.55,0.23,0.31,-0.55,1.34
60,-9.67,-0.40,-0.60,-1.16,-1.10,1.16
70,-9.80,-0.54,-0.75,-0.49,-0.85,1.22
80,-9.70,-0.87,-0.03,1.22,-0.24,1.22
90,-9.98,-0.40,0.05,-0.49,-0.79,1.10
100,-9.69,-0.49,-0.81,-1.10,-1.10,1.34
110,-9.66,-0.71,-0.50,0.24,-0.49,1.34
120,-9.89,-0.63,0.25,1.28,-0.12,1.40
130,-9.94,-0.46,0.53,0.49,-0.37,1.28
140,-9.72,-0.64,-0.41,-0.92,-1.04,1.28
150,-9.81,-0.45,-0.84,-0.67,-0.98,1.34
160,-9.79,-0.80,0.68,1.10,-0.18,1.28
170,-9.45,-0.66,0.20,-0.37,-0.79,1.22
180,-9.81,-0.38,-0.78,-1.16,-1.16,1.10
190,-9.85,-0.52,-0.74,0.06,-0.67,1.16
200,-9.53,-0.65,0.35,1.40,-0.12,1.34
210,-9.70,-0.70,0.67,0.73,-0.31,1.28
220,-9.98,-0.46,-0.36,-0.79,-1.10,1.22
230,-9.58,-0.74,-0.25,0.79,-0.49,1.16
240,-9.86,-0.44,0.69,1.34,-0.24,1.16
250,-9.73,-0.60,0.16,-0.06,-0.61,1.22
260,-9.64,-0.46,-0.73,-1.22,-1.04,1.10
270,-9.78,-0.51,-0.72,-0.24,-0.79,1.04
280,-9.66,-0.83,0.14,1.46,-0.18,1.16
290,-9.99,-0.38,0.55,-0.73,-0.79,1.34
300,-9.76,-0.53,-0.91,-1.22,-1.10,1.16
310,-9.77,-0.69,-0.46,0.55,-0.55,1.34
320,-9.98,-0.53,0.38,1.59,-0.06,1.28
330,-9.95,-0.45,0.57,0.37,-0.31,1.46
340,-9.69,-0.66,-0.47,-1.22,-0.98,1.40
350,-9.79,-0.47,-0.91,-0.55,-0.98,1.28
360,-9.63,-0.67,0.79,1.28,-0.12,1.34
370,-9.47,-0.62,0.30,-0.43,-0.67,1.22
380,-9.83,-0.38,-0.84,-1.34,-1.04,1.22
390,-9.82,-0.62,-0.89,-0.12,-0.67,1.22
400,-9.53,-0.60,0.36,1.46,-0.24,1.22
410,-9.67,-0.63,0.81,0.85,-0.24,1.28
420,-10.01,-0.42,-0.32,-0.92,-0.92,1.22
430,-9.66,-0.81,-0.33,0.73,-0.43,1.16
440,-9.91,-0.35,0.74,1.53,0.00,1.22
450,-9.74,-0.59,0.27,0.12,-0.49,1.16
460,-9.71,-0.46,-0.71,-1.28,-0.98,1.22
470,-9.82,-0.49,-0.79,-0.43,-0.79,1.28
480,-9.67,-0.91,0.01,1.46,-0.18,1.28
490,-10.04,-0.35,0.58,-0.49,-0.79,1.34
500,-9.66,-0.49,-0.89,-1.28,-1.16,1.28
510,-9.69,-0.76,-0.61,0.37,-0.79,1.22
520,-9.95,-0.63,0.30,1.46,0.00,1.34
530,-9.86,-0.43,0.64,0.43,-0.24,1.16
540,-9.74,-0.58,-0.39,-1.16,-0.92,1.10
550,-9.87,-0.46,-0.92,-0.79,-0.92,1.22
560,-9.74,-0.34,-0.33,1.46,-0.18,1.22
570,-9.44,-0.59,0.32,0.06,-0.61,1.28
580,-9.76,-0.36,-0.74,-1.16,-1.16,1.28
590,-9.80,-0.59,-0.82,-0.06,-0.92,1.40
600,-9.53,-0.65,0.26,1.46,-0.12,1.28
610,-9.68,-0.68,0.70,0.79,-0.12,1.34
620,-9.95,-0.40,-0.27,-0.73,-0.92,1.28
630,-9.77,-0.76,-0.30,0.61,-0.55,1.34
640,-9.94,-0.42,0.60,1.46,0.00,1.28
650,-9.78,-0.58,0.19,0.12,-0.49,1.34
660,-9.70,-0.41,-0.62,-1.04,-1.10,1.16
670,-9.81,-0.51,-0.69,-0.18,-0.85,1.16
680,-9.77,-0.83,-0.02,1.16,-0.43,1.28
690,-9.96,-0.44,0.46,0.85,-0.12,1.16
700,-9.68,-0.49,-0.78,-1.04,-0.98,1.22
710,-9.68,-0.68,-0.48,0.37,-0.55,1.28
720,-9.94,-0.63,0.26,1.28,0.00,1.34
730,-9.89,-0.48,0.52,0.18,-0.37,1.28
740,-9.73,-0.64,-0.41,-0.98,-0.98,1.22
750,-9.83,-0.43,-0.85,-0.55,-0.92,1.22
760,-9.73,-0.32,-0.27,1.22,-0.06,1.34
770,-9.50,-0.65,0.22,-0.18,-0.92,1.22
780,-9.86,-0.38,-0.80,-0.92,-1.28,1.22
790,-9.86,-0.54,-0.77,0.24,-0.67,1.10
800,-9.50,-0.69,0.37,1.46,0.00,1.28
810,-9.64,-0.73,0.71,0.79,-0.24,1.34
820,-9.94,-0.45,-0.37,-0.98,-0.85,1.22
830,-9.73,-0.52,-1.06,0.92,-0.43,1.34
840,-9.87,-0.44,0.70,1.59,-0.12,1.34
850,-9.66,-0.58,0.20,0.06,-0.55,1.28
860,-9.64,-0.46,-0.71,-1.10,-1.04,1.40
870,-9.77,-0.53,-0.76,-0.24,-0.79,1.28
880,-9.64,-0.83,0.05,1.34,-0.31,1.34
890,-10.01,-0.33,0.60,1.10,-0.24,1.10
900,-9.68,-0.56,-0.94,-1.22,-1.10,1.28
910,-9.82,-0.68,-0.57,0.49,-0.67,1.28
920,-9.87,-0.60,0.37,1.65,0.06,1.46
930,-9.96,-0.48,0.67,0.49,-0.43,1.40
940,-9.72,-0.68,-0.48,-1.34,-1.16,1.28
950,-9.82,-0.43,-0.99,-0.73,-0.98,1.34
960,-9.67,-0.31,-0.31,1.10,0.12,1.16
970,-9.36,-0.65,0.29,-0.18,-0.55,1.16
980,-9.83,-0.34,-0.84,-1.40,-1.16,1.28
990,-9.80,-0.61,-0.88,0.00,-0.67,1.28
