timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.43,-0.61,0.30,-0.12,-0.43,1.28
10,-9.76,-0.39,-0.74,-0.98,-1.16,1.34
20,-9.84,-0.55,-0.82,1.34,-0.12,1.34
30,-9.75,-0.62,0.71,0.85,-0.24,1.34
40,-9.89,-0.39,-0.28,-0.79,-0.61,1.34
50,-9.71,-0.50,-1.05,-0.85,-0.98,1.22
60,-9.69,-0.82,-0.32,0.79,-0.43,1.22
70,-9.96,-0.39,0.65,1.46,-0.06,1.40
80,-9.93,-0.54,0.18,0.12,-0.31,1.28
90,-9.85,-0.49,-0.67,-0.24,-0.98,1.34
100,-9.72,-0.78,-0.00,1.22,-0.24,1.28
110,-10.09,-0.33,0.49,0.98,-0.12,1.34
120,-9.72,-0.50,0.05,-0.49,-0.61,1.40
130,-9.68,-0.51,-0.82,-1.10,-1.22,1.40
140,-9.81,-0.67,-0.62,0.49,-0.61,1.40
150,-9.85,-0.60,0.30,1.65,-0.06,1.40
160,-9.69,-0.66,-0.40,-0.92,-1.04,1.40
170,-9.69,-0.51,-1.06,-0.73,-1.16,1.53
180,-9.70,-0.32,-0.33,1.04,-0.24,1.28
190,-9.59,-0.81,0.82,1.53,0.00,1.22
200,-9.40,-0.68,0.30,-0.31,-0.61,1.34
210,-9.77,-0.42,-0.87,-1.34,-1.10,1.28
220,-9.84,-0.58,-0.88,0.00,-0.12,1.40
230,-9.73,-0.55,0.78,1.10,-0.24,1.28
240,-9.92,-0.38,-0.28,-0.67,-0.92,1.28
250,-9.73,-0.53,-1.13,-1.04,-1.04,1.28
260,-9.74,-0.81,-0.38,0.79,-0.55,1.34
270,-10.01,-0.36,0.58,1.71,0.12,1.34
280,-9.95,-0.50,0.36,0.24,-0.31,1.34
290,-9.83,-0.55,-0.60,-0.49,-0.98,1.34
300,-9.69,-0.67,-0.20,1.34,-0.37,1.28
310,-10.04,-0.40,0.64,1.34,-0.06,1.22
320,-9.62,-0.50,0.26,-0.49,-0.61,1.22
330,-9.71,-0.51,-0.87,-1.34,-0.92,1.34
340,-9.86,-0.70,-0.82,0.12,-0.67,1.28
350,-9.64,-0.80,0.27,1.65,-0.06,1.46
360,-9.84,-0.51,-0.35,-1.04,-0.98,1.10
370,-9.73,-0.48,-1.13,-1.04,-0.98,1.53
380,-9.68,-0.33,-0.39,0.85,-0.31,1.40
390,-9.58,-0.83,0.79,1.59,0.00,1.46
400,-9.50,-0.64,0.28,0.12,-0.67,1.34
410,-9.87,-0.39,-0.79,-1.22,-1.28,1.16
420,-9.87,-0.53,-0.86,-0.24,-0.92,1.46
430,-9.87,-0.54,0.68,1.10,-0.12,1.46
440,-9.97,-0.30,-0.17,-0.73,-0.92,1.28
450,-9.67,-0.50,-1.01,-0.98,-1.10,1.46
460,-9.71,-0.79,-0.40,0.67,-0.61,1.34
470,-10.02,-0.47,0.49,1.65,-0.12,1.34
480,-10.03,-0.43,0.34,0.43,-0.24,1.22
490,-9.81,-0.56,-0.52,-1.10,-0.98,1.28
500,-9.81,-0.58,-0.20,1.28,-0.24,1.28
