timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.76,-0.84,-0.07,1.28,-0.12,1.28
10,-10.18,-0.31,0.52,1.34,-0.12,1.40
20,-9.93,-0.35,0.15,-0.12,-0.73,1.28
30,-9.67,-0.48,-0.83,-1.10,-1.04,1.34
40,-9.82,-0.73,-0.67,0.24,-0.43,1.28
50,-9.96,-0.54,0.30,1.59,0.12,1.28
60,-9.99,-0.44,0.62,-14.77,-1.04,1.28
70,-9.79,-0.46,-0.93,-0.67,-0.98,1.34
80,-9.90,-0.36,-0.34,0.98,-0.49,1.40
90,-9.77,-0.71,0.65,1.46,-0.06,1.46
100,-9.42,-0.64,0.29,0.12,-0.73,1.16
110,-9.73,-0.34,-0.73,-0.98,-1.10,1.28
120,-9.83,-0.52,-0.81,0.06,-0.61,1.40
130,-9.30,-0.79,0.20,0.85,0.00,1.28
140,-9.92,-0.45,-0.29,-0.73,-0.85,1.28
150,-9.79,-0.49,-1.02,-1.16,-0.92,1.28
160,-9.56,-0.87,-0.33,0.73,-0.43,1.40
170,-10.01,-0.42,0.59,1.34,-0.12,1.28
180,-9.69,-0.58,0.19,0.12,-0.55,1.28
190,-9.70,-0.51,-0.61,-1.04,-1.04,1.34
200,-9.70,-0.78,-0.05,1.34,-0.18,1.16
210,-10.16,-0.31,0.48,1.22,0.00,1.40
220,-9.89,-0.45,0.11,-0.55,-0.55,1.28
230,-9.77,-0.50,-0.85,-1.10,-0.98,1.22
240,-9.87,-0.64,-0.68,0.43,-0.55,1.22
250,-9.70,-0.65,0.31,1.59,-0.12,1.34
260,-9.87,-0.58,0.77,0.61,-0.37,1.34
270,-9.76,-0.49,-1.11,-0.79,-0.79,1.34
280,-9.62,-0.35,-0.23,1.10,-0.31,1.40
290,-9.66,-0.74,0.81,1.65,0.12,1.34
300,-9.32,-0.68,0.22,-0.18,-0.61,1.28
310,-9.72,-0.43,-0.86,-1.16,-1.04,1.22
320,-9.79,-0.51,-0.84,-0.06,-0.73,1.28
330,-9.32,-0.81,0.31,0.92,-0.31,1.34
340,-10.01,-0.37,-0.19,-0.85,-0.92,1.34
350,-9.72,-0.58,-1.11,-1.22,-1.16,1.34
360,-9.75,-0.79,-0.46,0.55,-0.61,1.34
370,-10.09,-0.40,0.62,1.65,0.00,1.34
380,-10.01,-0.39,0.45,0.43,-0.43,1.22
390,-9.80,-0.65,-0.56,-1.34,-0.98,1.28
400,-9.75,-0.51,-0.95,1.34,-0.31,1.28
410,-10.01,-0.49,0.64,1.53,-0.06,1.22
420,-9.61,-0.46,0.37,-0.31,-0.67,1.40
430,-9.74,-0.43,-0.83,-1.40,-0.98,1.22
440,-9.79,-0.71,-0.93,0.31,-0.49,1.28
450,-9.43,-0.82,0.25,1.65,0.06,1.28
460,-9.74,-0.56,0.91,0.85,-0.12,1.10
470,-9.83,-0.53,-1.18,-1.16,-1.28,1.28
480,-9.56,-0.60,-0.42,0.73,-0.49,1.28
490,-9.67,-0.71,0.76,1.46,-0.06,1.28
500,-9.44,-0.60,0.31,0.18,-0.49,1.28
510,-9.68,-0.41,-0.71,-1.28,-1.04,1.28
520,-9.81,-0.53,-0.84,-0.55,-0.73,1.34
530,-9.55,-0.91,0.08,1.22,-0.18,1.46
540,-10.00,-0.31,0.02,-0.55,-0.73,1.22
550,-9.65,-0.52,-0.86,-1.16,-1.04,1.22
560,-9.78,-0.77,-0.56,0.55,-0.43,1.22
570,-10.13,-0.48,0.34,1.65,0.00,1.40
580,-10.05,-0.39,0.49,0.61,-0.18,1.34
590,-9.82,-0.61,-0.37,-0.85,-0.92,1.28
600,-9.76,-0.44,-0.86,0.85,-0.43,1.22
610,-9.91,-0.62,0.58,1.22,-0.24,1.28
620,-9.50,-0.59,0.32,-0.18,-0.61,1.28
630,-9.75,-0.35,-0.73,-1.22,-1.10,1.34
640,-9.87,-0.56,-0.81,0.00,-0.79,1.40
650,-9.33,-0.89,0.19,1.40,-0.37,1.28
660,-9.63,-0.71,0.74,0.73,-0.31,1.34
