timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.81,-0.89,1.23,2.44,0.24,1.40
10,-10.18,-0.28,0.61,-0.18,-0.55,1.34
20,-10.09,-0.34,-1.11,-1.83,-1.59,1.40
30,-9.41,-0.75,-1.50,-0.31,-1.10,1.46
40,-9.69,-0.80,0.34,2.20,0.18,1.46
50,-9.73,-0.44,1.36,1.83,0.31,1.28
60,-9.73,-0.43,-0.10,-1.83,-1.28,1.40
70,-9.80,-0.46,-0.83,0.67,-0.49,1.40
80,-9.61,-0.73,1.00,2.62,0.37,1.34
90,-10.05,-0.45,0.99,0.61,-0.06,1.28
100,-9.38,-0.62,-0.70,-2.01,-1.34,1.28
110,-9.93,-0.26,-1.56,-1.22,-1.16,1.34
120,-9.77,-0.81,-0.24,1.95,0.00,1.28
130,-9.93,-0.24,0.48,-0.67,-0.61,1.34
140,-9.93,-0.72,-1.45,-2.20,-1.40,1.34
150,-10.04,-0.49,-1.46,0.06,-0.85,1.53
160,-9.67,-0.75,0.81,2.62,0.43,1.46
170,-9.85,-0.29,1.41,1.34,0.12,1.40
180,-9.16,-0.64,-0.50,-1.65,-1.16,1.34
190,-9.77,-0.54,-1.66,-1.71,-0.18,1.22
200,-9.66,-0.84,1.23,2.62,0.55,1.28
210,-10.13,-0.34,0.76,-0.12,-0.43,1.22
220,-10.12,-0.32,-1.02,-2.20,-1.71,1.40
230,-9.41,-0.70,-1.69,-0.79,-1.16,1.46
240,-9.71,-0.82,0.22,2.32,0.06,1.46
250,-9.72,-0.45,1.43,2.01,0.31,1.40
260,-9.74,-0.39,0.07,-2.01,-1.34,1.59
270,-9.71,-0.56,-0.89,0.67,-0.43,1.46
280,-9.62,-0.71,0.98,2.75,0.31,1.34
290,-10.12,-0.38,1.08,0.61,-0.24,1.10
300,-9.45,-0.52,-0.64,-2.14,-1.46,1.28
310,-9.98,-0.35,-1.55,-1.46,-1.22,1.46
320,-9.81,-0.87,-0.37,1.71,0.00,1.46
330,-9.94,-0.65,0.39,-0.55,-0.55,1.28
340,-9.80,-0.68,-1.35,-2.26,-1.53,1.34
350,-10.10,-0.43,-1.48,-0.18,-0.92,1.28
360,-9.71,-0.82,0.63,2.50,0.24,1.34
370,-9.86,-0.25,1.37,1.53,0.06,1.40
380,-9.05,-0.72,-0.32,-1.46,-1.16,1.22
390,-9.86,-0.45,-1.53,-1.77,-1.40,1.40
400,-9.64,-0.85,1.12,2.62,0.43,1.59
410,-10.10,-0.31,0.81,0.12,-0.24,1.28
420,-10.15,-0.32,-0.92,-2.08,-1.28,1.28
430,-9.41,-0.79,-1.66,-0.73,-1.16,1.34
440,-9.83,-0.80,0.13,2.14,0.06,1.28
450,-9.73,-0.52,1.36,1.95,0.43,1.40
460,-9.90,-0.35,0.12,-1.16,-1.28,1.34
470,-9.69,-0.52,-0.96,0.55,-0.67,1.53
480,-9.51,-0.76,0.88,2.56,0.61,1.40
490,-10.05,-0.42,1.09,0.85,0.06,1.22
500,-9.27,-0.58,-0.61,-1.95,-1.22,1.16
510,-10.08,-0.21,-1.47,-1.28,-1.22,1.34
520,-9.74,-0.82,-0.34,1.77,0.00,1.40
530,-9.90,-0.74,1.28,-0.37,-0.55,1.34
540,-9.88,-0.69,-1.31,-1.95,-1.28,1.28
550,-9.97,-0.46,-1.46,-0.24,-0.73,1.40
560,-9.79,-0.75,0.66,2.44,0.24,1.46
570,-9.85,-0.36,1.38,1.28,0.24,1.40
580,-9.36,-0.54,-0.40,-1.46,-0.98,1.28
590,-9.62,-0.57,-1.61,-1.71,-1.40,1.40
600,-9.55,-0.51,0.99,2.62,0.61,1.34
610,-10.12,-0.42,0.75,0.12,-0.12,1.28
620,-9.97,-0.27,-0.94,-2.20,-1.28,1.28
630,-9.38,-0.60,-1.52,-0.79,-0.92,1.34
640,-9.67,-0.88,0.11,2.20,0.06,1.28
650,-9.80,-0.55,1.35,2.20,0.49,1.40
660,-9.87,-0.35,0.15,-0.98,-0.92,1.40
670,-9.82,-0.50,-1.11,0.49,-0.49,1.40
680,-9.66,-0.69,0.96,2.62,0.61,1.34
690,-10.05,-0.36,1.23,0.79,0.12,1.28
700,-9.09,-0.77,-0.63,-2.01,-1.28,1.28
710,-10.09,-0.25,-1.57,-1.46,-1.46,1.40
720,-9.84,-0.69,-0.39,1.83,-0.18,1.40
730,-9.87,-0.76,1.35,2.44,-0.43,1.28
740,-9.95,-0.60,-1.31,-2.14,-1.53,1.28
750,-9.77,-0.58,-1.66,-0.31,-0.79,1.40
760,-9.67,-0.77,0.60,2.62,0.43,1.34
770,-9.77,-0.32,1.52,1.65,0.18,1.34
