timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.57,-0.85,0.76,2.75,0.43,1.34
10,-10.06,-0.33,1.23,1.04,0.18,1.28
20,-9.69,-0.31,-0.50,-1.89,-1.22,1.28
30,-9.72,-0.47,-1.65,-1.59,-1.40,1.40
40,-9.50,-0.85,-0.49,1.53,-0.06,1.46
50,-9.92,-0.36,0.69,-0.24,-0.55,1.28
60,-9.71,-0.60,-1.19,-2.14,-1.40,1.40
70,-9.94,-0.29,-1.42,-0.43,-0.85,1.28
80,-9.92,-0.86,0.39,2.38,0.24,1.53
90,-9.92,-0.59,1.29,1.59,0.24,1.34
100,-9.30,-0.49,-0.09,-1.28,-1.10,0.98
110,-10.04,-0.28,-1.46,13.79,-0.43,1.40
120,-9.96,-0.72,1.04,2.44,0.37,1.59
130,-10.10,-0.25,0.91,0.31,-0.31,1.34
140,-9.91,-0.24,-0.80,-1.83,-1.40,1.28
150,-9.52,-0.70,-1.56,-0.85,-1.16,1.28
160,-9.81,-0.62,0.13,1.95,0.00,1.46
170,-9.74,-0.57,1.25,1.89,0.24,1.40
180,-9.88,-0.53,0.20,-1.77,-1.40,1.40
190,-10.06,-0.42,-1.00,0.49,-0.55,1.40
200,-9.56,-0.96,0.69,2.44,0.24,1.34
210,-9.85,-0.47,1.17,0.79,0.00,1.34
220,-9.58,-0.42,-0.55,-1.83,-1.22,1.28
230,-9.70,-0.33,-1.61,-1.40,-1.34,1.40
240,-9.47,-0.75,-0.38,1.65,-0.18,1.46
250,-9.76,-0.66,0.57,-0.49,-0.61,1.22
260,-9.67,-0.69,-1.39,-2.26,-1.53,1.34
270,-9.86,-0.27,-1.30,-0.06,-0.85,1.28
280,-9.85,-0.71,0.61,2.50,0.24,1.34
290,-10.00,-0.60,1.27,1.40,0.12,1.34
300,-9.28,-0.55,-0.29,-1.77,-1.10,1.22
310,-10.15,-0.33,-1.60,-1.89,-1.65,1.22
320,-9.88,-0.66,1.22,2.75,0.61,1.46
330,-10.01,-0.31,0.92,0.24,-0.31,1.46
340,-9.92,-0.29,-0.96,-2.32,-1.34,1.46
350,-9.44,-0.80,-1.70,-1.10,-1.16,1.34
360,-9.79,-0.64,0.28,2.20,0.06,1.28
370,-9.68,-0.45,1.46,2.08,0.49,1.40
380,-9.88,-0.58,0.17,-1.10,-1.71,1.40
390,-10.15,-0.48,-1.07,0.37,-0.79,1.53
400,-9.67,-0.88,0.71,2.56,0.37,1.40
410,-9.97,-0.41,1.25,0.92,0.06,1.22
420,-9.43,-0.53,-0.53,-2.08,-1.28,1.34
430,-9.90,-0.33,-1.65,-1.65,-1.28,1.46
440,-9.36,-0.90,-0.55,1.59,-0.06,1.53
450,-9.94,-0.62,1.44,-0.24,-0.55,1.40
460,-9.74,-0.61,-1.31,-2.38,-1.53,1.40
470,-9.61,-0.47,-1.59,-0.49,-0.92,1.46
480,-9.79,-0.74,0.58,2.81,0.43,1.53
490,-9.89,-0.49,1.47,1.89,0.43,1.28
500,-9.33,-0.62,-0.16,-1.46,-0.98,1.28
510,-10.01,-0.43,-1.68,-2.20,-1.71,1.28
520,-9.65,-0.91,1.07,2.87,0.73,1.46
530,-10.14,-0.33,1.11,0.55,-0.06,1.40
540,-10.00,-0.29,-0.76,-2.38,-1.53,1.40
550,-9.59,-0.65,-1.78,-1.40,-1.40,1.28
560,-9.80,-0.72,-0.05,2.08,0.06,1.34
570,-9.74,-0.55,1.44,2.50,0.49,1.53
580,-9.84,-0.37,0.39,-0.92,-0.85,1.28
590,-10.12,-0.56,-1.24,0.06,-0.79,1.34
600,-9.57,-1.05,0.57,2.56,0.31,1.16
610,-9.90,-0.31,1.29,1.34,-0.06,1.22
620,-9.54,-0.40,-0.31,-1.65,-1.22,1.34
630,-9.76,-0.40,-1.60,-1.77,-1.59,1.40
640,-9.39,-0.82,-0.71,1.16,-0.49,1.46
650,-9.94,-0.67,1.25,2.32,-0.31,1.22
660,-9.67,-0.70,-1.09,-2.01,-1.46,1.28
670,-9.79,-0.44,-1.49,-0.73,-0.98,1.34
680,-9.91,-0.71,0.33,2.38,0.24,1.40
690,-9.96,-0.66,1.29,1.95,0.18,1.40
700,-9.40,-0.49,-0.07,-1.28,-1.10,1.53
710,-10.02,-0.25,-1.47,-1.77,-1.46,1.34
720,-9.43,-0.83,-0.96,2.62,0.31,1.46
