timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-10.05,-0.36,0.87,0.67,-0.06,1.16
10,-9.60,-0.28,-0.49,-1.53,-1.16,1.22
20,-9.80,-0.42,-1.29,-0.98,-1.10,1.28
30,-9.79,-0.79,-0.32,1.46,-0.18,1.34
40,-9.64,-0.67,1.01,1.89,0.18,1.46
50,-10.05,-0.46,0.43,-0.43,-0.61,1.28
60,-9.78,-0.37,-1.17,0.06,-0.92,1.28
70,-9.69,-0.97,0.46,2.08,0.06,1.40
80,-9.76,-0.52,1.07,1.10,0.00,1.53
90,-9.47,-0.49,-0.34,-1.22,-1.04,1.28
100,-9.81,-0.44,-1.33,-1.40,-1.16,1.16
110,-9.41,-0.67,-0.42,1.16,-0.12,1.28
120,-9.88,-0.73,0.97,-0.18,-0.31,1.28
130,-9.65,-0.52,-0.90,-1.77,-1.10,1.40
140,-9.56,-0.68,-1.18,-0.49,-0.92,1.34
150,-9.81,-0.60,0.13,1.89,0.12,1.28
160,-9.94,-0.60,1.00,1.53,0.37,1.34
170,-9.69,-0.57,0.08,-0.98,-0.73,1.46
180,-10.00,-0.36,-1.22,-1.71,-1.28,1.53
190,-10.01,-0.48,-0.97,2.32,0.49,1.59
200,-9.97,-0.41,1.03,0.55,-0.06,1.28
210,-9.82,-0.27,-0.60,-1.77,-1.28,1.34
220,-9.70,-0.51,-1.58,-1.04,-1.22,1.40
230,-9.70,-0.81,-0.14,1.71,-0.06,1.40
240,-9.48,-0.71,1.30,2.14,0.37,1.40
250,-10.03,-0.39,0.37,-0.55,-0.61,1.28
260,-9.67,-0.34,-1.03,-0.06,-0.98,1.28
270,-9.91,-0.75,0.56,2.38,0.31,1.28
280,-9.92,-0.60,1.08,1.34,0.24,1.22
290,-9.27,-0.48,-0.29,-1.59,-1.04,1.28
300,-9.92,-0.37,-1.34,-1.71,-1.34,1.34
310,-9.20,-0.87,-0.68,1.16,-0.18,1.40
320,-9.97,-0.65,1.00,2.44,-15.26,1.40
330,-9.92,-0.35,-0.85,-1.89,-1.34,1.40
340,-9.46,-0.82,-1.52,-0.73,-0.98,1.34
350,-9.78,-0.66,0.21,1.83,0.12,1.40
360,-9.73,-0.49,1.22,1.89,0.37,1.34
370,-9.85,-0.57,0.16,-0.98,-0.61,1.22
380,-9.85,-0.45,-1.42,-1.83,-1.28,1.28
390,-10.27,-0.41,-0.97,2.44,0.18,1.28
400,-9.94,-0.44,1.09,0.85,0.06,1.16
410,-9.47,-0.31,-0.50,-1.77,-1.16,1.34
420,-9.75,-0.40,-1.44,-1.53,-1.22,1.53
430,-9.54,-0.94,-0.41,1.46,0.00,1.34
440,-9.64,-0.71,1.19,2.26,0.43,1.40
450,-10.06,-0.25,0.56,-0.31,-0.55,1.28
460,-9.80,-0.59,-1.16,-0.43,-0.98,1.34
470,-9.83,-0.74,0.43,2.26,0.18,1.34
480,-9.86,-0.48,1.16,1.59,0.06,1.40
490,-9.32,-0.55,-0.18,-1.28,-0.85,1.28
500,-9.90,-0.45,-1.31,-1.89,-1.22,1.34
510,-9.37,-0.68,-0.67,0.85,-0.37,1.40
520,-9.91,-0.78,0.93,2.20,0.49,1.28
530,-9.68,-0.32,-0.69,-1.83,-1.22,1.28
540,-9.64,-0.66,-1.31,-0.85,-0.79,1.40
550,-9.95,-0.65,0.01,1.71,0.18,1.34
560,-9.85,-0.54,0.98,2.01,0.49,1.28
570,-9.98,-0.34,0.26,-0.67,-0.61,1.16
580,-9.94,-0.49,-1.19,-1.65,-1.28,1.46
590,-10.13,-0.45,-1.07,0.24,0.24,1.46
600,-9.95,-0.36,1.07,0.92,-0.18,1.28
610,-9.50,-0.40,-0.38,-1.46,-1.10,1.28
620,-9.76,-0.42,-1.41,-1.16,-0.98,1.46
630,-9.54,-0.79,-0.39,1.16,-0.06,1.40
640,-9.67,-0.82,1.13,2.01,0.43,1.34
650,-10.00,-0.43,0.50,-0.18,-0.43,1.34
660,-9.78,-0.52,-1.11,-0.31,-0.73,1.53
670,-9.91,-0.76,0.40,1.95,0.00,1.46
680,-9.88,-0.59,0.99,1.34,0.00,1.40
690,-9.47,-0.43,-0.16,-1.04,-0.98,1.28
700,-9.86,-0.49,-1.24,-1.59,-1.22,1.40
710,-9.49,-0.80,-0.69,0.92,-0.49,1.34
720,-9.92,-0.61,0.85,2.20,0.24,1.46
730,-10.07,-0.30,-0.74,-1.77,-1.40,1.34
740,-9.70,-0.55,-1.38,-0.85,-1.16,1.28
750,-9.79,-0.63,0.01,1.83,0.06,1.28
760,-9.77,-0.53,1.19,2.01,0.31,1.28
770,-9.91,-0.63,0.23,-0.67,-0.73,1.34
780,-9.89,-0.38,-1.34,-1.83,-1.22,1.34
790,-10.21,-0.24,-1.10,0.31,-0.67,1.34
800,-9.58,-0.48,1.15,0.79,0.00,1.16
810,-9.59,-0.35,-0.48,-1.71,-1.16,1.28
820,-9.76,-0.42,-1.52,-1.46,-1.16,1.28
830,-9.37,-0.86,-0.38,1.46,-0.31,1.53
840,-9.90,-0.61,1.27,2.26,0.31,1.34
850,-9.96,-0.18,0.58,-0.18,-0.49,1.16
860,-9.75,-0.71,-1.21,-2.08,-1.04,1.46
870,-9.86,-0.55,0.42,2.20,0.24,1.34
880,-10.02,-0.53,1.14,1.59,0.31,1.40
890,-9.36,-0.59,-0.10,-1.28,-0.92,1.16
900,-9.97,-0.41,-1.42,-1.83,-1.34,1.34
910,-9.63,-0.73,-0.89,0.85,-0.43,1.40
920,-9.67,-0.74,0.92,2.56,0.43,1.34
930,-10.06,-0.38,1.00,-1.89,-1.22,1.34
940,-9.66,-0.65,-1.61,-0.98,-1.10,1.28
950,-9.77,-0.76,-0.07,1.83,0.18,1.40
960,-9.56,-0.48,1.30,2.14,0.61,1.40
970,-10.07,-0.42,0.37,-0.55,-0.79,1.34
980,-9.74,-0.58,-1.43,-2.08,-1.40,1.34
990,-10.26,-0.31,-1.12,0.00,-0.61,1.53
