timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.79,-0.37,-1.55,-0.98,-1.10,1.46
10,-9.88,-0.71,-0.14,1.65,0.06,1.34
20,-9.95,-0.55,0.37,-0.67,-0.61,1.34
30,-9.99,-0.62,-1.49,-2.20,-1.28,1.28
40,-10.14,-0.38,-1.29,0.12,-0.85,1.28
50,-9.77,-0.77,0.69,2.50,0.24,1.28
60,-9.93,-0.45,1.38,1.10,0.24,1.40
70,-9.50,-0.45,-0.44,-1.83,-1.22,1.34
80,-9.65,-0.42,-1.75,-1.53,-1.40,1.40
90,-9.74,-0.68,1.44,2.56,0.49,1.53
100,-10.09,-0.37,0.79,-0.06,-0.55,1.40
110,-9.77,-0.55,-1.39,-2.26,-1.59,1.34
120,-9.83,-0.69,-1.51,-0.49,-0.85,1.40
130,-9.60,-0.83,0.40,2.50,0.37,1.22
140,-9.78,-0.55,1.44,1.77,0.55,1.46
150,-9.38,-0.62,-0.14,-2.32,-1.40,1.28
160,-9.50,-0.60,-0.93,0.73,-0.43,1.40
170,-9.71,-0.67,1.07,2.87,0.67,1.28
180,-10.03,-0.35,1.15,0.61,-0.18,1.28
190,-9.74,-0.57,-0.72,-2.20,-1.59,1.28
200,-9.88,-0.34,-1.77,-1.46,-1.34,1.34
210,-9.74,-0.71,-0.20,2.01,0.00,1.40
220,-9.89,-0.54,1.45,-0.73,-0.55,1.28
230,-10.13,-0.59,-1.52,-2.56,-1.59,1.46
240,-10.07,-0.58,-1.41,-0.18,-0.85,1.46
250,-9.81,-0.86,0.63,2.69,0.43,1.40
260,-9.88,-0.39,1.44,1.40,0.31,1.53
270,-9.60,-0.26,-0.26,-1.71,-1.10,1.46
280,-9.41,-0.53,-1.78,-1.83,-1.53,1.46
290,-9.45,-0.65,1.27,2.69,0.55,1.53
300,-10.06,-0.28,0.96,0.24,-0.24,1.28
310,-9.56,-0.62,-1.13,-2.44,-1.46,1.22
320,-9.97,-0.57,-1.59,-1.10,-1.04,1.34
330,-9.48,-0.91,0.08,2.32,0.31,1.16
340,-9.80,-0.57,1.42,2.01,0.43,1.22
350,-9.43,-0.58,0.13,-0.98,-0.79,1.34
360,-9.69,-0.64,-1.18,0.43,-0.55,1.34
370,-9.89,-0.77,0.92,2.62,0.37,1.34
380,-10.01,-0.31,1.18,0.85,0.06,1.28
390,-9.93,-0.26,-0.54,-2.08,-1.22,1.34
400,-9.49,-0.52,-1.73,-1.53,-1.28,1.40
410,-9.83,-0.66,-0.22,1.65,-0.06,1.34
420,-9.82,-0.58,1.28,-0.43,-0.55,1.40
430,-9.95,-0.50,-1.38,-2.20,-1.53,1.34
440,-9.99,-0.62,-1.28,-0.18,-0.92,1.40
450,-9.63,-0.89,0.45,2.38,0.18,1.28
460,-9.84,-0.52,1.27,1.59,0.18,1.22
470,-9.42,-0.31,-0.22,-1.40,-1.10,1.34
480,-9.40,-0.43,-1.50,-1.71,-1.40,1.46
490,-9.31,-0.73,-0.62,2.44,0.31,1.40
500,-10.05,-0.34,0.84,0.31,-0.31,1.16
510,-9.61,-0.53,-0.99,-1.95,-1.40,1.16
520,-9.86,-0.58,-1.47,-0.79,-1.16,1.34
530,-9.69,-0.82,0.09,2.08,0.00,1.46
540,-9.87,-0.61,1.25,1.65,0.37,1.40
550,-9.63,-0.58,0.08,-0.98,-0.92,1.16
560,-9.92,-0.52,-1.03,0.49,-0.61,1.40
570,-9.86,-0.74,0.83,2.56,0.31,1.53
580,-10.00,-0.34,1.10,0.79,0.00,1.46
590,-9.72,-0.49,-0.55,-1.95,-1.28,1.34
600,-9.84,-0.34,-1.63,-1.28,-1.40,1.53
610,-9.69,-0.64,-0.29,1.77,-0.12,1.34
620,-9.89,-0.59,1.33,2.20,-15.08,1.40
630,-9.86,-0.63,-1.46,-2.26,-1.40,1.40
640,-9.99,-0.58,-1.42,-0.12,-0.73,1.53
650,-9.68,-0.80,0.61,2.75,0.24,1.34
660,-9.86,-0.53,1.44,1.34,0.12,1.34
670,-9.46,-0.45,-0.33,-1.89,-1.10,1.40
680,-9.50,-0.46,-1.72,-1.89,-1.40,1.22
690,-9.33,-0.68,-0.65,2.81,0.73,1.28
700,-10.01,-0.34,0.93,0.31,-0.31,1.10
710,-9.73,-0.52,-1.07,-2.44,-1.46,1.16
720,-9.96,-0.58,-1.59,-0.98,-1.28,1.34
730,-9.62,-0.84,0.12,2.20,0.06,1.22
740,-9.83,-0.47,1.44,2.14,0.49,1.28
750,-9.62,-0.60,0.15,-1.04,-0.85,1.16
760,-10.03,-0.45,-1.23,0.49,-0.67,1.28
770,-9.86,-0.71,0.83,2.81,0.49,1.34
780,-9.99,-0.30,1.38,1.10,0.00,1.16
790,-9.78,-0.45,-0.44,-2.08,-1.28,1.28
800,-9.59,-0.51,-1.84,-2.01,-1.46,1.34
810,-9.65,-0.59,-0.43,1.46,0.00,1.34
820,-9.85,-0.55,1.47,2.69,0.55,1.28
830,-10.07,-0.57,-1.43,-2.38,-1.46,1.34
840,-9.89,-0.71,-1.56,-0.73,-1.04,1.46
850,-9.58,-0.87,0.43,2.69,0.43,1.34
860,-9.81,-0.49,1.47,2.01,0.43,1.28
870,-9.21,-0.54,-0.12,-1.34,-0.98,1.34
880,-9.62,-0.41,-1.64,-2.08,-1.71,1.34
890,-9.48,-0.67,-0.93,0.79,0.49,1.40
900,-10.03,-0.29,1.13,0.67,-0.24,1.28
910,-9.76,-0.57,-0.75,-2.26,-1.46,1.22
920,-9.91,-0.43,-1.70,-1.28,-1.34,1.40
930,-9.77,-0.78,-0.13,1.89,0.12,1.40
940,-9.89,-0.55,1.37,2.26,0.49,1.22
950,-9.95,-0.44,0.37,-0.67,-0.67,1.22
960,-10.27,-0.48,-1.43,-0.31,-0.79,1.34
970,-9.87,-0.80,0.66,2.50,0.37,1.16
980,-9.85,-0.40,1.31,1.40,-0.12,1.28
990,-9.67,-0.22,-0.27,-1.65,-1.22,1.46
