timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.58,-0.66,-1.39,-1.89,-1.53,1.40
10,-10.12,-0.39,-1.31,-0.12,-0.85,1.40
20,-9.62,-0.83,0.53,2.38,0.37,1.22
30,-9.99,-0.33,1.30,1.28,0.18,1.22
40,-8.94,-0.69,-0.36,-1.59,-1.28,1.16
50,-10.09,-0.33,-1.34,-1.83,-1.40,1.34
60,-9.48,-0.66,-0.67,1.22,0.24,1.46
70,-10.05,-0.24,0.68,0.00,-0.31,1.34
80,-10.06,-0.33,-0.84,-2.01,-1.53,1.28
90,-9.36,-0.76,-1.57,-0.92,-1.04,1.34
100,-9.92,-0.74,0.17,1.89,-0.06,1.40
110,-9.74,-0.59,1.22,1.65,0.24,1.16
120,-9.89,-0.47,0.13,-1.22,-0.98,1.40
130,-9.67,-0.60,-1.50,0.49,-0.55,1.40
140,-9.62,-0.79,0.84,2.50,0.49,1.34
150,-9.95,-0.41,0.98,0.73,-0.06,1.28
160,-9.61,-0.21,-0.64,-1.95,-1.22,1.22
170,-9.79,-0.44,-1.39,-1.16,-1.16,1.22
180,-9.76,-0.81,-0.19,1.71,0.00,1.22
190,-9.72,-0.67,1.19,2.08,0.37,1.28
200,-10.16,-0.64,-1.33,-1.77,-1.40,1.40
210,-10.10,-0.32,-1.25,0.00,-0.73,1.40
220,-9.72,-0.78,0.60,2.38,0.31,1.28
230,-9.96,-0.41,1.18,1.22,0.12,1.34
240,-8.92,-0.86,-0.35,-1.71,-1.10,1.22
250,-10.03,-0.29,-1.31,-1.71,-1.34,1.16
260,-9.47,-0.57,-0.58,1.22,15.32,1.34
270,-10.11,-0.26,0.66,0.00,-0.18,1.22
280,-10.20,-0.27,-0.84,-1.89,-1.40,1.34
290,-9.23,-0.80,-1.61,-0.61,-1.16,1.40
300,-9.96,-0.73,0.21,2.08,-0.12,1.28
310,-9.63,-0.61,1.26,1.71,0.24,1.34
320,-10.17,-0.30,0.12,-1.10,-0.92,1.28
330,-9.53,-0.77,-1.64,0.43,-0.61,1.28
340,-9.57,-0.74,0.90,2.44,0.31,1.34
350,-9.95,-0.43,1.10,0.61,-0.12,1.28
360,-9.13,-0.44,-0.69,-2.08,-1.10,1.28
370,-10.02,-0.34,-1.42,-1.28,-1.28,1.28
380,-9.72,-0.83,-0.32,1.65,-0.18,1.40
390,-9.70,-0.66,1.27,2.44,0.43,1.40
400,-10.18,-0.17,0.49,-2.14,-1.46,1.28
