timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.25,-0.66,-1.41,-1.16,-1.28,1.34
10,-9.70,-0.71,-0.43,1.34,-0.18,1.34
20,-9.81,-0.76,1.13,2.08,0.37,1.34
30,-10.10,-0.29,0.51,-0.37,-0.49,1.46
40,-10.01,-0.56,-1.15,-1.95,-1.34,1.34
50,-9.69,-0.53,-1.45,-0.18,-0.67,1.40
60,-9.87,-0.76,0.48,2.32,0.24,1.22
70,-9.77,-0.46,-0.26,-1.59,-1.04,1.16
80,-9.51,-0.56,-1.54,-1.71,-1.53,1.34
90,-9.29,-0.53,-0.59,0.85,-0.67,1.40
100,-9.59,-0.84,1.12,2.50,0.31,1.40
110,-10.04,-0.45,0.77,0.18,-0.24,1.46
120,-9.82,-0.31,-0.88,-2.01,-1.34,1.34
130,-9.69,-0.59,-1.44,-0.79,0.06,1.34
140,-9.83,-0.60,1.24,2.01,0.31,1.28
150,-10.02,-0.32,0.24,-0.79,-0.67,1.22
160,-9.78,-0.56,-1.46,-1.95,-1.46,1.28
170,-10.17,-0.46,-1.16,0.37,-0.67,1.34
180,-9.75,-0.62,0.82,2.62,0.49,1.40
190,-10.05,-0.34,1.28,1.10,0.06,1.28
200,-9.08,-0.82,-0.55,-1.59,-1.34,1.28
210,-9.72,-0.61,-0.50,1.46,-0.18,1.16
220,-9.78,-0.80,1.29,2.62,0.49,1.34
230,-10.11,-0.27,0.68,-0.12,-0.31,1.40
240,-10.15,-0.44,-1.16,-2.32,-1.22,1.34
250,-9.46,-0.72,-1.65,-0.61,-0.98,1.40
260,-9.70,-0.86,0.37,2.44,0.18,1.28
270,-9.69,-0.45,-0.06,-1.46,-1.10,1.22
280,-9.48,-0.68,-1.63,-1.95,-1.53,1.34
290,-9.42,-0.62,-0.75,0.73,-0.55,1.28
300,-9.56,-0.79,1.03,2.69,0.24,1.22
310,-10.02,-0.39,0.93,0.67,-0.18,1.28
320,-9.61,-0.41,-0.69,-1.89,-1.22,1.46
330,-9.87,-0.60,-1.47,-1.16,-1.28,1.40
340,-9.87,-0.64,1.19,2.20,0.37,1.40
