timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.55,-0.43,-0.78,1.53,-0.37,0.98
10,-9.89,-0.55,1.44,3.11,0.67,0.92
20,-10.02,-0.17,1.01,0.06,-0.24,0.85
30,-10.10,-0.23,-1.83,-0.85,-1.10,0.92
40,-9.81,-0.42,0.40,2.75,0.31,1.04
50,-9.86,-0.15,1.68,2.32,0.43,1.04
60,-9.29,-0.31,0.08,-1.53,-0.85,0.98
70,-9.70,-0.12,-1.78,-2.56,-1.59,0.79
80,-9.80,-0.33,-0.94,0.79,-0.55,0.92
90,-9.61,-0.65,1.04,3.17,-15.14,1.04
100,-9.90,-0.08,-0.73,-2.38,-1.34,0.79
110,-9.68,-0.21,-1.93,-1.77,-1.40,0.79
120,-9.58,-0.50,-0.43,2.01,-0.18,0.73
130,-9.64,-0.50,1.67,2.87,0.67,0.98
140,-9.81,-0.18,0.71,-0.67,-0.49,0.98
150,-10.03,-0.25,-1.58,-2.87,-1.65,0.85
160,-9.92,-0.23,-1.61,2.99,0.43,0.92
170,-9.78,-0.24,1.69,1.89,0.37,1.10
180,-9.17,-0.32,-0.23,-1.89,-1.04,0.79
190,-9.67,-0.05,-1.94,-2.56,-1.71,0.85
200,-9.71,-0.43,-0.85,1.22,-0.49,0.92
210,-9.99,-0.51,1.39,3.23,0.73,0.92
220,-10.20,-0.17,1.14,0.06,-0.12,0.79
230,-9.95,-0.11,-2.02,-1.22,-1.53,0.85
240,-9.68,-0.52,0.12,2.62,0.24,0.85
250,-9.91,-0.09,1.76,2.44,0.67,0.92
260,-9.45,-0.19,0.32,-1.28,-0.85,0.98
270,-9.85,-0.13,-1.77,-2.87,-1.83,0.92
280,-9.83,-0.38,-1.19,0.31,-0.67,1.04
290,-9.62,-0.66,0.95,3.23,0.49,0.98
300,-10.06,0.02,-0.53,-2.44,-1.46,0.92
310,-9.66,-0.16,-1.96,-2.08,-1.77,0.85
320,-9.57,-0.46,-0.60,1.65,-0.37,0.85
330,-9.66,-0.54,1.64,2.81,0.85,0.85
340,-9.82,-0.19,0.83,-0.37,-0.43,0.85
350,-9.84,-0.12,-1.49,-2.87,-1.77,0.85
360,-10.00,-0.07,-1.64,-0.55,14.59,0.79
370,-9.78,-0.28,1.65,1.95,0.49,0.92
380,-9.23,-0.23,-0.19,-1.77,-0.98,0.67
390,-9.77,0.00,-1.82,-2.44,-1.71,0.79
400,-9.54,-0.48,-0.86,1.10,-0.61,0.92
410,-10.00,-0.55,1.29,2.99,0.49,1.04
420,-10.10,-0.16,1.13,0.24,-0.12,0.92
430,-10.05,-0.09,-1.02,-1.22,-1.22,0.85
440,-9.81,-0.48,0.08,2.44,0.18,0.92
450,-9.88,-0.24,1.59,2.26,0.49,0.85
460,-9.42,-0.23,0.32,-1.04,-0.67,0.92
470,-9.72,-0.11,-1.62,-2.44,-1.53,0.79
480,-9.89,-0.29,-1.16,0.31,-0.61,0.85
490,-9.52,-0.69,0.82,2.99,0.43,0.92
500,-10.08,-0.25,-0.41,-2.44,-1.28,0.85
510,-9.74,-0.06,-1.87,-1.89,-1.22,0.85
520,-9.43,-0.50,-0.61,2.01,-0.24,0.85
530,-9.64,-0.58,1.66,3.05,0.49,1.04
540,-9.83,-0.21,0.77,-0.37,-0.49,0.98
550,-9.90,-0.13,-1.49,-2.87,-1.53,0.85
560,-9.95,-0.14,-1.59,-0.43,-1.22,0.92
570,-10.10,-0.26,1.58,1.65,0.49,0.67
580,-9.17,-0.30,-0.16,-1.89,-1.04,0.79
590,-9.75,-0.05,-1.79,-2.38,-1.71,0.85
600,-9.66,-0.43,-0.84,1.04,-0.37,1.04
610,-9.91,-0.47,1.26,2.99,0.61,1.04
620,-10.14,-0.20,1.14,0.43,-0.31,0.92
630,-10.08,-0.05,-1.01,-2.62,-1.46,0.92
640,-9.60,-0.56,0.02,2.50,0.06,1.04
650,-9.78,-0.21,1.71,2.32,0.73,1.04
660,-9.66,-0.23,0.35,-1.10,-0.55,1.10
670,-9.86,-0.19,-1.70,-2.69,-1.65,0.92
680,-9.94,-0.22,-1.29,0.24,-0.92,0.85
690,-9.53,-0.66,0.88,3.11,0.31,0.67
700,-9.90,-0.29,1.55,-2.14,-1.34,0.79
710,-9.71,-0.05,-1.93,-2.01,-1.46,0.85
720,-9.61,-0.48,-0.67,1.77,-0.12,0.92
730,-9.81,-0.60,1.61,3.23,0.67,0.92
740,-9.97,-0.14,0.99,-0.31,-0.43,0.92
750,-10.07,-0.18,-1.45,-2.93,-1.83,0.98
760,-9.89,-0.18,-1.83,-0.67,-1.22,0.85
770,-9.65,-0.39,1.76,2.14,0.55,0.79
780,-9.16,-0.32,-0.04,-1.83,-0.92,0.92
790,-9.72,-0.14,-1.88,-2.81,-1.71,0.98
800,-9.79,-0.37,-1.01,0.85,-0.61,0.92
810,-9.99,-0.57,1.23,3.36,0.55,0.98
820,-10.23,-0.18,1.37,0.67,0.00,0.85
830,-10.01,-0.05,-0.85,-2.81,-1.53,0.73
840,-9.59,-0.48,-0.18,2.32,0.06,0.79
850,-9.82,-0.30,1.68,2.75,0.73,0.98
860,-9.52,-0.15,0.56,-0.85,-0.55,0.98
870,-9.79,-0.07,-1.63,-2.93,-1.83,0.85
880,-9.90,-0.35,-1.40,-0.18,-0.85,1.04
890,-9.38,-0.71,0.78,2.93,0.31,1.04
900,-9.89,-0.25,1.63,1.46,-1.28,0.92
910,-9.75,-0.05,-1.88,-2.14,-1.59,0.92
920,-9.60,-0.44,-0.83,1.53,-0.31,1.04
930,-9.78,-0.60,1.49,2.99,0.67,0.98
940,-9.98,-0.16,0.98,0.00,-0.31,0.79
950,-9.95,-0.19,-1.33,-2.69,-1.40,0.92
960,-9.82,-0.14,-1.79,-0.85,-1.22,0.98
970,-9.82,-0.48,0.45,2.14,0.61,0.85
980,-9.13,-0.30,0.07,-1.46,-0.98,0.79
990,-9.72,-0.07,-1.70,-2.50,-1.65,0.79
